"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_2_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_3_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_4_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_5_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_6_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_7_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_8_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_9_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_10_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_11_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_12_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_13_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_14_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_15_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_16_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_17_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_18_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_19_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_20_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_21_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_22_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_23_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_24_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_25_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_26_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_27_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_28_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_29_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_30_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_31_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_32_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_33_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_34_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_35_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_36_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_37_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_38_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_39_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_40_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_41_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_42_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_43_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_44_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_45_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_46_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_47_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_48_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_49_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_50_222_linear_homogeneous",1,4,"control",222,101,"linear","homogeneous"
"101_1_222_linear_homogeneous",2,3.85839439652861,"control",222,101,"linear","homogeneous"
"101_2_222_linear_homogeneous",2,3.92150758675931,"control",222,101,"linear","homogeneous"
"101_3_222_linear_homogeneous",2,4.85531683437722,"control",222,101,"linear","homogeneous"
"101_4_222_linear_homogeneous",2,3.54469162815692,"control",222,101,"linear","homogeneous"
"101_5_222_linear_homogeneous",2,4.54768891239675,"control",222,101,"linear","homogeneous"
"101_6_222_linear_homogeneous",2,4.33404127138775,"control",222,101,"linear","homogeneous"
"101_7_222_linear_homogeneous",2,3.88608049721352,"control",222,101,"linear","homogeneous"
"101_8_222_linear_homogeneous",2,2.27043968441897,"control",222,101,"linear","homogeneous"
"101_9_222_linear_homogeneous",2,5.13095060258298,"control",222,101,"linear","homogeneous"
"101_10_222_linear_homogeneous",2,3.22411459738286,"control",222,101,"linear","homogeneous"
"101_11_222_linear_homogeneous",2,4.31323401000396,"control",222,101,"linear","homogeneous"
"101_12_222_linear_homogeneous",2,3.46375861247268,"control",222,101,"linear","homogeneous"
"101_13_222_linear_homogeneous",2,4.48880839078322,"control",222,101,"linear","homogeneous"
"101_14_222_linear_homogeneous",2,4.16825467058421,"control",222,101,"linear","homogeneous"
"101_15_222_linear_homogeneous",2,4.34397580485894,"control",222,101,"linear","homogeneous"
"101_16_222_linear_homogeneous",2,3.45854219272611,"control",222,101,"linear","homogeneous"
"101_17_222_linear_homogeneous",2,4.24318266329804,"control",222,101,"linear","homogeneous"
"101_18_222_linear_homogeneous",2,3.36592732837203,"control",222,101,"linear","homogeneous"
"101_19_222_linear_homogeneous",2,4.42982908807881,"control",222,101,"linear","homogeneous"
"101_20_222_linear_homogeneous",2,3.93882823705055,"control",222,101,"linear","homogeneous"
"101_21_222_linear_homogeneous",2,4.25560784894389,"control",222,101,"linear","homogeneous"
"101_22_222_linear_homogeneous",2,3.35125372745463,"control",222,101,"linear","homogeneous"
"101_23_222_linear_homogeneous",2,4.48733511990699,"control",222,101,"linear","homogeneous"
"101_24_222_linear_homogeneous",2,4.15303391883966,"control",222,101,"linear","homogeneous"
"101_25_222_linear_homogeneous",2,3.9726944278261,"control",222,101,"linear","homogeneous"
"101_26_222_linear_homogeneous",2,3.41188548870683,"control",222,101,"linear","homogeneous"
"101_27_222_linear_homogeneous",2,3.13777469301166,"control",222,101,"linear","homogeneous"
"101_28_222_linear_homogeneous",2,3.67136258162981,"control",222,101,"linear","homogeneous"
"101_29_222_linear_homogeneous",2,3.01686909541425,"control",222,101,"linear","homogeneous"
"101_30_222_linear_homogeneous",2,3.95786418234063,"control",222,101,"linear","homogeneous"
"101_31_222_linear_homogeneous",2,3.01256205948385,"control",222,101,"linear","homogeneous"
"101_32_222_linear_homogeneous",2,5.2826361256426,"control",222,101,"linear","homogeneous"
"101_33_222_linear_homogeneous",2,5.09236520011712,"control",222,101,"linear","homogeneous"
"101_34_222_linear_homogeneous",2,3.82480055719228,"control",222,101,"linear","homogeneous"
"101_35_222_linear_homogeneous",2,4.18296890595359,"control",222,101,"linear","homogeneous"
"101_36_222_linear_homogeneous",2,3.06808539846064,"control",222,101,"linear","homogeneous"
"101_37_222_linear_homogeneous",2,5.23708353674896,"control",222,101,"linear","homogeneous"
"101_38_222_linear_homogeneous",2,4.25815816736354,"control",222,101,"linear","homogeneous"
"101_39_222_linear_homogeneous",2,4.04764768280059,"control",222,101,"linear","homogeneous"
"101_40_222_linear_homogeneous",2,4.68436313956648,"control",222,101,"linear","homogeneous"
"101_41_222_linear_homogeneous",2,3.94956268522821,"control",222,101,"linear","homogeneous"
"101_42_222_linear_homogeneous",2,3.55912915411416,"control",222,101,"linear","homogeneous"
"101_43_222_linear_homogeneous",2,3.4265693712618,"control",222,101,"linear","homogeneous"
"101_44_222_linear_homogeneous",2,6.03682047516448,"control",222,101,"linear","homogeneous"
"101_45_222_linear_homogeneous",2,4.31332500123905,"control",222,101,"linear","homogeneous"
"101_46_222_linear_homogeneous",2,3.93050361095532,"control",222,101,"linear","homogeneous"
"101_47_222_linear_homogeneous",2,3.67683569097801,"control",222,101,"linear","homogeneous"
"101_48_222_linear_homogeneous",2,4.76045364901823,"control",222,101,"linear","homogeneous"
"101_49_222_linear_homogeneous",2,3.23581407174485,"control",222,101,"linear","homogeneous"
"101_50_222_linear_homogeneous",2,3.65775272758038,"control",222,101,"linear","homogeneous"
"101_1_222_linear_homogeneous",3,4.14142843716439,"control",222,101,"linear","homogeneous"
"101_2_222_linear_homogeneous",3,3.80019282885767,"control",222,101,"linear","homogeneous"
"101_3_222_linear_homogeneous",3,5.51004745552815,"control",222,101,"linear","homogeneous"
"101_4_222_linear_homogeneous",3,3.48011918866014,"control",222,101,"linear","homogeneous"
"101_5_222_linear_homogeneous",3,4.23146732676131,"control",222,101,"linear","homogeneous"
"101_6_222_linear_homogeneous",3,4.55276746058379,"control",222,101,"linear","homogeneous"
"101_7_222_linear_homogeneous",3,3.78276738447368,"control",222,101,"linear","homogeneous"
"101_8_222_linear_homogeneous",3,2.87560047565354,"control",222,101,"linear","homogeneous"
"101_9_222_linear_homogeneous",3,6.1557596618319,"control",222,101,"linear","homogeneous"
"101_10_222_linear_homogeneous",3,3.07982428599383,"control",222,101,"linear","homogeneous"
"101_11_222_linear_homogeneous",3,4.59714748265014,"control",222,101,"linear","homogeneous"
"101_12_222_linear_homogeneous",3,4.23743878169028,"control",222,101,"linear","homogeneous"
"101_13_222_linear_homogeneous",3,4.48224581613687,"control",222,101,"linear","homogeneous"
"101_14_222_linear_homogeneous",3,3.83277846114762,"control",222,101,"linear","homogeneous"
