"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_222_nonlinear_heterogeneous",1,5.1390170059,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",1,4.0537316492,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",1,3.6352056202,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",1,1.6661738819,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",1,4.0509157027,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",2,5.9977233115,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",2,3.7680827277,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",2,4.6603663669,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",2,2.1320373004,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",2,5.3962302689,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",3,4.1627898974,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",3,3.7523563805,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",3,2.9166456597,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",3,3.4407841725,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",3,4.8092662449,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",4,4.2394303586,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",4,4.4816521233,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",4,1.8818721308,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",4,2.7191665878,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",4,4.6809308339,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",5,4.8129442052,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",5,3.4615102822,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",5,0.9977954354,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",5,4.5597572844,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",5,4.8423318791,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",6,5.9761469202,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",6,3.9156011878,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",6,3.8585943292,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",6,4.2526918799,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",6,7.0476408554,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",7,6.4673358268,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",7,5.6890894913,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",7,3.4995403371,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",7,6.4068316468,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",7,7.9522650052,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",8,7.7258641604,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",8,5.3755717077,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",8,2.6052492276,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",8,7.257341771,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",8,8.2432881992,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",9,6.5986811549,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",9,5.2831268502,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",9,3.8852529026,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",9,5.2640537453,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",9,7.2598900696,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",10,8.5440383608,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",10,4.4358365289,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",10,5.7940883016,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",10,6.0997696912,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",10,8.7209578872,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",11,10.6657303405,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",11,3.0110569372,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",11,7.8979235337,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",11,5.6113287256,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",11,10.0002720927,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",12,9.6938256836,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",12,4.0708834933,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",12,7.6029125042,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",12,5.7958606616,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",12,9.3720222344,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",13,8.0257540316,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",13,4.0755180929,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",13,6.8770337913,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",13,5.1315659372,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",13,9.3506480781,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",14,8.7824121584,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",14,4.0652918244,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",14,6.5400395295,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",14,3.8004487172,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",14,7.9398731438,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",15,8.9102002103,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",15,3.5507257563,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",15,6.4106170481,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",15,3.3886712185,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",15,7.0827949226,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",16,10.0727429154,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",16,3.3302242514,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",16,6.8067983651,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",16,3.419397313,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",16,5.5514885553,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",17,9.6318221097,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",17,2.5129279396,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",17,8.6511200704,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",17,3.1858997434,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",17,5.1263621685,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",18,9.2185293027,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",18,1.8538583002,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",18,9.3286749315,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",18,3.0789653848,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",18,6.1722897591,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",19,7.7903165917,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",19,2.6511439276,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",19,10.2397928134,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",19,3.248423842,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",19,5.795746682,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",20,9.6636145094,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",20,5.022072795,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",20,10.2262049027,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",20,3.2246439182,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",20,5.093871175,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",21,8.7614380429,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",21,5.7702015945,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",21,10.9692131557,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",21,4.3705423894,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",21,3.2688964959,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",22,8.5717598183,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",22,5.8392296998,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",22,12.7141805673,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",22,4.550152611,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",22,1.9833962366,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",23,9.7597402993,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",23,5.1692482694,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",23,11.256363757,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",23,3.3667020557,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",23,3.2382692895,"control",222,10,"nonlinear","heterogeneous"
"10_1_222_nonlinear_heterogeneous",24,10.8566398174,"control",222,10,"nonlinear","heterogeneous"
"10_2_222_nonlinear_heterogeneous",24,5.0675696111,"control",222,10,"nonlinear","heterogeneous"
"10_3_222_nonlinear_heterogeneous",24,11.2123647758,"control",222,10,"nonlinear","heterogeneous"
"10_4_222_nonlinear_heterogeneous",24,3.6258990661,"control",222,10,"nonlinear","heterogeneous"
"10_5_222_nonlinear_heterogeneous",24,4.2995099145,"control",222,10,"nonlinear","heterogeneous"
