"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_60_l_he",1,4,"control",60,10,"l","he"
"10_2_60_l_he",1,4,"control",60,10,"l","he"
"10_3_60_l_he",1,4,"control",60,10,"l","he"
"10_4_60_l_he",1,4,"control",60,10,"l","he"
"10_5_60_l_he",1,4,"control",60,10,"l","he"
"10_1_60_l_he",2,3.95798213340912,"control",60,10,"l","he"
"10_2_60_l_he",2,5.01360159022158,"control",60,10,"l","he"
"10_3_60_l_he",2,3.7122520322587,"control",60,10,"l","he"
"10_4_60_l_he",2,4.33333520940551,"control",60,10,"l","he"
"10_5_60_l_he",2,4.25514582887062,"control",60,10,"l","he"
"10_1_60_l_he",3,5.18200373060768,"control",60,10,"l","he"
"10_2_60_l_he",3,5.47617310990938,"control",60,10,"l","he"
"10_3_60_l_he",3,3.22413163909648,"control",60,10,"l","he"
"10_4_60_l_he",3,3.67616291809375,"control",60,10,"l","he"
"10_5_60_l_he",3,4.68354795924314,"control",60,10,"l","he"
"10_1_60_l_he",4,6.06568912532167,"control",60,10,"l","he"
"10_2_60_l_he",4,6.38497373411458,"control",60,10,"l","he"
"10_3_60_l_he",4,1.93002434521404,"control",60,10,"l","he"
"10_4_60_l_he",4,3.97927198706025,"control",60,10,"l","he"
"10_5_60_l_he",4,4.59080411812883,"control",60,10,"l","he"
"10_1_60_l_he",5,7.23150941102329,"control",60,10,"l","he"
"10_2_60_l_he",5,6.00812383211393,"control",60,10,"l","he"
"10_3_60_l_he",5,1.25206675630821,"control",60,10,"l","he"
"10_4_60_l_he",5,3.70858134100294,"control",60,10,"l","he"
"10_5_60_l_he",5,4.67764010076554,"control",60,10,"l","he"
"10_1_60_l_he",6,8.22847172415553,"control",60,10,"l","he"
"10_2_60_l_he",6,5.5034854161175,"control",60,10,"l","he"
"10_3_60_l_he",6,0.889083848421884,"control",60,10,"l","he"
"10_4_60_l_he",6,3.45943592420634,"control",60,10,"l","he"
"10_5_60_l_he",6,4.48292046799369,"control",60,10,"l","he"
"10_1_60_l_he",7,9.11990792574665,"control",60,10,"l","he"
"10_2_60_l_he",7,5.46445664493136,"control",60,10,"l","he"
"10_3_60_l_he",7,0.602079847832125,"control",60,10,"l","he"
"10_4_60_l_he",7,3.30862060304242,"control",60,10,"l","he"
"10_5_60_l_he",7,4.77421801034041,"control",60,10,"l","he"
"10_1_60_l_he",8,9.67170476623346,"control",60,10,"l","he"
"10_2_60_l_he",8,5.23043787268288,"control",60,10,"l","he"
"10_3_60_l_he",8,0.611544472686898,"control",60,10,"l","he"
"10_4_60_l_he",8,3.27723890302443,"control",60,10,"l","he"
"10_5_60_l_he",8,5.01652903810773,"control",60,10,"l","he"
"10_1_60_l_he",9,9.40800232921332,"control",60,10,"l","he"
"10_2_60_l_he",9,4.80855070095233,"control",60,10,"l","he"
"10_3_60_l_he",9,1.50647422768758,"control",60,10,"l","he"
"10_4_60_l_he",9,3.29363013455694,"control",60,10,"l","he"
"10_5_60_l_he",9,5.92891811274958,"control",60,10,"l","he"
"10_1_60_l_he",10,9.60927358539741,"control",60,10,"l","he"
"10_2_60_l_he",10,4.8892064342484,"control",60,10,"l","he"
"10_3_60_l_he",10,1.76582659903014,"control",60,10,"l","he"
"10_4_60_l_he",10,3.32401819435802,"control",60,10,"l","he"
"10_5_60_l_he",10,6.05341968410837,"control",60,10,"l","he"
