"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_6_60_l_ho",1,5.22485670720399,"treated",60,10,"l","ho"
"10_7_60_l_ho",1,7.29859499980119,"treated",60,10,"l","ho"
"10_8_60_l_ho",1,5.80452889682655,"treated",60,10,"l","ho"
"10_9_60_l_ho",1,6.95464370527927,"treated",60,10,"l","ho"
"10_10_60_l_ho",1,5.18230999723855,"treated",60,10,"l","ho"
"10_6_60_l_ho",2,5.10941032652382,"treated",60,10,"l","ho"
"10_7_60_l_ho",2,7.80926360778714,"treated",60,10,"l","ho"
"10_8_60_l_ho",2,6.16554882914401,"treated",60,10,"l","ho"
"10_9_60_l_ho",2,7.92427317601071,"treated",60,10,"l","ho"
"10_10_60_l_ho",2,5.33602770983369,"treated",60,10,"l","ho"
"10_6_60_l_ho",3,5.27060248878472,"treated",60,10,"l","ho"
"10_7_60_l_ho",3,8.12228003885888,"treated",60,10,"l","ho"
"10_8_60_l_ho",3,5.86191897948373,"treated",60,10,"l","ho"
"10_9_60_l_ho",3,8.06742258815741,"treated",60,10,"l","ho"
"10_10_60_l_ho",3,5.75491582867854,"treated",60,10,"l","ho"
"10_6_60_l_ho",4,4.80387275386264,"treated",60,10,"l","ho"
"10_7_60_l_ho",4,7.80085551987712,"treated",60,10,"l","ho"
"10_8_60_l_ho",4,5.54201554165658,"treated",60,10,"l","ho"
"10_9_60_l_ho",4,8.64543387875776,"treated",60,10,"l","ho"
"10_10_60_l_ho",4,5.53281343626927,"treated",60,10,"l","ho"
"10_6_60_l_ho",5,4.54692225920799,"treated",60,10,"l","ho"
"10_7_60_l_ho",5,7.42000583202932,"treated",60,10,"l","ho"
"10_8_60_l_ho",5,5.41216958941754,"treated",60,10,"l","ho"
"10_9_60_l_ho",5,8.62506389098643,"treated",60,10,"l","ho"
"10_10_60_l_ho",5,5.56655911704173,"treated",60,10,"l","ho"
"10_6_60_l_ho",6,4.29277205154472,"treated",60,10,"l","ho"
"10_7_60_l_ho",6,6.80535875015287,"treated",60,10,"l","ho"
"10_8_60_l_ho",6,5.47879151884102,"treated",60,10,"l","ho"
"10_9_60_l_ho",6,7.88949104580327,"treated",60,10,"l","ho"
"10_10_60_l_ho",6,5.11037034390064,"treated",60,10,"l","ho"
"10_6_60_l_ho",7,4.10543432641193,"treated",60,10,"l","ho"
"10_7_60_l_ho",7,6.19758848893032,"treated",60,10,"l","ho"
"10_8_60_l_ho",7,5.82305337557767,"treated",60,10,"l","ho"
"10_9_60_l_ho",7,7.90710964355961,"treated",60,10,"l","ho"
"10_10_60_l_ho",7,5.09590420139012,"treated",60,10,"l","ho"
"10_6_60_l_ho",8,4.20243015562894,"treated",60,10,"l","ho"
"10_7_60_l_ho",8,5.90659388347179,"treated",60,10,"l","ho"
"10_8_60_l_ho",8,5.59227867267073,"treated",60,10,"l","ho"
"10_9_60_l_ho",8,7.89353150094962,"treated",60,10,"l","ho"
"10_10_60_l_ho",8,5.04566287201368,"treated",60,10,"l","ho"
"10_6_60_l_ho",9,4.59578808043156,"treated",60,10,"l","ho"
"10_7_60_l_ho",9,5.71836712463434,"treated",60,10,"l","ho"
"10_8_60_l_ho",9,5.03397319890181,"treated",60,10,"l","ho"
"10_9_60_l_ho",9,8.38146551012119,"treated",60,10,"l","ho"
"10_10_60_l_ho",9,5.25804405298254,"treated",60,10,"l","ho"
"10_6_60_l_ho",10,4.86411263046649,"treated",60,10,"l","ho"
"10_7_60_l_ho",10,5.28325525027669,"treated",60,10,"l","ho"
"10_8_60_l_ho",10,4.59108409494596,"treated",60,10,"l","ho"
"10_9_60_l_ho",10,8.46160854893691,"treated",60,10,"l","ho"
