"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_51_222_l_he",1,3.52538312405249,"treated",222,101,"l","he"
"101_52_222_l_he",1,6.18248602500402,"treated",222,101,"l","he"
"101_53_222_l_he",1,12.6963169380886,"treated",222,101,"l","he"
"101_54_222_l_he",1,3.63314756249132,"treated",222,101,"l","he"
"101_55_222_l_he",1,5.62490756044668,"treated",222,101,"l","he"
"101_56_222_l_he",1,4.92093125048657,"treated",222,101,"l","he"
"101_57_222_l_he",1,2.2423217810273,"treated",222,101,"l","he"
"101_58_222_l_he",1,5.25171332255107,"treated",222,101,"l","he"
"101_59_222_l_he",1,1.78572414106279,"treated",222,101,"l","he"
"101_60_222_l_he",1,7.61878990560704,"treated",222,101,"l","he"
"101_61_222_l_he",1,4.688362165308,"treated",222,101,"l","he"
"101_62_222_l_he",1,11.2849271290174,"treated",222,101,"l","he"
"101_63_222_l_he",1,7.89380559404002,"treated",222,101,"l","he"
"101_64_222_l_he",1,11.4726708632756,"treated",222,101,"l","he"
"101_65_222_l_he",1,12.6333033648676,"treated",222,101,"l","he"
"101_66_222_l_he",1,6.81467076621896,"treated",222,101,"l","he"
"101_67_222_l_he",1,5.147260701016,"treated",222,101,"l","he"
"101_68_222_l_he",1,6.78355849178104,"treated",222,101,"l","he"
"101_69_222_l_he",1,8.15100321296156,"treated",222,101,"l","he"
"101_70_222_l_he",1,4.52699995256028,"treated",222,101,"l","he"
"101_71_222_l_he",1,1.82018119360898,"treated",222,101,"l","he"
"101_72_222_l_he",1,3.12860799306174,"treated",222,101,"l","he"
"101_73_222_l_he",1,2.29939015653765,"treated",222,101,"l","he"
"101_74_222_l_he",1,8.44143285391566,"treated",222,101,"l","he"
"101_75_222_l_he",1,11.5405993283909,"treated",222,101,"l","he"
"101_76_222_l_he",1,7.35122933978839,"treated",222,101,"l","he"
"101_77_222_l_he",1,8.82782618495039,"treated",222,101,"l","he"
"101_78_222_l_he",1,6.41382774713942,"treated",222,101,"l","he"
"101_79_222_l_he",1,13.2090523014282,"treated",222,101,"l","he"
"101_80_222_l_he",1,9.66938245187102,"treated",222,101,"l","he"
"101_81_222_l_he",1,13.4976176967098,"treated",222,101,"l","he"
"101_82_222_l_he",1,4.69878288179344,"treated",222,101,"l","he"
"101_83_222_l_he",1,6.79325269577291,"treated",222,101,"l","he"
"101_84_222_l_he",1,7.60602465952754,"treated",222,101,"l","he"
"101_85_222_l_he",1,8.15587691521715,"treated",222,101,"l","he"
"101_86_222_l_he",1,11.1496301973649,"treated",222,101,"l","he"
"101_87_222_l_he",1,3.59207069413488,"treated",222,101,"l","he"
"101_88_222_l_he",1,13.0622630665281,"treated",222,101,"l","he"
"101_89_222_l_he",1,4.13314385490172,"treated",222,101,"l","he"
"101_90_222_l_he",1,6.50979435068075,"treated",222,101,"l","he"
"101_91_222_l_he",1,6.11763910986222,"treated",222,101,"l","he"
"101_92_222_l_he",1,8.1257127926143,"treated",222,101,"l","he"
"101_93_222_l_he",1,10.6415193058582,"treated",222,101,"l","he"
"101_94_222_l_he",1,11.6992736073237,"treated",222,101,"l","he"
"101_95_222_l_he",1,4.1041850251385,"treated",222,101,"l","he"
"101_96_222_l_he",1,6.56041662513282,"treated",222,101,"l","he"
"101_97_222_l_he",1,10.2244767594291,"treated",222,101,"l","he"
"101_98_222_l_he",1,7.78227734526333,"treated",222,101,"l","he"
"101_99_222_l_he",1,2.53703750788649,"treated",222,101,"l","he"
"101_100_222_l_he",1,6.82486385981565,"treated",222,101,"l","he"
"101_101_222_l_he",1,7.35183056252589,"treated",222,101,"l","he"
"101_51_222_l_he",2,3.22327423721411,"treated",222,101,"l","he"
"101_52_222_l_he",2,5.28066119324866,"treated",222,101,"l","he"
"101_53_222_l_he",2,13.0206014707808,"treated",222,101,"l","he"
"101_54_222_l_he",2,3.81393046394562,"treated",222,101,"l","he"
"101_55_222_l_he",2,5.10774543945235,"treated",222,101,"l","he"
"101_56_222_l_he",2,4.37228348235129,"treated",222,101,"l","he"
"101_57_222_l_he",2,2.41653738461045,"treated",222,101,"l","he"
"101_58_222_l_he",2,5.46258237588215,"treated",222,101,"l","he"
"101_59_222_l_he",2,2.15362078972676,"treated",222,101,"l","he"
"101_60_222_l_he",2,8.23400012821135,"treated",222,101,"l","he"
"101_61_222_l_he",2,4.59070798304654,"treated",222,101,"l","he"
"101_62_222_l_he",2,12.1575055785282,"treated",222,101,"l","he"
"101_63_222_l_he",2,7.66553740991902,"treated",222,101,"l","he"
"101_64_222_l_he",2,11.4396900852656,"treated",222,101,"l","he"
"101_65_222_l_he",2,12.9751905924694,"treated",222,101,"l","he"
"101_66_222_l_he",2,5.93267091632401,"treated",222,101,"l","he"
"101_67_222_l_he",2,5.12280072663603,"treated",222,101,"l","he"
"101_68_222_l_he",2,6.54456638998432,"treated",222,101,"l","he"
"101_69_222_l_he",2,7.49745569610515,"treated",222,101,"l","he"
"101_70_222_l_he",2,4.3619237682674,"treated",222,101,"l","he"
"101_71_222_l_he",2,1.61692441692541,"treated",222,101,"l","he"
"101_72_222_l_he",2,3.11924198545167,"treated",222,101,"l","he"
"101_73_222_l_he",2,2.80294429852118,"treated",222,101,"l","he"
"101_74_222_l_he",2,8.34371714929958,"treated",222,101,"l","he"
"101_75_222_l_he",2,11.6815463203499,"treated",222,101,"l","he"
"101_76_222_l_he",2,7.92234452922004,"treated",222,101,"l","he"
"101_77_222_l_he",2,9.03424103523484,"treated",222,101,"l","he"
"101_78_222_l_he",2,6.06001098066131,"treated",222,101,"l","he"
"101_79_222_l_he",2,13.1212175989209,"treated",222,101,"l","he"
"101_80_222_l_he",2,8.86599165009059,"treated",222,101,"l","he"
"101_81_222_l_he",2,12.4966058565865,"treated",222,101,"l","he"
"101_82_222_l_he",2,4.45348309898847,"treated",222,101,"l","he"
"101_83_222_l_he",2,6.87224804262659,"treated",222,101,"l","he"
"101_84_222_l_he",2,7.86178898540115,"treated",222,101,"l","he"
"101_85_222_l_he",2,8.33157131604945,"treated",222,101,"l","he"
"101_86_222_l_he",2,11.5067289338106,"treated",222,101,"l","he"
"101_87_222_l_he",2,3.79538300453251,"treated",222,101,"l","he"
"101_88_222_l_he",2,13.9471695003739,"treated",222,101,"l","he"
"101_89_222_l_he",2,4.59849510442713,"treated",222,101,"l","he"
