"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_222_nl_he",1,0.3587989038,"control",222,101,"nl","he"
"101_2_222_nl_he",1,1.1125168246,"control",222,101,"nl","he"
"101_3_222_nl_he",1,0.6869961767,"control",222,101,"nl","he"
"101_4_222_nl_he",1,0.9688039114,"control",222,101,"nl","he"
"101_5_222_nl_he",1,1.843291381,"control",222,101,"nl","he"
"101_6_222_nl_he",1,0.9924499041,"control",222,101,"nl","he"
"101_7_222_nl_he",1,1.1528410603,"control",222,101,"nl","he"
"101_8_222_nl_he",1,0.9116862785,"control",222,101,"nl","he"
"101_9_222_nl_he",1,0.6811727286,"control",222,101,"nl","he"
"101_10_222_nl_he",1,1.8007427836,"control",222,101,"nl","he"
"101_11_222_nl_he",1,1.1294315084,"control",222,101,"nl","he"
"101_12_222_nl_he",1,1.2837340414,"control",222,101,"nl","he"
"101_13_222_nl_he",1,2.4454668629,"control",222,101,"nl","he"
"101_14_222_nl_he",1,1.0939629285,"control",222,101,"nl","he"
"101_15_222_nl_he",1,0.8084491023,"control",222,101,"nl","he"
"101_16_222_nl_he",1,1.2225489074,"control",222,101,"nl","he"
"101_17_222_nl_he",1,0.6231980333,"control",222,101,"nl","he"
"101_18_222_nl_he",1,1.2911256855,"control",222,101,"nl","he"
"101_19_222_nl_he",1,1.050536969,"control",222,101,"nl","he"
"101_20_222_nl_he",1,0.6505841088,"control",222,101,"nl","he"
"101_21_222_nl_he",1,1.5146507202,"control",222,101,"nl","he"
"101_22_222_nl_he",1,0.2073982446,"control",222,101,"nl","he"
"101_23_222_nl_he",1,1.1733378405,"control",222,101,"nl","he"
"101_24_222_nl_he",1,2.0896241717,"control",222,101,"nl","he"
"101_25_222_nl_he",1,1.4322790032,"control",222,101,"nl","he"
"101_26_222_nl_he",1,0.7498926342,"control",222,101,"nl","he"
"101_27_222_nl_he",1,0.2734522127,"control",222,101,"nl","he"
"101_28_222_nl_he",1,0.9770007682,"control",222,101,"nl","he"
"101_29_222_nl_he",1,0.3639883629,"control",222,101,"nl","he"
"101_30_222_nl_he",1,0.3518278884,"control",222,101,"nl","he"
"101_31_222_nl_he",1,0.5123655613,"control",222,101,"nl","he"
"101_32_222_nl_he",1,1.495682055,"control",222,101,"nl","he"
"101_33_222_nl_he",1,1.5828942466,"control",222,101,"nl","he"
"101_34_222_nl_he",1,1.3756320801,"control",222,101,"nl","he"
"101_35_222_nl_he",1,1.1792131547,"control",222,101,"nl","he"
"101_36_222_nl_he",1,1.7168178099,"control",222,101,"nl","he"
"101_37_222_nl_he",1,0.9568894783,"control",222,101,"nl","he"
"101_38_222_nl_he",1,1.3163509199,"control",222,101,"nl","he"
"101_39_222_nl_he",1,2.1730389572,"control",222,101,"nl","he"
"101_40_222_nl_he",1,0.27187686,"control",222,101,"nl","he"
"101_41_222_nl_he",1,1.9955736319,"control",222,101,"nl","he"
"101_42_222_nl_he",1,1.0231989842,"control",222,101,"nl","he"
"101_43_222_nl_he",1,1.9799816051,"control",222,101,"nl","he"
"101_44_222_nl_he",1,1.4386615063,"control",222,101,"nl","he"
"101_45_222_nl_he",1,0.7891186667,"control",222,101,"nl","he"
