"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_51_222_nl_ho",1,6.0963093676,"treated",222,101,"nl","ho"
"101_52_222_nl_ho",1,13.2420813848,"treated",222,101,"nl","ho"
"101_53_222_nl_ho",1,2.8649336093,"treated",222,101,"nl","ho"
"101_54_222_nl_ho",1,5.8083511651,"treated",222,101,"nl","ho"
"101_55_222_nl_ho",1,3.2438483341,"treated",222,101,"nl","ho"
"101_56_222_nl_ho",1,8.4271390274,"treated",222,101,"nl","ho"
"101_57_222_nl_ho",1,7.3681967789,"treated",222,101,"nl","ho"
"101_58_222_nl_ho",1,5.4111311688,"treated",222,101,"nl","ho"
"101_59_222_nl_ho",1,4.5166558747,"treated",222,101,"nl","ho"
"101_60_222_nl_ho",1,2.1002692533,"treated",222,101,"nl","ho"
"101_61_222_nl_ho",1,14.7867491177,"treated",222,101,"nl","ho"
"101_62_222_nl_ho",1,2.4035459635,"treated",222,101,"nl","ho"
"101_63_222_nl_ho",1,10.3622038196,"treated",222,101,"nl","ho"
"101_64_222_nl_ho",1,8.0210837743,"treated",222,101,"nl","ho"
"101_65_222_nl_ho",1,2.3539510078,"treated",222,101,"nl","ho"
"101_66_222_nl_ho",1,6.1943110673,"treated",222,101,"nl","ho"
"101_67_222_nl_ho",1,6.1969628126,"treated",222,101,"nl","ho"
"101_68_222_nl_ho",1,3.505053358,"treated",222,101,"nl","ho"
"101_69_222_nl_ho",1,6.3825028232,"treated",222,101,"nl","ho"
"101_70_222_nl_ho",1,6.55988689,"treated",222,101,"nl","ho"
"101_71_222_nl_ho",1,7.790743523,"treated",222,101,"nl","ho"
"101_72_222_nl_ho",1,11.4775943841,"treated",222,101,"nl","ho"
"101_73_222_nl_ho",1,6.9977094965,"treated",222,101,"nl","ho"
"101_74_222_nl_ho",1,2.6112170742,"treated",222,101,"nl","ho"
"101_75_222_nl_ho",1,5.6826042882,"treated",222,101,"nl","ho"
"101_76_222_nl_ho",1,5.3619878196,"treated",222,101,"nl","ho"
"101_77_222_nl_ho",1,11.0001798164,"treated",222,101,"nl","ho"
"101_78_222_nl_ho",1,3.5211782851,"treated",222,101,"nl","ho"
"101_79_222_nl_ho",1,6.1245486561,"treated",222,101,"nl","ho"
"101_80_222_nl_ho",1,3.8590412646,"treated",222,101,"nl","ho"
"101_81_222_nl_ho",1,2.2104762917,"treated",222,101,"nl","ho"
"101_82_222_nl_ho",1,7.0443824965,"treated",222,101,"nl","ho"
