"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_60_nl_ho",1,0.4832910754,"control",60,101,"nl","ho"
"101_2_60_nl_ho",1,1.8545378645,"control",60,101,"nl","ho"
"101_3_60_nl_ho",1,0.649112815,"control",60,101,"nl","ho"
"101_4_60_nl_ho",1,1.2757900687,"control",60,101,"nl","ho"
"101_5_60_nl_ho",1,0.0656035208,"control",60,101,"nl","ho"
"101_6_60_nl_ho",1,0.6543492545,"control",60,101,"nl","ho"
"101_7_60_nl_ho",1,0.1889852069,"control",60,101,"nl","ho"
"101_8_60_nl_ho",1,0.8641952656,"control",60,101,"nl","ho"
"101_9_60_nl_ho",1,0.7932674688,"control",60,101,"nl","ho"
"101_10_60_nl_ho",1,0.4711185376,"control",60,101,"nl","ho"
"101_11_60_nl_ho",1,0.9189326419,"control",60,101,"nl","ho"
"101_12_60_nl_ho",1,1.9033778187,"control",60,101,"nl","ho"
"101_13_60_nl_ho",1,0.11718764,"control",60,101,"nl","ho"
"101_14_60_nl_ho",1,0.7448547457,"control",60,101,"nl","ho"
"101_15_60_nl_ho",1,1.1981741596,"control",60,101,"nl","ho"
"101_16_60_nl_ho",1,0.4249434979,"control",60,101,"nl","ho"
"101_17_60_nl_ho",1,1.1253042863,"control",60,101,"nl","ho"
"101_18_60_nl_ho",1,0.5376560622,"control",60,101,"nl","ho"
"101_19_60_nl_ho",1,0.6873392796,"control",60,101,"nl","ho"
"101_20_60_nl_ho",1,0.8720683038,"control",60,101,"nl","ho"
"101_21_60_nl_ho",1,0.0808499514,"control",60,101,"nl","ho"
"101_22_60_nl_ho",1,1.2476553449,"control",60,101,"nl","ho"
"101_23_60_nl_ho",1,0.0518917225,"control",60,101,"nl","ho"
"101_24_60_nl_ho",1,1.6770061339,"control",60,101,"nl","ho"
"101_25_60_nl_ho",1,0.7162017305,"control",60,101,"nl","ho"
"101_26_60_nl_ho",1,0.1516088578,"control",60,101,"nl","ho"
"101_27_60_nl_ho",1,0.7284252832,"control",60,101,"nl","ho"
"101_28_60_nl_ho",1,0.4420802633,"control",60,101,"nl","ho"
"101_29_60_nl_ho",1,0.5276021021,"control",60,101,"nl","ho"
"101_30_60_nl_ho",1,0.0058775996,"control",60,101,"nl","ho"
"101_31_60_nl_ho",1,1.3574633098,"control",60,101,"nl","ho"
"101_32_60_nl_ho",1,1.0057280988,"control",60,101,"nl","ho"
"101_33_60_nl_ho",1,0.6853236693,"control",60,101,"nl","ho"
"101_34_60_nl_ho",1,0.0932465559,"control",60,101,"nl","ho"
"101_35_60_nl_ho",1,1.9315350045,"control",60,101,"nl","ho"
"101_36_60_nl_ho",1,1.5201367485,"control",60,101,"nl","ho"
"101_37_60_nl_ho",1,1.0956987037,"control",60,101,"nl","ho"
"101_38_60_nl_ho",1,0.2149784943,"control",60,101,"nl","ho"
"101_39_60_nl_ho",1,0.7285305698,"control",60,101,"nl","ho"
"101_40_60_nl_ho",1,0.5514203913,"control",60,101,"nl","ho"
"101_41_60_nl_ho",1,0.4101861438,"control",60,101,"nl","ho"
"101_42_60_nl_ho",1,0.4553154102,"control",60,101,"nl","ho"
"101_43_60_nl_ho",1,0.7314885126,"control",60,101,"nl","ho"
"101_44_60_nl_ho",1,0.4547671278,"control",60,101,"nl","ho"
"101_45_60_nl_ho",1,0.385621081,"control",60,101,"nl","ho"
"101_46_60_nl_ho",1,0.9547255792,"control",60,101,"nl","ho"
"101_47_60_nl_ho",1,1.5144177777,"control",60,101,"nl","ho"
"101_48_60_nl_ho",1,0.639533362,"control",60,101,"nl","ho"
"101_49_60_nl_ho",1,0.7414313968,"control",60,101,"nl","ho"
"101_50_60_nl_ho",1,0.397737754,"control",60,101,"nl","ho"
"101_1_60_nl_ho",2,1.4371201098,"control",60,101,"nl","ho"
"101_2_60_nl_ho",2,3.2008937244,"control",60,101,"nl","ho"
"101_3_60_nl_ho",2,2.4848484133,"control",60,101,"nl","ho"
"101_4_60_nl_ho",2,2.1913742091,"control",60,101,"nl","ho"
"101_5_60_nl_ho",2,1.2659822094,"control",60,101,"nl","ho"
"101_6_60_nl_ho",2,1.4249693442,"control",60,101,"nl","ho"
"101_7_60_nl_ho",2,1.5637974914,"control",60,101,"nl","ho"
"101_8_60_nl_ho",2,2.8854471811,"control",60,101,"nl","ho"
"101_9_60_nl_ho",2,0.1888374265,"control",60,101,"nl","ho"
"101_10_60_nl_ho",2,1.5960813606,"control",60,101,"nl","ho"
"101_11_60_nl_ho",2,1.334754962,"control",60,101,"nl","ho"
"101_12_60_nl_ho",2,2.0904738658,"control",60,101,"nl","ho"
"101_13_60_nl_ho",2,0.353644907,"control",60,101,"nl","ho"
"101_14_60_nl_ho",2,2.2531902445,"control",60,101,"nl","ho"
"101_15_60_nl_ho",2,2.9733482846,"control",60,101,"nl","ho"
"101_16_60_nl_ho",2,0.685692575,"control",60,101,"nl","ho"
"101_17_60_nl_ho",2,2.231056073,"control",60,101,"nl","ho"
"101_18_60_nl_ho",2,1.2907479724,"control",60,101,"nl","ho"
"101_19_60_nl_ho",2,1.1731455646,"control",60,101,"nl","ho"
"101_20_60_nl_ho",2,2.2409212881,"control",60,101,"nl","ho"
"101_21_60_nl_ho",2,2.0251460002,"control",60,101,"nl","ho"
"101_22_60_nl_ho",2,2.9304734563,"control",60,101,"nl","ho"
