"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_6_222_l_ho",1,6.38678558972909,"treated",222,10,"l","ho"
"10_7_222_l_ho",1,5.91133716019299,"treated",222,10,"l","ho"
"10_8_222_l_ho",1,7.82324377978082,"treated",222,10,"l","ho"
"10_9_222_l_ho",1,4.36747415540882,"treated",222,10,"l","ho"
"10_10_222_l_ho",1,13.703106133916,"treated",222,10,"l","ho"
"10_6_222_l_ho",2,6.09661633126285,"treated",222,10,"l","ho"
"10_7_222_l_ho",2,5.76042173379721,"treated",222,10,"l","ho"
"10_8_222_l_ho",2,7.76308070739943,"treated",222,10,"l","ho"
"10_9_222_l_ho",2,4.96968327001607,"treated",222,10,"l","ho"
"10_10_222_l_ho",2,14.555337148355,"treated",222,10,"l","ho"
"10_6_222_l_ho",3,5.86186054810248,"treated",222,10,"l","ho"
"10_7_222_l_ho",3,6.04366220387258,"treated",222,10,"l","ho"
"10_8_222_l_ho",3,7.94144632811476,"treated",222,10,"l","ho"
"10_9_222_l_ho",3,5.42213114437282,"treated",222,10,"l","ho"
"10_10_222_l_ho",3,14.5801754046937,"treated",222,10,"l","ho"
"10_6_222_l_ho",4,5.82373891804866,"treated",222,10,"l","ho"
"10_7_222_l_ho",4,6.25243894277877,"treated",222,10,"l","ho"
"10_8_222_l_ho",4,8.11621117748916,"treated",222,10,"l","ho"
"10_9_222_l_ho",4,5.51782699874483,"treated",222,10,"l","ho"
"10_10_222_l_ho",4,14.3926840007833,"treated",222,10,"l","ho"
"10_6_222_l_ho",5,5.38932030834807,"treated",222,10,"l","ho"
"10_7_222_l_ho",5,6.56743574546647,"treated",222,10,"l","ho"
"10_8_222_l_ho",5,8.00884822003701,"treated",222,10,"l","ho"
"10_9_222_l_ho",5,5.8462754915975,"treated",222,10,"l","ho"
"10_10_222_l_ho",5,14.1303209083244,"treated",222,10,"l","ho"
"10_6_222_l_ho",6,5.57513258025376,"treated",222,10,"l","ho"
"10_7_222_l_ho",6,6.95395799624534,"treated",222,10,"l","ho"
"10_8_222_l_ho",6,7.79267038804674,"treated",222,10,"l","ho"
"10_9_222_l_ho",6,5.91751722873088,"treated",222,10,"l","ho"
"10_10_222_l_ho",6,13.283712107013,"treated",222,10,"l","ho"
"10_6_222_l_ho",7,5.52313315719377,"treated",222,10,"l","ho"
"10_7_222_l_ho",7,6.7326050566631,"treated",222,10,"l","ho"
"10_8_222_l_ho",7,7.7625957080677,"treated",222,10,"l","ho"
"10_9_222_l_ho",7,6.19106845493311,"treated",222,10,"l","ho"
"10_10_222_l_ho",7,13.1739271236851,"treated",222,10,"l","ho"
"10_6_222_l_ho",8,5.95926426312619,"treated",222,10,"l","ho"
"10_7_222_l_ho",8,6.42381309057758,"treated",222,10,"l","ho"
"10_8_222_l_ho",8,7.14844955588274,"treated",222,10,"l","ho"
"10_9_222_l_ho",8,6.0386079401887,"treated",222,10,"l","ho"
"10_10_222_l_ho",8,12.7109090552015,"treated",222,10,"l","ho"
"10_6_222_l_ho",9,6.52797404547362,"treated",222,10,"l","ho"
"10_7_222_l_ho",9,6.09837148234272,"treated",222,10,"l","ho"
"10_8_222_l_ho",9,6.72754353859564,"treated",222,10,"l","ho"
"10_9_222_l_ho",9,6.32988424333251,"treated",222,10,"l","ho"
"10_10_222_l_ho",9,12.4739700308525,"treated",222,10,"l","ho"
"10_6_222_l_ho",10,6.83006638827198,"treated",222,10,"l","ho"
"10_7_222_l_ho",10,5.55392274971004,"treated",222,10,"l","ho"
"10_8_222_l_ho",10,6.30015818748668,"treated",222,10,"l","ho"
"10_9_222_l_ho",10,6.66653242953479,"treated",222,10,"l","ho"
"10_10_222_l_ho",10,12.3131896771949,"treated",222,10,"l","ho"
"10_6_222_l_ho",11,7.36598119196006,"treated",222,10,"l","ho"
"10_7_222_l_ho",11,5.3707494944978,"treated",222,10,"l","ho"
"10_8_222_l_ho",11,5.57643059068063,"treated",222,10,"l","ho"
"10_9_222_l_ho",11,7.28212735269821,"treated",222,10,"l","ho"
"10_10_222_l_ho",11,12.5734062464025,"treated",222,10,"l","ho"
"10_6_222_l_ho",12,7.65730637428932,"treated",222,10,"l","ho"
"10_7_222_l_ho",12,5.52443602365843,"treated",222,10,"l","ho"
"10_8_222_l_ho",12,5.19955767755341,"treated",222,10,"l","ho"
"10_9_222_l_ho",12,8.1393203341292,"treated",222,10,"l","ho"
"10_10_222_l_ho",12,12.4628420704509,"treated",222,10,"l","ho"
