10_1_222_nl_he,10_2_222_nl_he,10_3_222_nl_he,10_4_222_nl_he,10_5_222_nl_he,10_6_222_nl_he,10_7_222_nl_he,10_8_222_nl_he,10_9_222_nl_he,10_10_222_nl_he
0.4391453278,0.5581441528,1.97875131,1.1816299468,1.3096306021,1.0796054035,1.0400013276,0.6601961763,0.9682411759,0.9395631518
2.0941964759,0.9263880982,3.715941485,2.3263365576,2.164118367,0.6869363833,3.4080251861,0.9333216616,1.0598644393,2.488007539
2.7737144203,1.0988071724,3.8848828551,3.8901896305,2.5922678716,0.8666585292,3.7350554296,2.0830933538,1.8275913681,2.9614406866
4.4199957706,0.2092783846,3.5719882449,4.1606678618,1.7777829512,2.1405731148,4.8592105932,2.8725729705,2.339843917,3.7249345823
6.2259526815,0.3392528095,3.9323993895,5.2750197334,3.0729356727,2.6204816648,5.6295708515,2.6222335607,2.2767914372,5.0510504821
7.8175728933,1.5032713041,5.0631922346,5.2558284089,5.2921016538,4.639537174,6.2655131956,2.7592936081,1.0823855867,6.6074534069
7.7745633987,1.2934042058,6.9022387755,5.2201155491,5.1090409727,4.7914144591,6.372398548,2.8825160592,2.0298658314,5.6700833193
8.3782832296,4.2103905219,9.0041366224,6.5979646122,5.5850815054,4.7682317336,6.3735682392,3.0052473775,3.244904641,4.3623252335
7.8298562406,7.4651108678,10.5873756886,7.9206812659,5.0831899789,6.7287325025,5.9248286712,3.2635587068,4.8405529197,4.9917721052
8.1197760439,8.886932783,12.4621283422,7.6061973375,4.788382338,8.9094113413,6.0334856028,4.0068120035,4.3477862967,5.4896496895
7.2074969001,9.4137476192,12.5111532131,7.3386434651,3.3186279456,8.3782466005,6.7019064897,4.9839408055,4.3628333799,4.8514313496
6.373747019,10.3622264927,12.6550555099,8.4741359588,2.6075204846,9.0938757038,6.6655318243,5.9203452186,4.9254753394,4.4503680452
5.812555231,10.2609585038,14.208831761,8.6612133598,2.6492503572,8.9448668974,6.924427044,5.242430995,4.7401013396,5.0590556358
4.9645742148,9.2153897905,13.5197087798,7.8718087893,3.7273342507,8.0449021647,8.0661786169,4.2629765842,2.9692016971,5.5988771603
5.7805303489,10.573201882,14.1720820297,5.9685269454,7.289405663,8.1587639141,9.207335953,2.809713305,3.1278127928,6.1309112057
6.0029894212,11.4654456383,13.9606860057,4.6152552615,9.2485796059,8.0656740615,9.7740980323,2.028194262,1.2090635765,5.7751133584
5.2445205839,12.6989587156,13.276536412,4.0995700008,10.9869175777,8.0387479632,8.4291378613,2.6123685255,0.4657514725,5.0957855023
6.0355159898,13.9112990307,11.3890636891,4.6205486315,10.4434745637,8.9614756281,5.8155130234,3.0629201541,1.9323927415,4.4991358016
5.27922336,11.7913350442,10.516807072,6.3414872766,9.4607446856,8.6503157672,3.0312459329,2.9608756223,3.1268081961,3.4626368528
5.8506877277,10.4744816628,9.2773793755,8.2219144725,8.5966795353,7.1557699114,2.3199408331,3.7113799456,4.2757697312,2.9093649037
6.4827506076,8.8273989152,6.3361569546,7.9168578605,6.6896572082,5.5618392652,0.9297999232,4.7880637811,6.4959456055,2.6318281947
7.0962685344,8.7088881477,3.5470584478,8.9451496076,5.0202129558,5.0438926161,0.1781098114,5.4179738662,7.8170562432,1.4195555651
7.982708171,8.5631569573,1.909095164,8.1495856321,5.1409799752,5.3493678413,1.5954212205,6.1434392922,7.6570612679,1.1329443982
7.4368980032,9.7032923393,2.2161805361,8.6573844583,5.3024456828,6.4736336162,2.2657426597,6.2187244262,6.757585215,1.2713615618
6.9429462205,8.604848817,3.5929127474,7.0572401235,7.0479607987,6.2694078228,4.0368186347,6.4297442856,4.0202170973,2.1204773459
7.9490214006,7.2919755864,3.2258615441,6.5800905306,7.2638769037,5.6510690425,6.8478200122,6.5225795016,1.0984047837,3.9162012344
8.2740627604,4.65636468,1.7341246775,6.8116054896,5.714827287,6.3860752023,7.8136482895,5.8816107018,0.452888808,4.8755169264
8.3557520427,3.7635085928,4.2593352909,6.2771602545,5.015373316,6.5481332054,7.6196745145,6.4273250086,2.2215759044,5.4179371044
8.6717188253,5.3441628153,5.7085262351,6.5773537734,6.8650631841,5.9945068705,7.8776737416,6.8982838713,4.0981757345,4.6814578865
9.2066674005,4.6681676635,6.8422068251,4.7529822019,7.7701323118,7.7452963069,6.9479307875,6.7342556189,4.9325594134,5.7913164873
9.7604953667,4.3658298469,7.4295015672,3.7304749286,6.2623365087,9.4685466526,7.7284701493,7.1460416195,5.6439659082,5.5526962293
10.8180561624,6.3527838795,7.6756811046,3.8850774211,3.5031785086,10.7683108622,9.2179078997,7.8890845357,5.706195588,4.4515393036
10.4811392921,7.5259839512,7.605106954,2.6691245315,2.890358159,11.7055752926,12.3107940151,9.7445346503,5.2453163737,5.1107764775
9.4522672909,8.7141087005,7.4816531161,1.8098108087,2.457012104,12.2963773751,13.4367967763,10.8910300124,5.3314073668,6.3944653471
9.1441469616,8.2791581548,8.5217080786,0.2564539466,3.6292296848,13.8015058389,14.6828292669,9.7105362315,5.469626664,6.5794824545
7.9030223799,8.2592375371,7.3479292263,0.7819896192,5.336826692,14.1218432745,13.2475290002,10.4241162105,5.4615491728,6.400518129
6.3346101274,7.9850634639,6.233153185,3.1194509453,5.1445345793,13.6118002064,11.9415397057,10.0775002367,4.8132836112,7.5275985921
4.3093672155,7.2220263875,6.9115492091,4.7026098152,7.430104967,14.410142134,10.4022655172,9.5235469764,5.9990234459,7.0742705078
4.5767272247,6.3807634644,5.7909960916,4.8525217851,7.0541926946,13.9364103508,10.0851044818,8.8551434262,7.3814017729,7.7195987986
4.4580771178,5.5063148564,5.5470179819,3.1636105902,6.9937991308,11.9945441589,8.5994111688,9.0127220711,7.5565476239,8.287415429
5.366598342,5.1358781893,4.4671979212,2.7467679431,6.7137570457,10.1959931967,7.9995294094,11.0909232363,7.2698062446,7.811671158
5.7728085493,5.8059565644,2.7446460001,1.9044087814,7.8635514735,9.8436826973,6.8627801715,11.7444094567,6.40983463,8.5635060527
6.0267233914,7.7873932554,2.222133908,2.4320055445,9.2863506789,8.0521061494,5.6205675714,10.720477426,5.5001675939,8.2021713945
5.8088390088,9.1768510129,1.0884098492,1.0065893614,11.0222602045,6.3492003473,3.5492933431,8.9814991516,4.8253480359,6.6600424769
6.2691143303,10.646196852,0.0205631871,2.2444194769,11.9184609417,4.7200059971,3.5156461329,7.9184393342,4.8152160117,7.1415622999
6.2301026014,11.194037065,0.331410342,3.9394762906,13.234651519,3.2356601467,1.592966967,6.8171160282,4.29085652,6.1930626231
7.3715773054,10.0866516709,1.6627077151,5.557438501,12.896055618,2.8667286672,0.7446908052,6.5270524943,6.479629915,5.1142559134
7.9928479779,9.8506095201,3.1703383187,5.7090856591,13.441578743,2.4125015153,1.3425818636,6.4784211729,6.8687734164,5.9179543038
7.9864485054,9.2072536546,4.5721763402,5.8218393203,13.2108085525,2.5691111794,1.2170096351,6.0433461143,7.3768800147,6.1476366684
