"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_251_60_nl_he",1,4.1799614522,"treated",60,500,"nl","he"
"500_252_60_nl_he",1,7.0768275609,"treated",60,500,"nl","he"
"500_253_60_nl_he",1,5.8809412234,"treated",60,500,"nl","he"
"500_254_60_nl_he",1,10.3762045799,"treated",60,500,"nl","he"
"500_255_60_nl_he",1,5.9940316753,"treated",60,500,"nl","he"
"500_256_60_nl_he",1,7.5239976875,"treated",60,500,"nl","he"
"500_257_60_nl_he",1,4.8241697786,"treated",60,500,"nl","he"
"500_258_60_nl_he",1,9.1237362164,"treated",60,500,"nl","he"
"500_259_60_nl_he",1,1.6781351937,"treated",60,500,"nl","he"
"500_260_60_nl_he",1,5.1364994941,"treated",60,500,"nl","he"
"500_261_60_nl_he",1,0.697611887,"treated",60,500,"nl","he"
"500_262_60_nl_he",1,4.7064745318,"treated",60,500,"nl","he"
"500_263_60_nl_he",1,7.2928548323,"treated",60,500,"nl","he"
"500_264_60_nl_he",1,10.9232338845,"treated",60,500,"nl","he"
"500_265_60_nl_he",1,7.0466992872,"treated",60,500,"nl","he"
"500_266_60_nl_he",1,9.104500192,"treated",60,500,"nl","he"
"500_267_60_nl_he",1,6.1659216565,"treated",60,500,"nl","he"
"500_268_60_nl_he",1,1.3548716349,"treated",60,500,"nl","he"
"500_269_60_nl_he",1,4.9586465853,"treated",60,500,"nl","he"
"500_270_60_nl_he",1,8.7108407074,"treated",60,500,"nl","he"
"500_271_60_nl_he",1,4.8048286572,"treated",60,500,"nl","he"
"500_272_60_nl_he",1,11.1629199097,"treated",60,500,"nl","he"
"500_273_60_nl_he",1,4.6012083199,"treated",60,500,"nl","he"
"500_274_60_nl_he",1,11.2854650352,"treated",60,500,"nl","he"
"500_275_60_nl_he",1,5.9056319175,"treated",60,500,"nl","he"
"500_276_60_nl_he",1,8.9666436314,"treated",60,500,"nl","he"
"500_277_60_nl_he",1,7.745891054,"treated",60,500,"nl","he"
"500_278_60_nl_he",1,12.7727052806,"treated",60,500,"nl","he"
"500_279_60_nl_he",1,3.3885757924,"treated",60,500,"nl","he"
"500_280_60_nl_he",1,8.3627703719,"treated",60,500,"nl","he"
"500_281_60_nl_he",1,9.7474155178,"treated",60,500,"nl","he"
"500_282_60_nl_he",1,9.2256370263,"treated",60,500,"nl","he"
"500_283_60_nl_he",1,4.6508063377,"treated",60,500,"nl","he"
"500_284_60_nl_he",1,3.8581126881,"treated",60,500,"nl","he"
"500_285_60_nl_he",1,2.4040557409,"treated",60,500,"nl","he"
"500_286_60_nl_he",1,6.1884241782,"treated",60,500,"nl","he"
"500_287_60_nl_he",1,6.8248939895,"treated",60,500,"nl","he"
"500_288_60_nl_he",1,3.2748630441,"treated",60,500,"nl","he"
"500_289_60_nl_he",1,7.060098639,"treated",60,500,"nl","he"
"500_290_60_nl_he",1,7.7170269453,"treated",60,500,"nl","he"
"500_291_60_nl_he",1,8.7745819462,"treated",60,500,"nl","he"
"500_292_60_nl_he",1,3.0556827385,"treated",60,500,"nl","he"
"500_293_60_nl_he",1,7.2770380924,"treated",60,500,"nl","he"
"500_294_60_nl_he",1,3.6214423794,"treated",60,500,"nl","he"
"500_295_60_nl_he",1,14.2669471802,"treated",60,500,"nl","he"
"500_296_60_nl_he",1,11.4820476052,"treated",60,500,"nl","he"
"500_297_60_nl_he",1,9.8944527892,"treated",60,500,"nl","he"
"500_298_60_nl_he",1,10.0886962549,"treated",60,500,"nl","he"
"500_299_60_nl_he",1,7.4097079932,"treated",60,500,"nl","he"
"500_300_60_nl_he",1,9.1733416896,"treated",60,500,"nl","he"
"500_301_60_nl_he",1,3.3602196467,"treated",60,500,"nl","he"
"500_302_60_nl_he",1,7.5357270825,"treated",60,500,"nl","he"
"500_303_60_nl_he",1,3.7306985018,"treated",60,500,"nl","he"
"500_304_60_nl_he",1,10.5000510788,"treated",60,500,"nl","he"
"500_305_60_nl_he",1,3.7755887901,"treated",60,500,"nl","he"
"500_306_60_nl_he",1,12.3743189186,"treated",60,500,"nl","he"
"500_307_60_nl_he",1,3.6700083696,"treated",60,500,"nl","he"
"500_308_60_nl_he",1,8.5020471975,"treated",60,500,"nl","he"
"500_309_60_nl_he",1,9.5854630448,"treated",60,500,"nl","he"
"500_310_60_nl_he",1,8.2032667401,"treated",60,500,"nl","he"
"500_311_60_nl_he",1,6.5775386154,"treated",60,500,"nl","he"
"500_312_60_nl_he",1,9.3763723341,"treated",60,500,"nl","he"
"500_313_60_nl_he",1,6.8570521471,"treated",60,500,"nl","he"
"500_314_60_nl_he",1,7.3064067503,"treated",60,500,"nl","he"
"500_315_60_nl_he",1,5.8139227324,"treated",60,500,"nl","he"
"500_316_60_nl_he",1,3.6820612032,"treated",60,500,"nl","he"
"500_317_60_nl_he",1,10.7172176078,"treated",60,500,"nl","he"
"500_318_60_nl_he",1,1.8261079316,"treated",60,500,"nl","he"
"500_319_60_nl_he",1,5.7607015435,"treated",60,500,"nl","he"
"500_320_60_nl_he",1,5.3346162842,"treated",60,500,"nl","he"
"500_321_60_nl_he",1,5.0071289754,"treated",60,500,"nl","he"
"500_322_60_nl_he",1,14.1886934163,"treated",60,500,"nl","he"
"500_323_60_nl_he",1,3.9979776227,"treated",60,500,"nl","he"
"500_324_60_nl_he",1,6.4968966012,"treated",60,500,"nl","he"
"500_325_60_nl_he",1,5.7417821347,"treated",60,500,"nl","he"
"500_326_60_nl_he",1,5.5646660599,"treated",60,500,"nl","he"
"500_327_60_nl_he",1,3.2137606746,"treated",60,500,"nl","he"
"500_328_60_nl_he",1,12.4502292713,"treated",60,500,"nl","he"
"500_329_60_nl_he",1,7.9534832799,"treated",60,500,"nl","he"
"500_330_60_nl_he",1,7.3403716471,"treated",60,500,"nl","he"
"500_331_60_nl_he",1,4.8774204813,"treated",60,500,"nl","he"
"500_332_60_nl_he",1,10.8296001411,"treated",60,500,"nl","he"
"500_333_60_nl_he",1,7.7029139895,"treated",60,500,"nl","he"
"500_334_60_nl_he",1,6.1571196599,"treated",60,500,"nl","he"
"500_335_60_nl_he",1,6.2735212264,"treated",60,500,"nl","he"
"500_336_60_nl_he",1,10.5335364976,"treated",60,500,"nl","he"
"500_337_60_nl_he",1,2.4824007683,"treated",60,500,"nl","he"
"500_338_60_nl_he",1,6.8020098022,"treated",60,500,"nl","he"
"500_339_60_nl_he",1,5.0528351371,"treated",60,500,"nl","he"
"500_340_60_nl_he",1,8.7331408351,"treated",60,500,"nl","he"
"500_341_60_nl_he",1,8.3488767264,"treated",60,500,"nl","he"
"500_342_60_nl_he",1,7.8687743484,"treated",60,500,"nl","he"
"500_343_60_nl_he",1,10.0262654847,"treated",60,500,"nl","he"
"500_344_60_nl_he",1,8.6021905094,"treated",60,500,"nl","he"
"500_345_60_nl_he",1,3.000027559,"treated",60,500,"nl","he"
"500_346_60_nl_he",1,6.5295226284,"treated",60,500,"nl","he"
"500_347_60_nl_he",1,7.673744051,"treated",60,500,"nl","he"
"500_348_60_nl_he",1,8.0152809347,"treated",60,500,"nl","he"
"500_349_60_nl_he",1,13.7538411661,"treated",60,500,"nl","he"
"500_350_60_nl_he",1,3.9473520498,"treated",60,500,"nl","he"
"500_351_60_nl_he",1,8.0549178065,"treated",60,500,"nl","he"
"500_352_60_nl_he",1,6.6184934139,"treated",60,500,"nl","he"
"500_353_60_nl_he",1,2.0635143495,"treated",60,500,"nl","he"
"500_354_60_nl_he",1,9.5014934721,"treated",60,500,"nl","he"
"500_355_60_nl_he",1,7.2295351681,"treated",60,500,"nl","he"
"500_356_60_nl_he",1,6.7161291423,"treated",60,500,"nl","he"
"500_357_60_nl_he",1,5.1386922492,"treated",60,500,"nl","he"
"500_358_60_nl_he",1,2.8203670507,"treated",60,500,"nl","he"
"500_359_60_nl_he",1,13.2289535457,"treated",60,500,"nl","he"
"500_360_60_nl_he",1,8.4102484202,"treated",60,500,"nl","he"
"500_361_60_nl_he",1,4.829989875,"treated",60,500,"nl","he"
"500_362_60_nl_he",1,1.8562320905,"treated",60,500,"nl","he"
"500_363_60_nl_he",1,3.4055382975,"treated",60,500,"nl","he"
"500_364_60_nl_he",1,8.7584925076,"treated",60,500,"nl","he"
"500_365_60_nl_he",1,8.9587907599,"treated",60,500,"nl","he"
"500_366_60_nl_he",1,6.6997350931,"treated",60,500,"nl","he"
"500_367_60_nl_he",1,2.6742759153,"treated",60,500,"nl","he"
"500_368_60_nl_he",1,8.5920538314,"treated",60,500,"nl","he"
"500_369_60_nl_he",1,9.014851351,"treated",60,500,"nl","he"
"500_370_60_nl_he",1,8.1229649894,"treated",60,500,"nl","he"
"500_371_60_nl_he",1,8.2906058119,"treated",60,500,"nl","he"
"500_372_60_nl_he",1,6.2805542248,"treated",60,500,"nl","he"
