"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_60_nonlinear_homogeneous",1,4.138398103,"control",60,101,"nonlinear","homogeneous"
"101_2_60_nonlinear_homogeneous",1,4.1431360797,"control",60,101,"nonlinear","homogeneous"
"101_3_60_nonlinear_homogeneous",1,2.702649913,"control",60,101,"nonlinear","homogeneous"
"101_4_60_nonlinear_homogeneous",1,3.7720903456,"control",60,101,"nonlinear","homogeneous"
"101_5_60_nonlinear_homogeneous",1,4.6498398249,"control",60,101,"nonlinear","homogeneous"
"101_6_60_nonlinear_homogeneous",1,1.5439584828,"control",60,101,"nonlinear","homogeneous"
"101_7_60_nonlinear_homogeneous",1,2.8729649868,"control",60,101,"nonlinear","homogeneous"
"101_8_60_nonlinear_homogeneous",1,4.130730572,"control",60,101,"nonlinear","homogeneous"
"101_9_60_nonlinear_homogeneous",1,6.0642423373,"control",60,101,"nonlinear","homogeneous"
"101_10_60_nonlinear_homogeneous",1,2.2903753975,"control",60,101,"nonlinear","homogeneous"
"101_11_60_nonlinear_homogeneous",1,5.6317963442,"control",60,101,"nonlinear","homogeneous"
"101_12_60_nonlinear_homogeneous",1,7.0312669383,"control",60,101,"nonlinear","homogeneous"
"101_13_60_nonlinear_homogeneous",1,2.7187145091,"control",60,101,"nonlinear","homogeneous"
"101_14_60_nonlinear_homogeneous",1,4.5061171153,"control",60,101,"nonlinear","homogeneous"
"101_15_60_nonlinear_homogeneous",1,4.6868294989,"control",60,101,"nonlinear","homogeneous"
"101_16_60_nonlinear_homogeneous",1,4.9763813179,"control",60,101,"nonlinear","homogeneous"
"101_17_60_nonlinear_homogeneous",1,3.0245122321,"control",60,101,"nonlinear","homogeneous"
"101_18_60_nonlinear_homogeneous",1,3.1284777831,"control",60,101,"nonlinear","homogeneous"
"101_19_60_nonlinear_homogeneous",1,1.8074593983,"control",60,101,"nonlinear","homogeneous"
"101_20_60_nonlinear_homogeneous",1,3.0587309219,"control",60,101,"nonlinear","homogeneous"
"101_21_60_nonlinear_homogeneous",1,3.7060055345,"control",60,101,"nonlinear","homogeneous"
"101_22_60_nonlinear_homogeneous",1,2.6188342747,"control",60,101,"nonlinear","homogeneous"
"101_23_60_nonlinear_homogeneous",1,3.6299652202,"control",60,101,"nonlinear","homogeneous"
"101_24_60_nonlinear_homogeneous",1,2.5995208052,"control",60,101,"nonlinear","homogeneous"
"101_25_60_nonlinear_homogeneous",1,6.8271418047,"control",60,101,"nonlinear","homogeneous"
"101_26_60_nonlinear_homogeneous",1,4.220652162,"control",60,101,"nonlinear","homogeneous"
"101_27_60_nonlinear_homogeneous",1,3.5848083387,"control",60,101,"nonlinear","homogeneous"
"101_28_60_nonlinear_homogeneous",1,3.3356155833,"control",60,101,"nonlinear","homogeneous"
"101_29_60_nonlinear_homogeneous",1,4.7309490363,"control",60,101,"nonlinear","homogeneous"
"101_30_60_nonlinear_homogeneous",1,4.1765140682,"control",60,101,"nonlinear","homogeneous"
"101_31_60_nonlinear_homogeneous",1,4.1089222559,"control",60,101,"nonlinear","homogeneous"
"101_32_60_nonlinear_homogeneous",1,4.298440594,"control",60,101,"nonlinear","homogeneous"
"101_33_60_nonlinear_homogeneous",1,3.5731950692,"control",60,101,"nonlinear","homogeneous"
"101_34_60_nonlinear_homogeneous",1,5.6519964673,"control",60,101,"nonlinear","homogeneous"
"101_35_60_nonlinear_homogeneous",1,5.0288678803,"control",60,101,"nonlinear","homogeneous"
"101_36_60_nonlinear_homogeneous",1,3.1472280587,"control",60,101,"nonlinear","homogeneous"
"101_37_60_nonlinear_homogeneous",1,3.5927819344,"control",60,101,"nonlinear","homogeneous"
"101_38_60_nonlinear_homogeneous",1,5.5044348189,"control",60,101,"nonlinear","homogeneous"
"101_39_60_nonlinear_homogeneous",1,3.0885653486,"control",60,101,"nonlinear","homogeneous"
"101_40_60_nonlinear_homogeneous",1,4.0459522059,"control",60,101,"nonlinear","homogeneous"
"101_41_60_nonlinear_homogeneous",1,4.4903022302,"control",60,101,"nonlinear","homogeneous"
"101_42_60_nonlinear_homogeneous",1,2.4904265903,"control",60,101,"nonlinear","homogeneous"
"101_43_60_nonlinear_homogeneous",1,5.7480115539,"control",60,101,"nonlinear","homogeneous"
"101_44_60_nonlinear_homogeneous",1,3.485067593,"control",60,101,"nonlinear","homogeneous"
"101_45_60_nonlinear_homogeneous",1,3.7023327323,"control",60,101,"nonlinear","homogeneous"
"101_46_60_nonlinear_homogeneous",1,4.8695567821,"control",60,101,"nonlinear","homogeneous"
"101_47_60_nonlinear_homogeneous",1,3.4795231402,"control",60,101,"nonlinear","homogeneous"
"101_48_60_nonlinear_homogeneous",1,4.2298054148,"control",60,101,"nonlinear","homogeneous"
"101_49_60_nonlinear_homogeneous",1,4.3907627537,"control",60,101,"nonlinear","homogeneous"
"101_50_60_nonlinear_homogeneous",1,4.186647802,"control",60,101,"nonlinear","homogeneous"
"101_1_60_nonlinear_homogeneous",2,3.7861810761,"control",60,101,"nonlinear","homogeneous"
"101_2_60_nonlinear_homogeneous",2,3.4225981144,"control",60,101,"nonlinear","homogeneous"
