"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_60_linear_heterogeneous",1,4,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",1,4,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",1,4,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",1,4,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",1,4,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",2,2.6834603558153,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",2,2.9742530605214,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",2,4.47047041901696,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",2,4.75389285066974,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",2,3.05953073397025,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",3,1.78864791869295,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",3,2.94868327868123,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",3,3.69406383541498,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",3,6.04267493490069,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",3,3.44606915726328,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",4,1.83247517814614,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",4,3.6723603415019,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",4,2.80539100544577,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",4,5.53143393711985,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",4,3.15306660993862,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",5,1.84897839991014,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",5,4.01560285782451,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",5,2.76708484747497,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",5,5.57823423318279,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",5,3.13895965883663,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",6,2.59194728558121,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",6,4.51281951331445,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",6,3.00004981030002,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",6,5.16017854611797,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",6,2.82722677428344,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",7,3.30704298297216,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",7,4.66310981873214,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",7,3.03703091971027,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",7,4.82743784949818,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",7,2.54859156888715,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",8,3.25148859094453,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",8,5.30055780659156,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",8,3.78835243264848,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",8,4.5005981775208,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",8,2.83306534917811,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",9,3.39161108546762,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",9,5.74090463266096,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",9,3.73027321902633,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",9,4.67122164304001,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",9,3.29384753220135,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",10,3.14996828047806,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",10,6.46126265105299,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",10,3.9093174503037,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",10,4.27297791250762,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",10,3.87240938074456,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",11,2.99432262381202,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",11,6.50370450982113,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",11,3.42855610701669,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",11,3.95890994448797,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",11,3.43740305557094,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",12,3.29639319118068,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",12,6.48092621937822,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",12,2.9538290939669,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",12,3.61683139589024,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",12,3.59271987076542,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",13,3.60863319129272,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",13,6.60737825708222,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",13,2.53438727451582,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",13,3.24037421166257,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",13,3.32927455517699,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",14,3.89062345353824,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",14,6.38660241166582,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",14,2.25099256599973,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",14,3.60162320510131,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",14,3.1367728541126,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",15,4.39127654332015,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",15,6.76522033777792,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",15,2.47232862003801,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",15,3.65841911149317,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",15,3.28012677785218,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",16,5.23173924923999,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",16,7.15146113791449,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",16,2.4099078756009,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",16,4.07062159373686,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",16,4.25064576784329,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",17,6.85090693376867,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",17,7.05207583701774,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",17,2.71506086162645,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",17,3.93983432114461,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",17,4.77914130565133,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",18,7.80139804619681,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",18,6.8796499834864,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",18,2.85097092175916,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",18,3.5860944894261,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",18,5.10015913996037,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",19,8.3546164283331,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",19,7.04014916659149,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",19,3.53639840349769,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",19,3.31419525916193,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",19,5.68589095785737,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",20,8.31567158610324,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",20,6.96649605849237,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",20,4.01044579392978,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",20,3.47123289850053,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",20,5.35674508208621,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",21,7.87216125522269,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",21,6.47872903044869,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",21,4.41379434257516,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",21,3.66160283940024,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",21,5.17568931356009,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",22,7.56546101510457,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",22,6.26141783661617,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",22,4.32973499088944,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",22,3.98776092958631,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",22,5.0816695801807,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",23,7.73764910282434,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",23,5.93185865577065,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",23,4.22755844038083,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",23,3.77197441750866,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",23,4.5249456517815,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",24,7.60867559724678,"control",60,10,"linear","heterogeneous"
"10_2_60_linear_heterogeneous",24,5.16182811559588,"control",60,10,"linear","heterogeneous"
"10_3_60_linear_heterogeneous",24,4.09532891670019,"control",60,10,"linear","heterogeneous"
"10_4_60_linear_heterogeneous",24,3.88547573935476,"control",60,10,"linear","heterogeneous"
"10_5_60_linear_heterogeneous",24,4.45595010971206,"control",60,10,"linear","heterogeneous"
"10_1_60_linear_heterogeneous",25,7.50588703917014,"control",60,10,"linear","heterogeneous"
