"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_60_nonlinear_heterogeneous",1,2.9862379474,"control",60,10,"nonlinear","heterogeneous"
"10_2_60_nonlinear_heterogeneous",1,4.8249291178,"control",60,10,"nonlinear","heterogeneous"
"10_3_60_nonlinear_heterogeneous",1,3.521947309,"control",60,10,"nonlinear","heterogeneous"
"10_4_60_nonlinear_heterogeneous",1,3.9319982747,"control",60,10,"nonlinear","heterogeneous"
"10_5_60_nonlinear_heterogeneous",1,3.9058436211,"control",60,10,"nonlinear","heterogeneous"
"10_1_60_nonlinear_heterogeneous",2,3.2568477613,"control",60,10,"nonlinear","heterogeneous"
"10_2_60_nonlinear_heterogeneous",2,5.2025768546,"control",60,10,"nonlinear","heterogeneous"
"10_3_60_nonlinear_heterogeneous",2,3.6567051072,"control",60,10,"nonlinear","heterogeneous"
"10_4_60_nonlinear_heterogeneous",2,4.2974560741,"control",60,10,"nonlinear","heterogeneous"
"10_5_60_nonlinear_heterogeneous",2,5.0791805521,"control",60,10,"nonlinear","heterogeneous"
"10_1_60_nonlinear_heterogeneous",3,2.8179214044,"control",60,10,"nonlinear","heterogeneous"
"10_2_60_nonlinear_heterogeneous",3,6.0403193935,"control",60,10,"nonlinear","heterogeneous"
"10_3_60_nonlinear_heterogeneous",3,4.4160359846,"control",60,10,"nonlinear","heterogeneous"
"10_4_60_nonlinear_heterogeneous",3,3.7394388653,"control",60,10,"nonlinear","heterogeneous"
"10_5_60_nonlinear_heterogeneous",3,5.9849437107,"control",60,10,"nonlinear","heterogeneous"
"10_1_60_nonlinear_heterogeneous",4,2.3032207441,"control",60,10,"nonlinear","heterogeneous"
"10_2_60_nonlinear_heterogeneous",4,6.2582540293,"control",60,10,"nonlinear","heterogeneous"
"10_3_60_nonlinear_heterogeneous",4,5.3154947309,"control",60,10,"nonlinear","heterogeneous"
"10_4_60_nonlinear_heterogeneous",4,2.6854723075,"control",60,10,"nonlinear","heterogeneous"
"10_5_60_nonlinear_heterogeneous",4,4.6881591982,"control",60,10,"nonlinear","heterogeneous"
"10_1_60_nonlinear_heterogeneous",5,3.0741158431,"control",60,10,"nonlinear","heterogeneous"
"10_2_60_nonlinear_heterogeneous",5,7.0695587886,"control",60,10,"nonlinear","heterogeneous"
