"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_2_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_3_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_4_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_5_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_6_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_7_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_8_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_9_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_10_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_11_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_12_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_13_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_14_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_15_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_16_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_17_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_18_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_19_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_20_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_21_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_22_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_23_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_24_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_25_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_26_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_27_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_28_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_29_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_30_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_31_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_32_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_33_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_34_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_35_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_36_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_37_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_38_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_39_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_40_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_41_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_42_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_43_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_44_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_45_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_46_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_47_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_48_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_49_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_50_222_linear_heterogeneous",1,4,"control",222,101,"linear","heterogeneous"
"101_1_222_linear_heterogeneous",2,3.59448116831865,"control",222,101,"linear","heterogeneous"
"101_2_222_linear_heterogeneous",2,4.59711925199452,"control",222,101,"linear","heterogeneous"
"101_3_222_linear_heterogeneous",2,4.05903794609664,"control",222,101,"linear","heterogeneous"
"101_4_222_linear_heterogeneous",2,3.97899641240697,"control",222,101,"linear","heterogeneous"
"101_5_222_linear_heterogeneous",2,3.67531364953539,"control",222,101,"linear","heterogeneous"
"101_6_222_linear_heterogeneous",2,4.68658411138029,"control",222,101,"linear","heterogeneous"
"101_7_222_linear_heterogeneous",2,4.64047795416921,"control",222,101,"linear","heterogeneous"
"101_8_222_linear_heterogeneous",2,4.03389086103356,"control",222,101,"linear","heterogeneous"
"101_9_222_linear_heterogeneous",2,4.51816341998705,"control",222,101,"linear","heterogeneous"
"101_10_222_linear_heterogeneous",2,3.91580037601906,"control",222,101,"linear","heterogeneous"
"101_11_222_linear_heterogeneous",2,4.82508967332348,"control",222,101,"linear","heterogeneous"
"101_12_222_linear_heterogeneous",2,3.12336528344958,"control",222,101,"linear","heterogeneous"
"101_13_222_linear_heterogeneous",2,4.29792898581639,"control",222,101,"linear","heterogeneous"
"101_14_222_linear_heterogeneous",2,3.69881534772453,"control",222,101,"linear","heterogeneous"
"101_15_222_linear_heterogeneous",2,3.31119478956574,"control",222,101,"linear","heterogeneous"
"101_16_222_linear_heterogeneous",2,4.46275118309836,"control",222,101,"linear","heterogeneous"
"101_17_222_linear_heterogeneous",2,5.51531847720786,"control",222,101,"linear","heterogeneous"
"101_18_222_linear_heterogeneous",2,5.02503722612965,"control",222,101,"linear","heterogeneous"
"101_19_222_linear_heterogeneous",2,1.97648061737467,"control",222,101,"linear","heterogeneous"
"101_20_222_linear_heterogeneous",2,2.84351060568794,"control",222,101,"linear","heterogeneous"
"101_21_222_linear_heterogeneous",2,5.31116701419186,"control",222,101,"linear","heterogeneous"
"101_22_222_linear_heterogeneous",2,3.7777915181107,"control",222,101,"linear","heterogeneous"
"101_23_222_linear_heterogeneous",2,4.42546029481249,"control",222,101,"linear","heterogeneous"
"101_24_222_linear_heterogeneous",2,3.91868939363796,"control",222,101,"linear","heterogeneous"
"101_25_222_linear_heterogeneous",2,4.07889087049399,"control",222,101,"linear","heterogeneous"
"101_26_222_linear_heterogeneous",2,4.77243901994728,"control",222,101,"linear","heterogeneous"
"101_27_222_linear_heterogeneous",2,4.3354499277511,"control",222,101,"linear","heterogeneous"
"101_28_222_linear_heterogeneous",2,5.39615069881692,"control",222,101,"linear","heterogeneous"
"101_29_222_linear_heterogeneous",2,4.49567460764279,"control",222,101,"linear","heterogeneous"
"101_30_222_linear_heterogeneous",2,4.36284959458747,"control",222,101,"linear","heterogeneous"
"101_31_222_linear_heterogeneous",2,4.89523643632978,"control",222,101,"linear","heterogeneous"
"101_32_222_linear_heterogeneous",2,5.25884640832966,"control",222,101,"linear","heterogeneous"
"101_33_222_linear_heterogeneous",2,4.41263679135841,"control",222,101,"linear","heterogeneous"
"101_34_222_linear_heterogeneous",2,3.77411305121642,"control",222,101,"linear","heterogeneous"
"101_35_222_linear_heterogeneous",2,4.20104077035194,"control",222,101,"linear","heterogeneous"
"101_36_222_linear_heterogeneous",2,3.6448865352263,"control",222,101,"linear","heterogeneous"
"101_37_222_linear_heterogeneous",2,4.15818195132937,"control",222,101,"linear","heterogeneous"
"101_38_222_linear_heterogeneous",2,3.5331430438869,"control",222,101,"linear","heterogeneous"
"101_39_222_linear_heterogeneous",2,4.81314256663744,"control",222,101,"linear","heterogeneous"
"101_40_222_linear_heterogeneous",2,3.10979472139003,"control",222,101,"linear","heterogeneous"
"101_41_222_linear_heterogeneous",2,4.06656420221837,"control",222,101,"linear","heterogeneous"
"101_42_222_linear_heterogeneous",2,5.0489743783756,"control",222,101,"linear","heterogeneous"
"101_43_222_linear_heterogeneous",2,3.58374549945466,"control",222,101,"linear","heterogeneous"
"101_44_222_linear_heterogeneous",2,3.19234268198548,"control",222,101,"linear","heterogeneous"
"101_45_222_linear_heterogeneous",2,5.31171393847083,"control",222,101,"linear","heterogeneous"
"101_46_222_linear_heterogeneous",2,5.11860296364,"control",222,101,"linear","heterogeneous"
"101_47_222_linear_heterogeneous",2,4.52716598573624,"control",222,101,"linear","heterogeneous"
"101_48_222_linear_heterogeneous",2,4.73835235701537,"control",222,101,"linear","heterogeneous"
"101_49_222_linear_heterogeneous",2,3.19528517390627,"control",222,101,"linear","heterogeneous"
"101_50_222_linear_heterogeneous",2,5.24463204699033,"control",222,101,"linear","heterogeneous"
"101_1_222_linear_heterogeneous",3,3.49348621410262,"control",222,101,"linear","heterogeneous"
"101_2_222_linear_heterogeneous",3,4.56039109521202,"control",222,101,"linear","heterogeneous"
