,101_1_222_nonlinear_heterogeneous,101_2_222_nonlinear_heterogeneous,101_3_222_nonlinear_heterogeneous,101_4_222_nonlinear_heterogeneous,101_5_222_nonlinear_heterogeneous,101_6_222_nonlinear_heterogeneous,101_7_222_nonlinear_heterogeneous,101_8_222_nonlinear_heterogeneous,101_9_222_nonlinear_heterogeneous,101_10_222_nonlinear_heterogeneous,101_11_222_nonlinear_heterogeneous,101_12_222_nonlinear_heterogeneous,101_13_222_nonlinear_heterogeneous,101_14_222_nonlinear_heterogeneous,101_15_222_nonlinear_heterogeneous,101_16_222_nonlinear_heterogeneous,101_17_222_nonlinear_heterogeneous,101_18_222_nonlinear_heterogeneous,101_19_222_nonlinear_heterogeneous,101_20_222_nonlinear_heterogeneous,101_21_222_nonlinear_heterogeneous,101_22_222_nonlinear_heterogeneous,101_23_222_nonlinear_heterogeneous,101_24_222_nonlinear_heterogeneous,101_25_222_nonlinear_heterogeneous,101_26_222_nonlinear_heterogeneous,101_27_222_nonlinear_heterogeneous,101_28_222_nonlinear_heterogeneous,101_29_222_nonlinear_heterogeneous,101_30_222_nonlinear_heterogeneous,101_31_222_nonlinear_heterogeneous,101_32_222_nonlinear_heterogeneous,101_33_222_nonlinear_heterogeneous,101_34_222_nonlinear_heterogeneous,101_35_222_nonlinear_heterogeneous,101_36_222_nonlinear_heterogeneous,101_37_222_nonlinear_heterogeneous,101_38_222_nonlinear_heterogeneous,101_39_222_nonlinear_heterogeneous,101_40_222_nonlinear_heterogeneous,101_41_222_nonlinear_heterogeneous,101_42_222_nonlinear_heterogeneous,101_43_222_nonlinear_heterogeneous,101_44_222_nonlinear_heterogeneous,101_45_222_nonlinear_heterogeneous,101_46_222_nonlinear_heterogeneous,101_47_222_nonlinear_heterogeneous,101_48_222_nonlinear_heterogeneous,101_49_222_nonlinear_heterogeneous,101_50_222_nonlinear_heterogeneous,101_51_222_nonlinear_heterogeneous,101_52_222_nonlinear_heterogeneous,101_53_222_nonlinear_heterogeneous,101_54_222_nonlinear_heterogeneous,101_55_222_nonlinear_heterogeneous,101_56_222_nonlinear_heterogeneous,101_57_222_nonlinear_heterogeneous,101_58_222_nonlinear_heterogeneous,101_59_222_nonlinear_heterogeneous,101_60_222_nonlinear_heterogeneous,101_61_222_nonlinear_heterogeneous,101_62_222_nonlinear_heterogeneous,101_63_222_nonlinear_heterogeneous,101_64_222_nonlinear_heterogeneous,101_65_222_nonlinear_heterogeneous,101_66_222_nonlinear_heterogeneous,101_67_222_nonlinear_heterogeneous,101_68_222_nonlinear_heterogeneous,101_69_222_nonlinear_heterogeneous,101_70_222_nonlinear_heterogeneous,101_71_222_nonlinear_heterogeneous,101_72_222_nonlinear_heterogeneous,101_73_222_nonlinear_heterogeneous,101_74_222_nonlinear_heterogeneous,101_75_222_nonlinear_heterogeneous,101_76_222_nonlinear_heterogeneous,101_77_222_nonlinear_heterogeneous,101_78_222_nonlinear_heterogeneous,101_79_222_nonlinear_heterogeneous,101_80_222_nonlinear_heterogeneous,101_81_222_nonlinear_heterogeneous,101_82_222_nonlinear_heterogeneous,101_83_222_nonlinear_heterogeneous,101_84_222_nonlinear_heterogeneous,101_85_222_nonlinear_heterogeneous,101_86_222_nonlinear_heterogeneous,101_87_222_nonlinear_heterogeneous,101_88_222_nonlinear_heterogeneous,101_89_222_nonlinear_heterogeneous,101_90_222_nonlinear_heterogeneous,101_91_222_nonlinear_heterogeneous,101_92_222_nonlinear_heterogeneous,101_93_222_nonlinear_heterogeneous,101_94_222_nonlinear_heterogeneous,101_95_222_nonlinear_heterogeneous,101_96_222_nonlinear_heterogeneous,101_97_222_nonlinear_heterogeneous,101_98_222_nonlinear_heterogeneous,101_99_222_nonlinear_heterogeneous,101_100_222_nonlinear_heterogeneous,101_101_222_nonlinear_heterogeneous
0,4.9863906108,4.3924341091,6.1034201323,3.4115284817,3.8333908449,4.7405256527,3.679687399,2.7114843517,3.2172841794,4.4006760357,4.6345639174,3.0229570912,2.5342431776,4.5137657218,5.2684397701,5.1235694652,5.7685192655,3.7327844207,4.8671425244,1.9253958621,6.5223997523,5.1139254371,4.7851042361,6.7550996555,4.4209928109,4.386622888,1.6913133528,5.6703194623,4.588355119,4.8216038726,4.2546385282,3.7007269322,5.0858737921,4.4784939949,4.5927895744,4.5829697002,2.5748716594,3.3780025085,5.5390630473,6.0342702445,4.1430968677,4.5227179075,4.282504223,6.3585482062,3.2989485821,3.0597888278,3.4661525147,5.0923100399,4.6726830606,3.9692108274,5.2770881083,3.7637124477,4.1388832148,3.8381610572,4.2598626219,3.5918608427,2.6205367395,4.3945668515,5.5742662138,5.1346865471,4.8848693289,3.2200256909,3.7201916207,4.2835137306,3.535558215,2.7875785882,4.4354015148,1.8687947158,3.9459844075,3.8104562294,5.0350229799,3.4451167375,3.6969028837,5.1455493485,6.1317536187,5.0278269922,4.4301049285,4.547055962,5.2401469022,4.4905293154,3.3736078477,4.1277454093,3.906389329,3.476281279,1.6761064787,3.9848910249,4.7253030199,2.8926948676,6.1660732753,4.7242367474,3.5601997948,5.2742021783,3.6820751532,4.581356094,3.3764768614,5.3673223293,4.8668455704,3.6365982324,5.2790645253,4.7838983786,4.4467353581
1,5.1034986661,4.7076754461,5.3375324741,4.5686120811,2.3271958617,5.1558373803,4.4897720193,2.1429644261,5.2495160001,5.6073436586,4.5101955113,4.4189356225,2.7405439325,6.555210974,5.1533093617,4.7581430405,6.4708909356,2.4288578651,5.028871869,2.514048884,7.9468324344,4.1934546786,4.241006893,7.4232164831,3.9403547779,4.8464696251,1.041846005,4.8191549855,3.9454905318,4.7274426984,2.6061930855,5.3615390158,4.9688425682,4.3699544567,5.5172334902,4.5293579779,3.2059398021,2.9710642331,6.060138425,6.7984262305,3.0319808065,6.830819754,5.4743981483,4.1883627226,2.0494930454,3.1060884213,2.8878887482,4.9427436035,6.230580379,4.1108504047,5.4076097148,3.5216583912,5.4813746273,5.0229633432,3.9705988387,3.4270268653,3.6888837041,5.3684487182,6.8185553837,5.9236887278,4.4516040137,2.9526189443,3.4870029087,4.4271923197,2.9795418823,2.9609233131,2.4844033803,0.7811315636,4.3288704725,6.4410172884,5.4153811799,4.0242144811,4.4544390551,3.9652473907,6.702974268,6.3697297979,3.4521430207,4.9098734265,5.704045317,5.557435277,4.6573765341,5.4782804474,5.3290457813,4.8903742258,2.5118040795,3.4177034,6.7384488679,2.8538314468,6.5514223697,5.0322354076,3.4067174663,6.3517363221,4.1512437531,4.7255059428,3.2412110656,6.2569647799,5.4636054952,4.3018511232,5.4273634026,3.3640389369,7.3850082751
2,3.2725101678,6.0852718165,5.4452152925,4.1715161044,1.8565930726,4.6343205417,5.5380118222,2.295248396,6.758313741,4.3332381931,4.2169424537,5.0330837127,3.6560332357,8.216612262,6.5500499126,4.8717892418,3.5549812206,3.2991559464,6.5217914818,0.4742137957,7.4880495467,4.1687582839,5.640795512,6.3554497823,4.7553452699,4.4343922046,2.7212916291,4.6586371992,5.8477820586,6.049462557,2.6114343961,5.3114134703,5.4799051422,6.3356868783,7.4380035412,5.4433065726,4.2822473834,3.4787811158,6.9144764154,7.342993482,2.1163381334,8.0722812829,5.3390382102,6.6170349515,2.7273439408,2.9846202499,4.6074326012,4.5302736598,6.1501664039,3.4883830545,4.5939235283,4.3362634191,5.8687564078,5.6238852624,5.0910023688,2.5518186195,4.513478575,5.6055984052,6.5543258515,5.4275348683,5.2010564582,3.8494657257,3.3204929659,3.856631106,4.5346389676,3.2826563551,1.7304335094,0.21076103,3.673533812,7.8398017707,4.6691055683,4.3188234462,6.8621878119,3.5975007025,7.4012205818,5.9333579681,3.3411894582,5.0008427823,5.3954789702,4.951300696,4.9004154886,5.1993759529,6.5395073777,5.1960340344,1.7888854291,3.9068037788,8.8473240959,1.2668241776,7.122059984,7.3098131654,3.7837537347,5.308140951,5.0372062555,5.2456467148,3.1029161194,7.4030161472,4.6935903102,4.551574313,4.5388643886,3.7388361013,6.9120822196
3,3.2187732524,5.2475019551,4.4161295664,4.9653075732,4.002045981,6.2552355868,5.3668211767,4.5789939756,6.2794470876,4.3765576302,5.2476193188,4.2282027869,2.838698216,6.0079817088,6.9542922559,6.2971316929,3.7374835366,2.5358040699,7.3597812784,0.1819477423,7.505902031,4.3026255929,5.764564387,4.1896917005,5.2849559707,4.2787094071,4.0466499995,5.7225294115,6.1852715799,6.1505194737,2.5581465066,5.5047557034,5.7340203914,7.6896455891,7.7605300691,5.3720527353,3.9155928094,3.7968396394,6.4040102203,7.0023397223,2.3510713411,5.8402307558,5.6675398738,6.0556585218,2.4870562681,2.5865732853,4.386296011,6.1112705641,5.9021445157,2.2669910284,4.4663268276,5.0981604475,5.0272796836,4.9865286294,4.3314048631,2.7930219356,4.7753786873,3.9961480656,7.0038558799,3.9639334284,6.8790308226,5.6542314523,3.5321780228,3.2715055232,4.0739523838,4.9525543013,3.4002315232,0.2432401316,2.4302930032,7.3029720732,4.2357497556,5.4497624846,7.6370513924,3.3803013532,8.8197827025,7.6640332548,2.9530896501,5.310927694,5.5286284802,4.0044750336,5.2444661119,6.043891121,8.6148047835,4.6554530031,2.4159638147,5.3372986981,7.3399640814,2.6791452432,8.2276533947,8.9328990617,5.1704224937,3.6256594747,4.4589574478,4.7866747817,2.6736836453,7.3536335375,2.7768785829,4.4242663095,3.3597419888,4.9364821224,5.7165288559
4,3.3490775327,4.0089875135,2.4673842384,5.3027957243,3.3389194846,4.9262814354,5.38357703,4.0372575439,4.8904995,3.6472580297,3.1373305157,4.5068641375,3.7831424196,8.0421952061,6.5456712709,6.1537577132,4.6057551823,2.3553600071,6.9950500123,0.5081933737,8.0579351682,5.2954889956,5.7798024394,3.6383972934,5.3995180352,4.1823100313,2.2412248028,6.3340122741,8.3711629479,6.8315656519,4.8696915966,5.2879172694,6.3166134061,7.2005767437,7.7250619006,4.4134274705,4.3736401233,4.2821660644,6.2834757089,5.7072899893,2.1473146301,4.9205829331,5.358168324,6.2974406598,3.3146860609,2.4713545498,4.9021753465,5.7015162869,5.5262640283,3.3260261984,5.0894165897,3.9098421899,3.073764785,7.1445307689,4.5368831923,4.0883177331,4.9594788998,4.440542435,6.2039873744,5.179326173,5.6013322047,3.8586450962,4.2087567494,3.6991767235,4.8311320508,5.9764476513,5.4866312649,0.9780986453,2.1025343522,5.619498397,5.371140705,4.0101574109,8.809637774,3.0921004008,10.095599589,6.571973218,3.5275495082,5.7988878746,5.6704984398,3.4539576646,5.7635574327,4.990318687,10.0487645419,2.8509838947,2.2369962032,5.4391707326,8.1285863827,0.7971266765,8.0079399573,8.0004166568,4.0500061855,4.2766904921,5.9037582718,4.1023872153,4.0970789668,6.7289044079,3.1558241449,5.7143746982,3.9892183343,4.6163772261,5.0581563595
5,2.941031805,3.401481946,3.0060994308,5.284524024,4.1484672055,5.2829567413,4.9101422184,6.1877061645,5.7896724776,4.2999294853,3.3142358695,3.485650911,2.7539785632,8.1324308303,5.1561911037,4.3491738777,4.3095927247,1.1848581248,6.0459589233,0.2421343312,8.1762567613,6.774904905,7.093713774,4.8256503967,6.5180683123,3.1178872993,1.3891036397,6.08088759,8.9984045849,4.7239909256,4.0637807869,5.8881606367,6.5512466999,7.3067829265,8.6686713686,4.1652795225,4.7207417775,5.1284005148,7.8569154986,5.0245653897,3.716621588,4.8855618146,4.814494108,5.6220793474,1.9253858499,2.5345843118,5.6069065023,6.4737389938,4.5485279778,2.2420808749,3.4625294682,4.1571815022,2.8441310978,6.8453755131,6.5998468697,3.7097505949,6.2774257717,3.5097415111,6.1916520587,4.9722060375,4.6669775283,4.6459022585,3.7558401184,3.2407409849,4.9992534905,6.5879794292,6.6836525538,1.7026874062,2.9916166298,7.0139478543,5.9458683004,3.4652708611,8.6117580902,5.2537204939,10.1069385227,6.2806209176,3.5858301787,5.373546493,6.9488558418,3.657070998,5.2184344326,4.1154896823,8.9850065423,1.826861254,2.5322282801,6.7644726626,7.233563628,1.6763493104,8.6556908145,7.5874201895,4.8552559036,5.4871314693,5.4540611831,6.2478049508,4.0454411464,7.5428381712,4.1277507301,7.0289223126,5.3453985495,2.0999179226,5.3631936779
6,2.3291417015,3.1625570486,3.638901224,4.6929844292,2.2714491136,5.7614374887,3.8681259679,5.982379098,3.2960794575,4.4453181072,3.1862539303,2.5772779613,4.447966472,6.7736114609,4.8629431543,5.4202450642,4.8066313425,0.2632558685,4.7168426171,0.499468363,8.2378551618,5.9860129132,7.417771801,4.2420021295,5.3785600246,1.5219426015,2.5609095684,5.0822501551,9.5588802707,5.4486070073,4.8646220338,4.9575313129,5.4587604785,9.2771986105,8.2298234364,5.4925141177,4.5602722734,5.8091867162,8.8870658292,5.362825237,4.5032647939,2.5574694434,4.729729601,5.0687968757,2.3468304805,2.699598366,5.5829879452,6.039578805,4.6449678835,2.3127489172,3.1090977127,3.2238839156,2.873046481,8.7268002551,7.6760252556,2.854252942,7.6047339694,3.2110732186,5.8138826118,6.3662260532,5.6764472431,5.1785660151,3.2087904817,2.8620046888,4.5404127714,6.6670392605,5.6045066945,3.4243562253,2.4137340235,7.1924524448,4.7525201965,3.8346712219,9.4028629896,3.7839078349,11.3841266746,6.8930035033,3.5896210631,5.1034194048,7.6244447165,3.3170251434,5.5807796686,2.9041081236,7.3787900211,1.6902079566,1.273859048,7.1566526071,6.6297088261,2.1230327977,7.9882284462,8.2822739966,6.4252787131,3.965946888,3.6622244371,4.6739780571,3.9930187941,6.630421352,4.33695538,6.6400491298,5.357383026,2.882967106,5.8660531888
7,4.061679813,3.8384777226,2.8966533387,4.2380789343,2.9479703562,4.7870123382,3.716788755,6.9035545793,3.5553333593,3.6723549471,2.9225429162,3.3923491437,4.1585483952,6.235982442,4.463197638,5.8677835425,4.9669045366,2.4215470557,4.8066571384,1.559927973,7.4185200819,6.8162932248,7.6468214486,4.1630007146,4.5997900676,2.1856611165,3.6587619835,3.9414428272,8.4535574384,5.3439046744,4.1653179125,4.3824018104,4.9189965294,9.5730152668,9.2595406101,6.5762204638,4.8875430296,5.6690920772,8.4795189571,4.9737263637,4.7381227112,3.9708799566,6.5283834182,5.5691241906,1.478058573,2.1031977243,6.0429187952,6.5504564102,5.875513415,4.0108686555,3.2811580443,5.2222515997,1.3069913728,6.6626270434,5.4531925005,3.8923810011,7.7794807269,3.2782063698,6.9098011159,6.3929328554,5.7601704902,3.7905737599,1.8312502481,1.5020255231,5.4717058875,6.2241143248,5.5810612321,2.5591230403,4.3135138785,8.820671707,3.2071933501,2.9615628681,9.945183832,4.1415307847,10.7577237353,6.6990048363,4.3579004771,4.5918180265,5.9847953545,3.2610090466,5.4831270204,3.7224819485,6.974988337,0.0649977729,1.3146713387,7.3567647993,6.7430484124,2.2085062012,11.1555834057,7.8109112809,7.0211140642,3.066748162,3.2450805401,4.25148047,6.8594314499,5.6899211098,4.5605072328,6.4447716354,5.7890377803,2.1487661698,7.2228553178
8,5.1937379292,4.7939455127,2.882173688,2.4492558253,2.8551101238,3.6620267867,3.2209057195,6.0477992071,3.2443294569,4.0499923332,2.4328067189,2.8431653576,4.5506633211,5.8950870496,4.0204293544,6.4284486147,3.8737170632,3.185337916,5.7340891947,2.2223522739,8.7159837715,7.155708887,7.8096247049,4.2776529913,5.3553333465,2.6497990208,3.3570198405,5.5950530163,7.7870335883,5.1775449473,4.0524510684,4.2416302606,4.8021540201,8.8389468666,9.0025322228,6.058092282,3.9260008164,5.0079948568,9.3780630653,4.861344338,3.8327528029,4.3099935937,6.5592471066,6.3781064422,1.1620743929,3.1923094227,6.7059753277,6.8824841413,7.822238869,5.3209623243,3.6715482466,6.4157669015,2.3857209159,7.4125533232,5.0122370402,3.5710028292,9.3001484446,3.1605432454,4.987844353,7.885914316,4.6027602011,4.3954165382,1.7583769133,2.5622396265,6.2638978174,3.9024505131,5.4668564008,4.6736085269,5.7189869727,9.0721316055,3.6579607457,3.0691585041,8.6711495796,4.2716984042,10.3435365721,7.1158666974,5.0492741052,4.7526793742,4.9776750156,4.0650584218,4.7610182083,3.9631469716,5.7757185829,1.3873133424,3.1484538403,7.8203215649,8.14167822,2.685523909,11.4895274196,6.9821289161,6.5793338957,3.4758812826,3.3322157382,3.4289283083,6.5695157341,7.119134797,5.230674078,5.6322086354,6.3663436239,2.0378890701,9.2466559731
9,6.234273392,4.2033913055,5.5910130672,1.7864361542,2.6058091011,4.8904958803,3.5465278547,5.1598099848,4.1887606627,4.1919772014,2.900866178,5.6692898587,6.6724469026,5.7943020288,2.9973853079,6.4841592356,4.2890059026,3.0464824895,6.9293332956,4.4549415267,8.7189789787,5.1272153881,7.1108057917,4.3066558256,5.4097726834,5.0196890785,4.4370637838,6.4473955455,8.2563836143,5.6944872497,2.7558669742,4.9687069062,5.7185678021,7.9076169146,6.7516522894,6.4056988819,2.618297791,4.338750957,9.5626121387,4.2155122961,5.650677912,4.9203705478,6.079049462,6.1641233192,1.8569043513,2.5664267462,6.1761302474,7.0976180215,7.3596791058,4.0610795787,3.071717838,7.1610275622,3.1178501813,8.7681573277,6.9731698479,5.5204293134,10.1401023133,4.8678080212,4.8828989751,7.2863566979,2.1794088709,3.0404431822,2.7182170953,2.5659467861,6.0275210706,4.064385094,5.440810633,4.950959909,5.8461046769,6.6334055774,3.6740127987,3.2635805891,8.0447464841,4.1878931986,9.8128316716,7.5804166246,6.2253674866,4.6414539144,4.5262776276,5.8163516209,3.0471133942,2.7369590954,5.4647969786,2.4905942277,1.6569380136,7.7199411622,8.0938903329,3.1629297556,11.3035552242,8.6705448654,6.8865742668,2.9003088298,3.0189329396,5.0651997159,5.9468256833,8.1837177077,5.108502361,6.5710991689,6.8368490797,3.0049401358,10.132660167
