"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_222_nonlinear_heterogeneous",1,4.9863906108,"control",222,101,"nonlinear","heterogeneous"
"101_2_222_nonlinear_heterogeneous",1,4.3924341091,"control",222,101,"nonlinear","heterogeneous"
"101_3_222_nonlinear_heterogeneous",1,6.1034201323,"control",222,101,"nonlinear","heterogeneous"
"101_4_222_nonlinear_heterogeneous",1,3.4115284817,"control",222,101,"nonlinear","heterogeneous"
"101_5_222_nonlinear_heterogeneous",1,3.8333908449,"control",222,101,"nonlinear","heterogeneous"
"101_6_222_nonlinear_heterogeneous",1,4.7405256527,"control",222,101,"nonlinear","heterogeneous"
"101_7_222_nonlinear_heterogeneous",1,3.679687399,"control",222,101,"nonlinear","heterogeneous"
"101_8_222_nonlinear_heterogeneous",1,2.7114843517,"control",222,101,"nonlinear","heterogeneous"
"101_9_222_nonlinear_heterogeneous",1,3.2172841794,"control",222,101,"nonlinear","heterogeneous"
"101_10_222_nonlinear_heterogeneous",1,4.4006760357,"control",222,101,"nonlinear","heterogeneous"
"101_11_222_nonlinear_heterogeneous",1,4.6345639174,"control",222,101,"nonlinear","heterogeneous"
"101_12_222_nonlinear_heterogeneous",1,3.0229570912,"control",222,101,"nonlinear","heterogeneous"
"101_13_222_nonlinear_heterogeneous",1,2.5342431776,"control",222,101,"nonlinear","heterogeneous"
"101_14_222_nonlinear_heterogeneous",1,4.5137657218,"control",222,101,"nonlinear","heterogeneous"
"101_15_222_nonlinear_heterogeneous",1,5.2684397701,"control",222,101,"nonlinear","heterogeneous"
"101_16_222_nonlinear_heterogeneous",1,5.1235694652,"control",222,101,"nonlinear","heterogeneous"
"101_17_222_nonlinear_heterogeneous",1,5.7685192655,"control",222,101,"nonlinear","heterogeneous"
"101_18_222_nonlinear_heterogeneous",1,3.7327844207,"control",222,101,"nonlinear","heterogeneous"
"101_19_222_nonlinear_heterogeneous",1,4.8671425244,"control",222,101,"nonlinear","heterogeneous"
"101_20_222_nonlinear_heterogeneous",1,1.9253958621,"control",222,101,"nonlinear","heterogeneous"
"101_21_222_nonlinear_heterogeneous",1,6.5223997523,"control",222,101,"nonlinear","heterogeneous"
"101_22_222_nonlinear_heterogeneous",1,5.1139254371,"control",222,101,"nonlinear","heterogeneous"
"101_23_222_nonlinear_heterogeneous",1,4.7851042361,"control",222,101,"nonlinear","heterogeneous"
"101_24_222_nonlinear_heterogeneous",1,6.7550996555,"control",222,101,"nonlinear","heterogeneous"
"101_25_222_nonlinear_heterogeneous",1,4.4209928109,"control",222,101,"nonlinear","heterogeneous"
"101_26_222_nonlinear_heterogeneous",1,4.386622888,"control",222,101,"nonlinear","heterogeneous"
"101_27_222_nonlinear_heterogeneous",1,1.6913133528,"control",222,101,"nonlinear","heterogeneous"
"101_28_222_nonlinear_heterogeneous",1,5.6703194623,"control",222,101,"nonlinear","heterogeneous"
"101_29_222_nonlinear_heterogeneous",1,4.588355119,"control",222,101,"nonlinear","heterogeneous"
"101_30_222_nonlinear_heterogeneous",1,4.8216038726,"control",222,101,"nonlinear","heterogeneous"
"101_31_222_nonlinear_heterogeneous",1,4.2546385282,"control",222,101,"nonlinear","heterogeneous"
"101_32_222_nonlinear_heterogeneous",1,3.7007269322,"control",222,101,"nonlinear","heterogeneous"
"101_33_222_nonlinear_heterogeneous",1,5.0858737921,"control",222,101,"nonlinear","heterogeneous"
"101_34_222_nonlinear_heterogeneous",1,4.4784939949,"control",222,101,"nonlinear","heterogeneous"
"101_35_222_nonlinear_heterogeneous",1,4.5927895744,"control",222,101,"nonlinear","heterogeneous"
"101_36_222_nonlinear_heterogeneous",1,4.5829697002,"control",222,101,"nonlinear","heterogeneous"
"101_37_222_nonlinear_heterogeneous",1,2.5748716594,"control",222,101,"nonlinear","heterogeneous"
"101_38_222_nonlinear_heterogeneous",1,3.3780025085,"control",222,101,"nonlinear","heterogeneous"
"101_39_222_nonlinear_heterogeneous",1,5.5390630473,"control",222,101,"nonlinear","heterogeneous"
"101_40_222_nonlinear_heterogeneous",1,6.0342702445,"control",222,101,"nonlinear","heterogeneous"
"101_41_222_nonlinear_heterogeneous",1,4.1430968677,"control",222,101,"nonlinear","heterogeneous"
"101_42_222_nonlinear_heterogeneous",1,4.5227179075,"control",222,101,"nonlinear","heterogeneous"
"101_43_222_nonlinear_heterogeneous",1,4.282504223,"control",222,101,"nonlinear","heterogeneous"
"101_44_222_nonlinear_heterogeneous",1,6.3585482062,"control",222,101,"nonlinear","heterogeneous"
"101_45_222_nonlinear_heterogeneous",1,3.2989485821,"control",222,101,"nonlinear","heterogeneous"
"101_46_222_nonlinear_heterogeneous",1,3.0597888278,"control",222,101,"nonlinear","heterogeneous"
"101_47_222_nonlinear_heterogeneous",1,3.4661525147,"control",222,101,"nonlinear","heterogeneous"
"101_48_222_nonlinear_heterogeneous",1,5.0923100399,"control",222,101,"nonlinear","heterogeneous"
"101_49_222_nonlinear_heterogeneous",1,4.6726830606,"control",222,101,"nonlinear","heterogeneous"
"101_50_222_nonlinear_heterogeneous",1,3.9692108274,"control",222,101,"nonlinear","heterogeneous"
"101_1_222_nonlinear_heterogeneous",2,5.1034986661,"control",222,101,"nonlinear","heterogeneous"
"101_2_222_nonlinear_heterogeneous",2,4.7076754461,"control",222,101,"nonlinear","heterogeneous"
"101_3_222_nonlinear_heterogeneous",2,5.3375324741,"control",222,101,"nonlinear","heterogeneous"
"101_4_222_nonlinear_heterogeneous",2,4.5686120811,"control",222,101,"nonlinear","heterogeneous"
"101_5_222_nonlinear_heterogeneous",2,2.3271958617,"control",222,101,"nonlinear","heterogeneous"
"101_6_222_nonlinear_heterogeneous",2,5.1558373803,"control",222,101,"nonlinear","heterogeneous"
"101_7_222_nonlinear_heterogeneous",2,4.4897720193,"control",222,101,"nonlinear","heterogeneous"
"101_8_222_nonlinear_heterogeneous",2,2.1429644261,"control",222,101,"nonlinear","heterogeneous"
"101_9_222_nonlinear_heterogeneous",2,5.2495160001,"control",222,101,"nonlinear","heterogeneous"
"101_10_222_nonlinear_heterogeneous",2,5.6073436586,"control",222,101,"nonlinear","heterogeneous"
