"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"101_1_60_l_ho",1,4,"control",60,101,"l","ho"
"101_2_60_l_ho",1,4,"control",60,101,"l","ho"
"101_3_60_l_ho",1,4,"control",60,101,"l","ho"
"101_4_60_l_ho",1,4,"control",60,101,"l","ho"
"101_5_60_l_ho",1,4,"control",60,101,"l","ho"
"101_6_60_l_ho",1,4,"control",60,101,"l","ho"
"101_7_60_l_ho",1,4,"control",60,101,"l","ho"
"101_8_60_l_ho",1,4,"control",60,101,"l","ho"
"101_9_60_l_ho",1,4,"control",60,101,"l","ho"
"101_10_60_l_ho",1,4,"control",60,101,"l","ho"
"101_11_60_l_ho",1,4,"control",60,101,"l","ho"
"101_12_60_l_ho",1,4,"control",60,101,"l","ho"
"101_13_60_l_ho",1,4,"control",60,101,"l","ho"
"101_14_60_l_ho",1,4,"control",60,101,"l","ho"
"101_15_60_l_ho",1,4,"control",60,101,"l","ho"
"101_16_60_l_ho",1,4,"control",60,101,"l","ho"
"101_17_60_l_ho",1,4,"control",60,101,"l","ho"
"101_18_60_l_ho",1,4,"control",60,101,"l","ho"
"101_19_60_l_ho",1,4,"control",60,101,"l","ho"
"101_20_60_l_ho",1,4,"control",60,101,"l","ho"
"101_21_60_l_ho",1,4,"control",60,101,"l","ho"
"101_22_60_l_ho",1,4,"control",60,101,"l","ho"
"101_23_60_l_ho",1,4,"control",60,101,"l","ho"
"101_24_60_l_ho",1,4,"control",60,101,"l","ho"
"101_25_60_l_ho",1,4,"control",60,101,"l","ho"
"101_26_60_l_ho",1,4,"control",60,101,"l","ho"
"101_27_60_l_ho",1,4,"control",60,101,"l","ho"
"101_28_60_l_ho",1,4,"control",60,101,"l","ho"
"101_29_60_l_ho",1,4,"control",60,101,"l","ho"
"101_30_60_l_ho",1,4,"control",60,101,"l","ho"
"101_31_60_l_ho",1,4,"control",60,101,"l","ho"
"101_32_60_l_ho",1,4,"control",60,101,"l","ho"
"101_33_60_l_ho",1,4,"control",60,101,"l","ho"
"101_34_60_l_ho",1,4,"control",60,101,"l","ho"
"101_35_60_l_ho",1,4,"control",60,101,"l","ho"
"101_36_60_l_ho",1,4,"control",60,101,"l","ho"
"101_37_60_l_ho",1,4,"control",60,101,"l","ho"
"101_38_60_l_ho",1,4,"control",60,101,"l","ho"
"101_39_60_l_ho",1,4,"control",60,101,"l","ho"
"101_40_60_l_ho",1,4,"control",60,101,"l","ho"
"101_41_60_l_ho",1,4,"control",60,101,"l","ho"
"101_42_60_l_ho",1,4,"control",60,101,"l","ho"
"101_43_60_l_ho",1,4,"control",60,101,"l","ho"
"101_44_60_l_ho",1,4,"control",60,101,"l","ho"
"101_45_60_l_ho",1,4,"control",60,101,"l","ho"
"101_46_60_l_ho",1,4,"control",60,101,"l","ho"
"101_47_60_l_ho",1,4,"control",60,101,"l","ho"
"101_48_60_l_ho",1,4,"control",60,101,"l","ho"
"101_49_60_l_ho",1,4,"control",60,101,"l","ho"
"101_50_60_l_ho",1,4,"control",60,101,"l","ho"
"101_1_60_l_ho",2,4.39849046089853,"control",60,101,"l","ho"
"101_2_60_l_ho",2,2.87611532192028,"control",60,101,"l","ho"
"101_3_60_l_ho",2,4.26286837228074,"control",60,101,"l","ho"
"101_4_60_l_ho",2,4.84802475412439,"control",60,101,"l","ho"
"101_5_60_l_ho",2,3.31422475936055,"control",60,101,"l","ho"
"101_6_60_l_ho",2,3.9150037416104,"control",60,101,"l","ho"
"101_7_60_l_ho",2,3.45545580400537,"control",60,101,"l","ho"
"101_8_60_l_ho",2,3.65638476306421,"control",60,101,"l","ho"
"101_9_60_l_ho",2,3.78398478488107,"control",60,101,"l","ho"
"101_10_60_l_ho",2,5.04233036579875,"control",60,101,"l","ho"
"101_11_60_l_ho",2,3.08908328135826,"control",60,101,"l","ho"
"101_12_60_l_ho",2,4.81756326667059,"control",60,101,"l","ho"
"101_13_60_l_ho",2,5.39383689998445,"control",60,101,"l","ho"
"101_14_60_l_ho",2,3.62076260097143,"control",60,101,"l","ho"
"101_15_60_l_ho",2,4.3454322618166,"control",60,101,"l","ho"
"101_16_60_l_ho",2,3.08472735220777,"control",60,101,"l","ho"
"101_17_60_l_ho",2,2.95113175989375,"control",60,101,"l","ho"
"101_18_60_l_ho",2,4.72534614072202,"control",60,101,"l","ho"
"101_19_60_l_ho",2,4.56511699458546,"control",60,101,"l","ho"
"101_20_60_l_ho",2,4.00153682901266,"control",60,101,"l","ho"
"101_21_60_l_ho",2,3.03704535233751,"control",60,101,"l","ho"
"101_22_60_l_ho",2,4.17596047856025,"control",60,101,"l","ho"
"101_23_60_l_ho",2,4.70078973543451,"control",60,101,"l","ho"
"101_24_60_l_ho",2,4.63955884333906,"control",60,101,"l","ho"
