,10_1_60_nonlinear_homogeneous,10_2_60_nonlinear_homogeneous,10_3_60_nonlinear_homogeneous,10_4_60_nonlinear_homogeneous,10_5_60_nonlinear_homogeneous,10_6_60_nonlinear_homogeneous,10_7_60_nonlinear_homogeneous,10_8_60_nonlinear_homogeneous,10_9_60_nonlinear_homogeneous,10_10_60_nonlinear_homogeneous
0,3.872597045,5.0995966185,4.3318960831,3.7024977415,2.7470783787,4.0342211943,5.2534476116,4.7283370472,3.359582525,5.8806203594
1,3.3448112575,4.578100335,4.4095866456,0.9488056703,4.2887045047,4.35084902,4.0355449655,5.0532366472,3.4940929979,5.7766644489
2,2.7624730978,3.063127588,4.5012962302,2.8567727384,3.2355888408,3.750271191,3.7035798504,5.5857681981,3.4342630594,6.2660633079
3,3.5375774497,2.5260487229,5.1706094124,3.1046579743,2.3203475691,4.092187193,4.2479218175,6.9900972308,2.4516847725,6.5519583377
4,2.7558022639,3.0558866471,6.0861961818,4.1574216261,2.7052497764,4.8627241951,3.8879133787,8.1510758428,0.8780958924,6.2583693946
5,3.962301694,3.0100875156,5.9953856897,5.714348801,3.2573298784,6.7333559358,3.5324959135,7.7328316778,1.87103317,7.2779909744
6,5.9687250814,3.3075690787,6.8103748321,6.6087007152,1.9303626558,7.969323884,3.5936810378,7.3604279239,0.7321817983,6.6492401597
7,5.699548241,5.6201460728,8.1490134,7.2953744939,1.5583152134,6.3803718106,2.2843619162,8.0594851083,2.2141495792,9.5758390925
8,6.9285409651,6.6673561274,8.9663116781,5.6986662396,2.2905499714,7.0190051882,3.1992855772,6.5454384929,2.9926406754,8.3298917028
9,8.328599345,6.8864580887,7.975296858,6.4701475829,1.4538000691,6.0381426945,4.6505339579,5.3246971965,2.8848831418,7.7930473044
10,8.6224782145,6.7837836052,8.5801134305,5.841903398,1.5176457572,5.3499902437,3.6585110728,3.5319545851,2.587293345,7.4013984878
11,7.4909678963,7.2950281865,7.5536438597,5.3902521033,3.049065161,4.8777752134,4.7440195883,6.5637381349,4.3587037663,6.7926046922
12,6.7555474331,5.7549233687,7.0101156903,5.6948844525,3.3283994247,4.4517072171,6.730169553,7.0778064908,3.4683991674,5.3543019817
13,7.1893160802,5.8300718961,5.9518641256,4.5323256233,3.7987978851,3.0944290247,6.8832599553,7.9152119842,4.3600623604,4.4377316618
14,7.1752386221,7.3850804853,7.8570347639,3.8980196712,4.935021687,2.7528272983,8.1587638016,6.698855092,2.4580358688,4.9711677339
15,6.8076404505,8.5293652089,8.1062454876,4.2295800325,4.4759581594,3.9713390567,8.2163642242,6.6671511957,2.2796794679,5.1941429598
16,6.8184965527,8.2812530527,9.2808063994,5.2192646036,4.4609886957,3.3265033473,8.4650702185,5.2457562904,1.8395635645,5.4924063669
17,8.6463990307,7.2218757335,9.8768452806,4.7695059857,2.9821421061,4.1286055134,7.9145796335,7.9091218096,3.0409409487,5.7880380221
18,8.542011846,7.6395065519,9.9407937022,5.2648082836,4.5921736199,2.9802610528,9.3288230157,8.4294600796,2.5194058707,7.1225584425
19,7.9630763627,6.1759464288,8.5835087712,5.3114264715,4.2248910701,2.399603427,9.2060209934,9.2125759375,0.4344345101,7.3327859784
20,7.8420607562,6.2952802764,7.4165439648,6.0670643881,5.3974314351,1.7549872578,8.7790925562,10.2179418715,0.4241403383,5.8055385595
21,7.824955032,7.0697607334,8.7809550837,5.3515226116,5.7491353465,3.2009011764,7.5488952623,10.2733124447,0.6308459821,8.3000052526
22,7.2208319905,7.240682192,9.7311667045,6.782958806,6.9284013361,3.4239140111,6.5784338844,9.8525202205,1.2245061247,10.0772285051
23,5.928158792,8.0528624876,10.7299782708,5.8667301832,8.3625715235,3.9571778048,7.2616330339,7.9721009788,1.7866390947,10.1781578235
24,6.6252213138,8.3726512883,11.2128025937,5.2205968781,8.5803481787,4.4965835642,6.3245915895,7.3682438149,2.7644250925,7.7362006612
25,7.8282164402,8.265411269,10.6335103337,4.6054971778,7.1050392378,4.1799353089,8.3097006851,6.7450143272,1.9653055996,6.93171236
26,6.7661842872,8.3792881957,11.4162487672,4.4167432421,7.1347486093,4.4677156277,9.2088977637,6.2542827486,3.1867669642,4.976715476
27,7.7013301203,9.1459372056,12.1698842912,7.2349199148,8.1845871186,6.4715989893,9.3822664745,6.0256541223,3.3934717249,4.7336400448
28,8.1250919263,8.662488988,11.8692340459,6.0214381974,8.5571709329,7.7822900746,10.3472911385,5.8039013208,4.8399428959,6.0183391974
29,8.3449899857,10.4175084664,12.0066089314,6.084594008,8.3982276264,7.4629063327,9.6609364465,5.1342484352,4.9551281983,6.9163138629
30,9.239483849,10.9738847486,11.5457767321,6.4459743055,8.7593117271,6.7461438435,9.9486683042,3.6463288944,4.55044866,6.3000138261
31,7.6340112247,10.1966457194,10.7206963397,6.7113337363,8.6155014555,7.0065467765,9.247918503,5.2055780368,4.8924716723,5.8137112848
32,9.1084745953,9.8226846451,9.4792773002,5.6818962536,8.3745677698,6.8093765822,9.4316606946,4.9200123275,5.4823930303,4.9949976685
33,9.0895751711,9.2247976995,9.7165766688,7.6234360976,8.2201565496,6.1087395355,9.2486910876,4.8879692653,5.1788788612,5.5815773548
34,8.3979333797,9.9106864421,7.6989086535,5.2572699689,8.6902236619,6.7088355804,8.4477282042,4.8280224399,5.5228607105,4.6163720093
35,5.7383276466,9.4459733749,9.7317877045,6.0158909529,8.1895389846,5.7555032352,9.2752863193,5.2690080313,5.5715784265,4.1924550241
36,6.1149144387,9.1346472004,9.7654188527,6.6788733343,8.2554743281,7.2392776741,11.6513192633,4.9741778437,5.7131684845,4.5503450591
37,5.7179345411,7.9664709664,10.5309605174,6.8000994869,8.1088849021,7.7950816751,10.3215831066,4.2109967582,7.2846924058,3.9496155836
38,6.2950049024,6.8142315406,10.5888453053,6.1119471199,9.1850387807,7.6233666432,10.6249115919,3.1951145439,4.1432659558,3.3225384199
39,5.5010997949,7.0102669994,10.4103363297,3.8253760078,7.2785174524,7.2653164261,12.1962409192,3.0659382169,3.8139628294,4.3414682885
40,5.416975011,7.0945425353,12.5891836083,4.4031720903,7.000133525,7.0176653171,13.2293864911,4.027822201,6.3193168648,3.5347076573
41,6.1851896957,5.606142971,12.3095564497,5.0114743304,5.1004175271,5.6916951574,13.3630942762,3.9907002315,6.772485311,3.5372331298
42,4.7267271277,6.1065449268,12.5299484584,4.0316938279,5.1669458349,4.7844230967,14.3208441823,2.8105589683,5.8159510978,3.1087492903
43,4.7683259367,7.9696356283,13.8653301582,4.0016314419,5.781364915,4.2135823803,13.2673663238,3.6542324422,6.6959964937,4.7616043038
44,4.7228797031,7.7021722614,11.869657996,3.6065225153,6.0720539491,4.8135687368,13.3270832549,4.304923352,4.8896822244,5.4259060782
45,5.118283399,7.3463393437,11.2847938956,4.1435028991,7.0292966448,4.0788500667,11.8705939269,4.4992895757,3.8639922409,5.4047408976
46,5.9231862897,6.5216297589,12.7101511086,3.9624192846,6.0597014945,3.7900023924,10.5300853093,3.2586504415,2.2411960545,5.7546689947
47,5.5930905316,6.5812920017,13.7858676208,2.743622534,4.5730420584,3.2162340392,10.4250219075,3.9249505717,1.0039897858,6.1002010983
