"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_60_nl_ho",1,0.9971236989,"control",60,10,"nl","ho"
"10_2_60_nl_ho",1,1.2408584866,"control",60,10,"nl","ho"
"10_3_60_nl_ho",1,0.2632287015,"control",60,10,"nl","ho"
"10_4_60_nl_ho",1,0.4786311345,"control",60,10,"nl","ho"
"10_5_60_nl_ho",1,0.978392293,"control",60,10,"nl","ho"
"10_1_60_nl_ho",2,2.0646030951,"control",60,10,"nl","ho"
"10_2_60_nl_ho",2,3.0212415837,"control",60,10,"nl","ho"
"10_3_60_nl_ho",2,1.620607117,"control",60,10,"nl","ho"
"10_4_60_nl_ho",2,2.6373431353,"control",60,10,"nl","ho"
"10_5_60_nl_ho",2,2.5940649785,"control",60,10,"nl","ho"
"10_1_60_nl_ho",3,3.2343477976,"control",60,10,"nl","ho"
"10_2_60_nl_ho",3,5.1086703364,"control",60,10,"nl","ho"
"10_3_60_nl_ho",3,3.8622455499,"control",60,10,"nl","ho"
"10_4_60_nl_ho",3,4.220357221,"control",60,10,"nl","ho"
"10_5_60_nl_ho",3,3.4001518141,"control",60,10,"nl","ho"
"10_1_60_nl_ho",4,3.3399788573,"control",60,10,"nl","ho"
"10_2_60_nl_ho",4,7.1838371509,"control",60,10,"nl","ho"
"10_3_60_nl_ho",4,3.7979704676,"control",60,10,"nl","ho"
"10_4_60_nl_ho",4,5.208404343,"control",60,10,"nl","ho"
"10_5_60_nl_ho",4,3.582897762,"control",60,10,"nl","ho"
"10_1_60_nl_ho",5,1.8765465454,"control",60,10,"nl","ho"
"10_2_60_nl_ho",5,8.9814497969,"control",60,10,"nl","ho"
"10_3_60_nl_ho",5,3.4152672618,"control",60,10,"nl","ho"
"10_4_60_nl_ho",5,5.3916157654,"control",60,10,"nl","ho"
"10_5_60_nl_ho",5,3.917303591,"control",60,10,"nl","ho"
"10_1_60_nl_ho",6,2.1531039574,"control",60,10,"nl","ho"
"10_2_60_nl_ho",6,9.5457745994,"control",60,10,"nl","ho"
"10_3_60_nl_ho",6,4.3037566793,"control",60,10,"nl","ho"
"10_4_60_nl_ho",6,5.0393282385,"control",60,10,"nl","ho"
"10_5_60_nl_ho",6,4.5616560679,"control",60,10,"nl","ho"
"10_1_60_nl_ho",7,2.2647311378,"control",60,10,"nl","ho"
"10_2_60_nl_ho",7,8.9058927199,"control",60,10,"nl","ho"
"10_3_60_nl_ho",7,4.8127089852,"control",60,10,"nl","ho"
"10_4_60_nl_ho",7,6.2907632091,"control",60,10,"nl","ho"
"10_5_60_nl_ho",7,6.0373178941,"control",60,10,"nl","ho"
"10_1_60_nl_ho",8,3.3504539255,"control",60,10,"nl","ho"
"10_2_60_nl_ho",8,10.1462831391,"control",60,10,"nl","ho"
"10_3_60_nl_ho",8,3.8857333171,"control",60,10,"nl","ho"
"10_4_60_nl_ho",8,6.9860948056,"control",60,10,"nl","ho"
"10_5_60_nl_ho",8,7.1663512945,"control",60,10,"nl","ho"
"10_1_60_nl_ho",9,5.5858802241,"control",60,10,"nl","ho"
"10_2_60_nl_ho",9,9.5143903944,"control",60,10,"nl","ho"
"10_3_60_nl_ho",9,2.8527369413,"control",60,10,"nl","ho"
"10_4_60_nl_ho",9,6.7312158256,"control",60,10,"nl","ho"
"10_5_60_nl_ho",9,7.4575275517,"control",60,10,"nl","ho"
"10_1_60_nl_ho",10,7.1329729302,"control",60,10,"nl","ho"
"10_2_60_nl_ho",10,8.9405911196,"control",60,10,"nl","ho"
"10_3_60_nl_ho",10,2.5968761294,"control",60,10,"nl","ho"
"10_4_60_nl_ho",10,7.6775572175,"control",60,10,"nl","ho"
"10_5_60_nl_ho",10,7.4137351663,"control",60,10,"nl","ho"
"10_1_60_nl_ho",11,6.8042469044,"control",60,10,"nl","ho"
"10_2_60_nl_ho",11,8.5164895991,"control",60,10,"nl","ho"
"10_3_60_nl_ho",11,3.2535241437,"control",60,10,"nl","ho"
"10_4_60_nl_ho",11,8.7207833008,"control",60,10,"nl","ho"
"10_5_60_nl_ho",11,6.9548199025,"control",60,10,"nl","ho"
"10_1_60_nl_ho",12,5.9799149257,"control",60,10,"nl","ho"
"10_2_60_nl_ho",12,8.312866847,"control",60,10,"nl","ho"
"10_3_60_nl_ho",12,4.9785863695,"control",60,10,"nl","ho"
"10_4_60_nl_ho",12,7.0409073656,"control",60,10,"nl","ho"
"10_5_60_nl_ho",12,4.9695526831,"control",60,10,"nl","ho"
"10_1_60_nl_ho",13,5.0920027253,"control",60,10,"nl","ho"
"10_2_60_nl_ho",13,9.1313851124,"control",60,10,"nl","ho"
"10_3_60_nl_ho",13,8.9070885144,"control",60,10,"nl","ho"
"10_4_60_nl_ho",13,7.2050344435,"control",60,10,"nl","ho"
"10_5_60_nl_ho",13,3.4532104356,"control",60,10,"nl","ho"
"10_1_60_nl_ho",14,4.3548990878,"control",60,10,"nl","ho"
"10_2_60_nl_ho",14,9.631360006,"control",60,10,"nl","ho"
"10_3_60_nl_ho",14,11.1108110131,"control",60,10,"nl","ho"
"10_4_60_nl_ho",14,8.5598727749,"control",60,10,"nl","ho"
"10_5_60_nl_ho",14,2.4867848409,"control",60,10,"nl","ho"
"10_1_60_nl_ho",15,2.8665146532,"control",60,10,"nl","ho"
"10_2_60_nl_ho",15,9.1458123291,"control",60,10,"nl","ho"
"10_3_60_nl_ho",15,11.1078404187,"control",60,10,"nl","ho"
"10_4_60_nl_ho",15,9.0372221577,"control",60,10,"nl","ho"
"10_5_60_nl_ho",15,1.7599551547,"control",60,10,"nl","ho"
"10_1_60_nl_ho",16,2.9767469255,"control",60,10,"nl","ho"
"10_2_60_nl_ho",16,6.9288223371,"control",60,10,"nl","ho"
"10_3_60_nl_ho",16,10.3464716396,"control",60,10,"nl","ho"
"10_4_60_nl_ho",16,8.8345310409,"control",60,10,"nl","ho"
"10_5_60_nl_ho",16,1.5681508675,"control",60,10,"nl","ho"
"10_1_60_nl_ho",17,2.8525107464,"control",60,10,"nl","ho"
"10_2_60_nl_ho",17,6.2718519464,"control",60,10,"nl","ho"
"10_3_60_nl_ho",17,11.1978651817,"control",60,10,"nl","ho"
"10_4_60_nl_ho",17,8.2444609988,"control",60,10,"nl","ho"
"10_5_60_nl_ho",17,2.1213888061,"control",60,10,"nl","ho"
"10_1_60_nl_ho",18,2.0461420088,"control",60,10,"nl","ho"
"10_2_60_nl_ho",18,6.0632751138,"control",60,10,"nl","ho"
"10_3_60_nl_ho",18,11.8117554254,"control",60,10,"nl","ho"
"10_4_60_nl_ho",18,7.4531691365,"control",60,10,"nl","ho"
"10_5_60_nl_ho",18,4.1298624823,"control",60,10,"nl","ho"
"10_1_60_nl_ho",19,1.2481290494,"control",60,10,"nl","ho"
"10_2_60_nl_ho",19,7.135089304,"control",60,10,"nl","ho"
"10_3_60_nl_ho",19,13.2938609959,"control",60,10,"nl","ho"
"10_4_60_nl_ho",19,6.1350646467,"control",60,10,"nl","ho"
"10_5_60_nl_ho",19,4.2384475782,"control",60,10,"nl","ho"
"10_1_60_nl_ho",20,2.3012847862,"control",60,10,"nl","ho"
"10_2_60_nl_ho",20,7.7223768231,"control",60,10,"nl","ho"
"10_3_60_nl_ho",20,13.5073415956,"control",60,10,"nl","ho"
"10_4_60_nl_ho",20,5.357415059,"control",60,10,"nl","ho"
"10_5_60_nl_ho",20,4.7697067894,"control",60,10,"nl","ho"
"10_1_60_nl_ho",21,3.032478005,"control",60,10,"nl","ho"
"10_2_60_nl_ho",21,9.4065946631,"control",60,10,"nl","ho"
"10_3_60_nl_ho",21,12.7741207513,"control",60,10,"nl","ho"
"10_4_60_nl_ho",21,4.5284116783,"control",60,10,"nl","ho"
"10_5_60_nl_ho",21,3.8880067624,"control",60,10,"nl","ho"
"10_1_60_nl_ho",22,4.9166654308,"control",60,10,"nl","ho"
"10_2_60_nl_ho",22,11.1324193865,"control",60,10,"nl","ho"
"10_3_60_nl_ho",22,11.1957678563,"control",60,10,"nl","ho"
"10_4_60_nl_ho",22,4.9096349317,"control",60,10,"nl","ho"
"10_5_60_nl_ho",22,3.2239724482,"control",60,10,"nl","ho"
"10_1_60_nl_ho",23,6.010163675,"control",60,10,"nl","ho"
"10_2_60_nl_ho",23,11.3299200865,"control",60,10,"nl","ho"
"10_3_60_nl_ho",23,9.7057348247,"control",60,10,"nl","ho"
"10_4_60_nl_ho",23,5.9001653096,"control",60,10,"nl","ho"
"10_5_60_nl_ho",23,2.8838732747,"control",60,10,"nl","ho"
"10_1_60_nl_ho",24,6.630098974,"control",60,10,"nl","ho"
"10_2_60_nl_ho",24,11.2077312746,"control",60,10,"nl","ho"
"10_3_60_nl_ho",24,9.5634113574,"control",60,10,"nl","ho"
"10_4_60_nl_ho",24,5.8180844514,"control",60,10,"nl","ho"
"10_5_60_nl_ho",24,2.8134357412,"control",60,10,"nl","ho"
"10_1_60_nl_ho",25,8.0345024558,"control",60,10,"nl","ho"
"10_2_60_nl_ho",25,10.8623066722,"control",60,10,"nl","ho"
"10_3_60_nl_ho",25,7.9275184032,"control",60,10,"nl","ho"
"10_4_60_nl_ho",25,5.8338783828,"control",60,10,"nl","ho"
"10_5_60_nl_ho",25,2.0624361639,"control",60,10,"nl","ho"
"10_1_60_nl_ho",26,9.8147597148,"control",60,10,"nl","ho"
"10_2_60_nl_ho",26,11.3145939815,"control",60,10,"nl","ho"
"10_3_60_nl_ho",26,8.3377098727,"control",60,10,"nl","ho"
"10_4_60_nl_ho",26,6.8941262435,"control",60,10,"nl","ho"
"10_5_60_nl_ho",26,3.6204500118,"control",60,10,"nl","ho"
"10_1_60_nl_ho",27,11.8235121124,"control",60,10,"nl","ho"
"10_2_60_nl_ho",27,11.5257610046,"control",60,10,"nl","ho"
"10_3_60_nl_ho",27,8.0747160731,"control",60,10,"nl","ho"
"10_4_60_nl_ho",27,7.3795499725,"control",60,10,"nl","ho"
"10_5_60_nl_ho",27,4.2723619299,"control",60,10,"nl","ho"
"10_1_60_nl_ho",28,12.2570011807,"control",60,10,"nl","ho"
"10_2_60_nl_ho",28,12.5452917524,"control",60,10,"nl","ho"
"10_3_60_nl_ho",28,7.9410918538,"control",60,10,"nl","ho"
"10_4_60_nl_ho",28,7.3844309523,"control",60,10,"nl","ho"
"10_5_60_nl_ho",28,5.9621370058,"control",60,10,"nl","ho"
"10_1_60_nl_ho",29,12.1101539556,"control",60,10,"nl","ho"
"10_2_60_nl_ho",29,12.40916335,"control",60,10,"nl","ho"
"10_3_60_nl_ho",29,8.8377708625,"control",60,10,"nl","ho"
"10_4_60_nl_ho",29,7.5634775839,"control",60,10,"nl","ho"
"10_5_60_nl_ho",29,7.3781356285,"control",60,10,"nl","ho"
"10_1_60_nl_ho",30,10.9142143488,"control",60,10,"nl","ho"
"10_2_60_nl_ho",30,12.1114460363,"control",60,10,"nl","ho"
"10_3_60_nl_ho",30,9.3715198227,"control",60,10,"nl","ho"
"10_4_60_nl_ho",30,8.5893844466,"control",60,10,"nl","ho"
"10_5_60_nl_ho",30,7.6962509617,"control",60,10,"nl","ho"
"10_1_60_nl_ho",31,10.4335245957,"control",60,10,"nl","ho"
"10_2_60_nl_ho",31,12.9275572045,"control",60,10,"nl","ho"
"10_3_60_nl_ho",31,9.14430582,"control",60,10,"nl","ho"
"10_4_60_nl_ho",31,9.1767854831,"control",60,10,"nl","ho"
"10_5_60_nl_ho",31,7.9086400609,"control",60,10,"nl","ho"
"10_1_60_nl_ho",32,7.045569057,"control",60,10,"nl","ho"
"10_2_60_nl_ho",32,12.7126941703,"control",60,10,"nl","ho"
"10_3_60_nl_ho",32,8.4945495826,"control",60,10,"nl","ho"
"10_4_60_nl_ho",32,10.2171978739,"control",60,10,"nl","ho"
"10_5_60_nl_ho",32,8.0283537092,"control",60,10,"nl","ho"
"10_1_60_nl_ho",33,5.7706383075,"control",60,10,"nl","ho"
"10_2_60_nl_ho",33,12.543069191,"control",60,10,"nl","ho"
"10_3_60_nl_ho",33,9.8471524548,"control",60,10,"nl","ho"
"10_4_60_nl_ho",33,10.7848378121,"control",60,10,"nl","ho"
"10_5_60_nl_ho",33,6.8873343551,"control",60,10,"nl","ho"
"10_1_60_nl_ho",34,6.0166816109,"control",60,10,"nl","ho"
"10_2_60_nl_ho",34,13.2373888123,"control",60,10,"nl","ho"
"10_3_60_nl_ho",34,10.7211719139,"control",60,10,"nl","ho"
"10_4_60_nl_ho",34,10.4567828336,"control",60,10,"nl","ho"
"10_5_60_nl_ho",34,4.6844981353,"control",60,10,"nl","ho"
"10_1_60_nl_ho",35,4.8521045911,"control",60,10,"nl","ho"
"10_2_60_nl_ho",35,11.6023076251,"control",60,10,"nl","ho"
