,101_1_222_nl_ho,101_2_222_nl_ho,101_3_222_nl_ho,101_4_222_nl_ho,101_5_222_nl_ho,101_6_222_nl_ho,101_7_222_nl_ho,101_8_222_nl_ho,101_9_222_nl_ho,101_10_222_nl_ho,101_11_222_nl_ho,101_12_222_nl_ho,101_13_222_nl_ho,101_14_222_nl_ho,101_15_222_nl_ho,101_16_222_nl_ho,101_17_222_nl_ho,101_18_222_nl_ho,101_19_222_nl_ho,101_20_222_nl_ho,101_21_222_nl_ho,101_22_222_nl_ho,101_23_222_nl_ho,101_24_222_nl_ho,101_25_222_nl_ho,101_26_222_nl_ho,101_27_222_nl_ho,101_28_222_nl_ho,101_29_222_nl_ho,101_30_222_nl_ho,101_31_222_nl_ho,101_32_222_nl_ho,101_33_222_nl_ho,101_34_222_nl_ho,101_35_222_nl_ho,101_36_222_nl_ho,101_37_222_nl_ho,101_38_222_nl_ho,101_39_222_nl_ho,101_40_222_nl_ho,101_41_222_nl_ho,101_42_222_nl_ho,101_43_222_nl_ho,101_44_222_nl_ho,101_45_222_nl_ho,101_46_222_nl_ho,101_47_222_nl_ho,101_48_222_nl_ho,101_49_222_nl_ho,101_50_222_nl_ho,101_51_222_nl_ho,101_52_222_nl_ho,101_53_222_nl_ho,101_54_222_nl_ho,101_55_222_nl_ho,101_56_222_nl_ho,101_57_222_nl_ho,101_58_222_nl_ho,101_59_222_nl_ho,101_60_222_nl_ho,101_61_222_nl_ho,101_62_222_nl_ho,101_63_222_nl_ho,101_64_222_nl_ho,101_65_222_nl_ho,101_66_222_nl_ho,101_67_222_nl_ho,101_68_222_nl_ho,101_69_222_nl_ho,101_70_222_nl_ho,101_71_222_nl_ho,101_72_222_nl_ho,101_73_222_nl_ho,101_74_222_nl_ho,101_75_222_nl_ho,101_76_222_nl_ho,101_77_222_nl_ho,101_78_222_nl_ho,101_79_222_nl_ho,101_80_222_nl_ho,101_81_222_nl_ho,101_82_222_nl_ho,101_83_222_nl_ho,101_84_222_nl_ho,101_85_222_nl_ho,101_86_222_nl_ho,101_87_222_nl_ho,101_88_222_nl_ho,101_89_222_nl_ho,101_90_222_nl_ho,101_91_222_nl_ho,101_92_222_nl_ho,101_93_222_nl_ho,101_94_222_nl_ho,101_95_222_nl_ho,101_96_222_nl_ho,101_97_222_nl_ho,101_98_222_nl_ho,101_99_222_nl_ho,101_100_222_nl_ho,101_101_222_nl_ho
0,0.0358418652,0.4801254445,0.5170604826,0.7144921607,0.4696231937,0.2641229427,2.3670651984,0.3448148263,0.3286788602,1.1888659135,1.2427932153,1.6312122087,0.3955525973,0.3827497597,0.9978245229,0.4614170768,1.007827123,1.0009450286,1.4530969775,1.1048364994,0.1503723639,0.4339433388,0.5547002508,0.1906791226,2.2445685601,3.1163765032,0.6200441222,0.8484121375,0.7985551263,0.9998075233,0.5848895233,1.6371100709,1.2103390877,1.6100137453,1.0892984674,0.4243677168,2.664665596,0.3280712128,2.0080367034,0.3420203852,0.4629021172,1.894556468,1.9613062148,0.598128855,0.034801671,1.6241000353,0.7469098512,1.4905213222,0.7422761129,2.1484710135,1.4401385649,0.1530839095,1.0113247151,1.5965959898,1.3317372186,0.4683794649,0.3028785163,1.0371220651,0.4559471307,0.6763234598,0.3782157017,2.4246337943,0.9799485244,0.7556261603,0.2440390766,0.1038458349,0.1302732611,1.5764376149,0.5304273891,1.6421450121,0.8843486496,1.5917878638,1.0063382724,1.1446207575,0.6067425559,0.8803645278,0.5590791687,0.7571403247,2.658117493,0.6285957999,0.1859938759,0.6630648908,1.1189077106,0.9677016035,1.5287881214,1.345577685,0.2902722317,0.4891258922,0.8655022826,1.3025012583,1.6800116762,0.7214865655,0.5191649627,0.4908504912,0.4443219557,2.1806827013,0.7612648484,1.4159303917,1.8868617782,0.2761958948,0.093607535
1,0.0982411752,1.812627035,4.2166561834,1.1424041223,2.2310707918,1.5736832987,3.8236316656,1.6176671615,0.8008282912,2.2569975633,1.2894637049,2.1004096174,1.6396440153,2.0315513361,0.2424226269,0.6186890746,1.9699133392,2.4555492766,2.3630261585,0.9645183229,2.1023634784,1.1784398854,0.8925433093,0.5368476464,4.4929372843,3.4290094711,0.6752566286,3.520376259,3.3002846693,2.096860783,3.0300179025,2.7413348526,1.7519806917,1.9584072921,3.6449613113,0.2653481805,4.2661568017,1.3069033106,5.0160599819,2.7004309844,0.5423381397,4.4748158525,2.8130862733,1.330919808,0.8482750702,2.964980852,2.3752986935,2.110030375,1.1842930417,3.1701921366,2.818611945,1.3012644471,2.3384901941,2.489384601,2.5421053392,1.244707028,0.7240676559,0.9988048369,2.7664024955,1.8071810352,1.4307784224,4.0636954976,2.439657597,1.4755821964,1.6382567909,0.8117892247,1.088989671,2.548530603,1.4309173793,2.7778590466,3.2431058971,1.8499688818,2.2764016054,2.3447540579,2.4518173246,1.8592144569,1.2118145085,2.4599878338,4.2628328699,1.5558916263,0.3649933524,0.4897667929,0.8569858365,3.4938936003,3.8540627069,1.529897204,1.7073135308,3.0471213407,2.9944089754,0.8904611528,2.6487695159,3.5931347427,2.243365082,0.4912343633,0.0938165522,3.766143439,2.1645356096,3.465999155,2.2719030386,1.1592111548,1.7978672635
2,1.7173800605,3.4298303146,7.0320144185,2.6662926328,3.2423051196,4.3150465334,6.0639881183,2.8926216395,2.301605524,3.0944016361,1.1678907547,2.7277466703,4.4434875931,4.0041110585,1.7308379121,0.0232157165,2.9133072909,3.5793672086,3.3428663699,2.3919525229,2.4144785558,2.9161398286,2.5809213292,1.9409772376,5.5061317691,3.1949699671,0.9143500775,6.5677596882,5.9932731242,2.9476872296,4.4626538861,4.2907078076,4.380891398,3.064220657,5.7485912422,0.2924395406,4.3420588514,1.7793280607,7.5913426473,3.970765889,1.0732163616,5.6151677746,4.1532318486,3.0381756495,2.1222576766,5.4566828088,3.316247381,2.3267541701,1.5677848128,3.4379333171,4.4108344748,2.9840747379,4.6460849224,3.2596176343,4.6266255218,3.1466763616,1.6683320204,1.5316801606,3.2582626213,4.0340682833,1.9184118638,4.6791898709,4.1744616208,2.256784098,5.2054427407,1.120513277,2.1086257519,5.3154858781,4.1772913515,3.8463273938,4.3246339231,2.5938707037,5.8429298253,1.3711330074,3.0124706625,2.2556774556,1.3419420325,4.6550366202,4.5949868353,2.2826995215,2.2362806311,0.0043204499,0.248333028,4.3841287249,6.260091349,2.4100857635,2.2706333536,2.9182447272,4.0519743919,0.7288988666,4.8711474751,6.4680566672,4.3933393449,0.0958366768,0.8273622407,4.9235196718,4.1487335846,5.3307055564,3.2287468247,2.3852794964,2.5953918656
3,3.909057649,5.8260777498,7.9969954182,4.1658549752,5.4211532895,5.0970493449,9.2655346042,4.4090214278,2.941929441,4.5826148152,2.0871614344,2.3972712074,4.8915192855,5.1050677278,3.8268639726,1.7598340437,4.0877907582,4.8009072354,5.2773437588,3.4186906427,3.603426473,2.8862424281,3.9562465606,2.9054991214,7.3882235322,3.5848651393,3.7855245343,8.1290320569,6.9308810247,3.1164725012,6.4674083761,6.274155202,7.5697113477,4.9694211799,7.2242714617,0.0809584748,6.0265519974,3.726775821,8.8076426039,4.868728284,1.7596554926,5.9249264255,4.3661363543,4.1179821688,1.6546744915,7.5498479785,4.4283796872,3.1608925806,3.2263056956,3.989861903,6.3813342988,4.438885405,5.583527952,2.3728727958,5.7592385048,4.9277436015,2.4852921868,1.2990684174,4.2474736988,4.9387049122,2.0310651897,3.8883282943,5.2226157711,2.5614338011,7.5315759662,3.024528024,2.3685824098,8.8290922582,6.9453739646,3.7552691754,5.4705073963,3.1894294404,6.2700803794,1.6979635198,3.4783967187,4.7200855202,1.0483640252,7.9096561746,4.2174830761,2.2916152798,3.5855590981,0.2942145102,0.8927255918,6.6552643025,5.9020456173,1.6557917802,2.0127253282,2.1911384419,3.1892236277,1.4466177626,6.6366081521,7.9473590111,5.8045005513,0.7377218499,1.6311107992,5.1172570933,6.3479868169,8.2264672538,4.117323816,2.8041671474,2.2793878512
4,3.6305647738,7.7047326125,8.73777413,5.8581062311,7.1592513777,5.4388635764,10.9123941499,3.8923710491,3.5424011563,4.6217922621,2.3181000152,1.4738790285,5.7589837513,5.3123302911,5.2672765445,1.5029414251,5.4819523715,5.8674155966,5.4485922714,2.8043950262,6.2840859449,3.2650306156,5.6038739752,3.3078862747,6.3210705041,4.1524696886,6.5147330379,7.2151574244,8.4964473706,3.6909052705,8.2838109665,6.689150487,9.0067053446,4.2413713922,8.0562793582,1.6183828636,6.6520741824,5.298029512,7.8468379882,5.096917165,2.0058881756,7.9459257495,5.2117271087,2.5520234927,3.4457465971,8.290802017,4.4253305173,2.3467556771,3.8390723507,4.0008229862,5.6017919956,5.332439459,5.6155823346,2.8176539406,7.2779636954,6.4514375174,3.295108352,2.6363897706,3.9737123839,5.3294638468,2.6580723513,2.9135355361,8.1809268964,1.9814147653,9.0180368458,5.5412131147,3.2834793087,9.3485180517,9.3543373769,4.0046935037,5.6336290444,3.7314460575,5.5778318052,3.282792878,4.463863697,5.8981884975,1.4079150938,11.3578479256,3.1211244185,2.5374059378,4.4097417149,1.4085146083,2.9711674468,7.3008297371,7.1847934925,2.2257470921,1.8151416971,3.0076894496,3.5753526481,2.7864645571,7.8131370272,7.1268442301,6.8221153159,1.6852838399,3.4857531026,6.4947713513,6.8196078027,8.9904605997,4.6572090805,2.2545408799,2.3896234294
5,5.1084703953,10.8134714425,8.8661756923,7.6834899304,7.8759462932,5.6755224205,13.3978398483,3.2232562681,4.0195267293,5.1058770036,3.6651296584,1.2478480907,6.3016774497,5.9765544076,7.1695237846,1.4732735173,6.3381396647,6.2048641524,4.6626317511,4.7158618077,7.3370093495,3.455615098,6.212455381,3.8604691773,2.8280586374,4.2948168668,7.907359454,6.5279928213,7.928439892,4.1797440552,7.4921528031,7.0165084888,8.1925930519,5.0401313732,9.0179073409,3.3782056375,6.8448686391,5.2598297554,8.1864490944,4.5561980321,0.7078540196,9.9344792777,6.4126469739,2.0326669117,5.4116711589,7.5907558888,5.0896137641,2.6189233216,3.9434324343,4.4674415974,5.1153401988,6.5760084764,7.3378113782,2.5114696105,7.3289696949,6.4078108613,5.2017549542,3.6908755705,3.0163123209,6.7565880473,2.3362201948,3.5152419755,9.7100301899,2.0552890239,10.2225810039,8.1895841754,4.0687454248,9.0782896589,9.6316135901,4.3379263655,5.3653044936,3.8846840298,5.5128111509,4.7929128298,6.0393321921,6.3991554481,3.1662217187,12.4016259717,3.5838029959,4.6284065798,6.3110517174,1.1147548664,4.2537614378,8.0369353999,9.7024856343,2.6103456606,2.9369601416,3.3785657474,5.3124015542,3.2741060047,6.132448645,7.125013878,6.7744284708,2.3164075832,4.1955000571,7.916033306,7.6135946347,9.1597366977,5.4421434176,3.5423933365,3.9207765452
6,6.5301551577,12.4331599674,9.107676021,7.2411676495,8.0104550478,5.9232569867,13.3755350354,2.9883192052,6.1703519852,6.1936869892,5.3556401996,1.3353321465,6.5898869622,4.0274130169,7.8303821631,1.5526724645,6.268653072,5.3825306867,4.8357112705,4.095828726,6.6360826221,4.7001373798,6.6060170885,4.6474978655,2.7063916343,6.6263019431,9.044321454,7.2996971505,7.2008741191,4.2005089516,7.5978262778,7.3006334895,9.4519113323,6.3591875707,10.2244392642,4.4095788949,6.6545416165,5.3505564789,8.7333723338,5.0348150503,0.7187020388,10.3722342369,6.9260624702,2.6772276623,6.308000343,7.1313139077,5.6909663133,2.5545254099,2.4312944417,5.6957571341,5.4008738004,6.5972168234,10.5086478881,2.1041349054,7.7535562274,5.7552422708,7.125533361,3.8727378119,3.2973739145,7.3760975387,2.4859898026,4.2486565316,7.6479389607,3.5944311332,11.2869304979,8.5188215473,5.8197874126,9.4278267243,8.6731036838,4.3881900043,5.3794680103,3.2307014966,6.5256289741,6.5346064345,7.3485195897,6.7007372136,3.7280413546,11.8524598542,3.6318341981,4.461532934,8.0642906673,1.5211264598,5.5395422012,6.3282143438,10.8867924341,4.8738097492,6.7776213861,3.5849239907,5.7802355419,4.9636287776,7.138176374,9.6849998675,8.600907465,3.9075392885,5.7030861192,7.8728498148,6.9319775116,10.8976086049,7.1174947457,4.7613684659,5.975899671
7,7.4459230056,12.5078603577,9.1978572602,7.9854963169,9.0591558776,6.2330299403,12.4572693173,3.7173783843,5.8867142435,4.9160048869,5.3417493075,3.1058977705,7.1464809989,4.3160478303,8.6622332215,1.8571430247,7.0568436783,5.1465547503,4.2819855971,4.0705272302,5.7840134187,5.0246180256,6.9668370459,6.3915162662,2.772072036,8.3231097911,8.2156542629,7.1143049031,8.1675379037,5.1098847804,6.6485322319,8.3580596369,11.1446865334,7.1834793619,9.5169464351,5.8754870438,5.4645452879,3.2588893833,8.3914060754,5.754246647,2.7055970733,10.207175458,7.8510621989,2.574804275,7.8784364288,8.8350830124,4.1530278822,1.9703947997,2.8180534407,7.0802292805,5.3626351861,6.1845572463,11.2361287499,2.2054406233,8.9732971862,5.5548032961,8.8892148608,4.1646030285,2.3498082295,8.5964402603,2.6194317843,2.5126429587,4.8889718767,3.6135123787,12.1339442138,8.0004430798,6.6219388104,9.5452009181,6.3546928513,4.4142069378,4.9740015024,4.5451014618,6.3912185936,7.3077113758,6.8161289954,5.5791390412,4.2219612246,11.3811920226,4.519498794,5.783760157,8.6574525006,3.3334133429,4.8847221689,5.0493086352,11.9574684751,6.4940186595,7.1788739074,3.6372762485,6.7966105291,6.0640506821,7.0524918644,9.9427230163,9.6722538755,4.0354988856,7.2607011604,7.1272389647,7.7248683901,12.4816648081,8.1560967186,4.6755921411,5.7383148076
8,7.726603663,12.5132680255,8.9882602747,8.3371282537,8.5332161362,6.6423640472,11.7752103093,4.3893506234,7.1985294903,2.8224736575,4.7660980061,3.9828258639,7.5745457348,5.8392112966,9.153582643,2.1317203838,8.7043647488,5.2442689538,4.7678509855,4.3857692032,4.7230379152,6.4082034213,7.5380165345,6.8055453152,3.2733372855,7.4045830684,8.4883067504,6.7881045874,8.9326845415,5.7936376028,6.1633545413,7.4128691621,11.1016450143,7.2190678858,9.2479607817,8.3472543563,5.2494442814,2.1281804253,9.0755653181,6.7793521186,4.3935172813,10.366859781,8.5868427247,2.6331386571,8.2321334753,8.8034061627,4.2575952349,2.9001095251,2.6482006436,7.9802731141,4.9175098088,5.4989910701,10.5212751621,1.714769414,9.3140780879,5.4263398748,8.0768495799,4.0718405928,3.9531281756,11.10452106,4.4341575765,4.6912177526,3.1940250312,3.8885797964,12.6045242975,7.6565934077,8.8529437401,9.8363601235,5.4977110959,4.8351110201,5.3358456981,6.7092270096,4.8903256165,8.7355151679,6.6399276767,5.491928104,5.4319929365,11.6948938355,5.7205595383,7.0890540931,8.4293598855,5.206933172,3.6874058645,3.9612485555,12.4940503737,8.6733828202,7.4704616803,3.3834053033,6.0420491025,5.8934443642,5.9442960502,11.8626273293,8.8154181998,4.6507223659,8.023129577,4.8030979426,6.591168568,13.3897724862,8.3176041487,5.9628859319,5.6316393412
9,7.3979828685,11.8470201739,7.9998902762,8.8141086914,6.4660076624,5.9056082296,10.0260799005,4.515409834,7.982772971,2.894824147,4.8874429433,3.6323152256,7.395337735,6.3953166296,7.1764042001,2.5294692175,10.2331181307,4.5124117348,5.6070958799,5.7816321962,3.1879647279,7.4489737598,8.2486130456,6.6875894746,5.5076938488,6.4781486022,10.3839397681,6.8930533878,8.7916107295,6.5767246158,6.6436454972,7.2885263925,11.6507636058,5.5501919029,10.3423790275,9.469415475,5.0369624556,2.285214884,9.8560551959,7.8930879095,4.8953278368,10.706152654,8.238208702,2.7364002442,8.0087132668,7.6538210612,3.7653316069,3.7834931582,3.0505233843,7.9628977305,3.7792219549,4.8194348097,11.7888987025,2.2075022633,7.9944009476,7.5201489028,7.2706963906,6.434961494,4.7282329456,10.4450072371,5.3187462741,5.6153968302,2.5656112389,5.0564455166,12.3893729624,6.6281262059,11.8021917038,8.6137670163,5.2899241898,4.8654449675,4.7151251086,7.971283998,3.0698703302,9.2699772836,6.0973969112,4.6041325608,5.7498572511,11.7498212706,6.1179768578,6.6352830355,7.1879250746,6.4126652761,2.478549544,3.011853642,12.0695597485,9.0867446412,6.9951260954,3.0184446365,4.8065793267,4.8208001394,4.7209094282,10.5257029319,7.6660943673,3.7361165096,6.964298552,3.5375907005,7.1224331165,12.3454047562,8.4318744397,7.3130736147,6.9718081242
