"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_222_l_ho",1,4,"control",222,10,"l","ho"
"10_2_222_l_ho",1,4,"control",222,10,"l","ho"
"10_3_222_l_ho",1,4,"control",222,10,"l","ho"
"10_4_222_l_ho",1,4,"control",222,10,"l","ho"
"10_5_222_l_ho",1,4,"control",222,10,"l","ho"
"10_1_222_l_ho",2,4.44493734798255,"control",222,10,"l","ho"
"10_2_222_l_ho",2,3.21580808740762,"control",222,10,"l","ho"
"10_3_222_l_ho",2,4.58503887332389,"control",222,10,"l","ho"
"10_4_222_l_ho",2,4.37166771715294,"control",222,10,"l","ho"
"10_5_222_l_ho",2,4.15883990341036,"control",222,10,"l","ho"
"10_1_222_l_ho",3,4.49877987409879,"control",222,10,"l","ho"
"10_2_222_l_ho",3,2.43550930556673,"control",222,10,"l","ho"
"10_3_222_l_ho",3,4.55493522346927,"control",222,10,"l","ho"
"10_4_222_l_ho",3,4.57885253907241,"control",222,10,"l","ho"
"10_5_222_l_ho",3,4.04484333509522,"control",222,10,"l","ho"
"10_1_222_l_ho",4,4.57486035464009,"control",222,10,"l","ho"
"10_2_222_l_ho",4,2.4831140156321,"control",222,10,"l","ho"
"10_3_222_l_ho",4,5.75795394388773,"control",222,10,"l","ho"
"10_4_222_l_ho",4,5.34352353530233,"control",222,10,"l","ho"
"10_5_222_l_ho",4,3.59875412051069,"control",222,10,"l","ho"
"10_1_222_l_ho",5,3.764792352946,"control",222,10,"l","ho"
"10_2_222_l_ho",5,2.62773849223196,"control",222,10,"l","ho"
"10_3_222_l_ho",5,5.4708190083333,"control",222,10,"l","ho"
"10_4_222_l_ho",5,5.88821633543224,"control",222,10,"l","ho"
"10_5_222_l_ho",5,3.52567386171106,"control",222,10,"l","ho"
"10_1_222_l_ho",6,3.34587254696218,"control",222,10,"l","ho"
"10_2_222_l_ho",6,2.8775345901722,"control",222,10,"l","ho"
"10_3_222_l_ho",6,5.88449300726993,"control",222,10,"l","ho"
"10_4_222_l_ho",6,5.9658837722852,"control",222,10,"l","ho"
"10_5_222_l_ho",6,3.43659104126424,"control",222,10,"l","ho"
"10_1_222_l_ho",7,2.77740663972142,"control",222,10,"l","ho"
"10_2_222_l_ho",7,3.52065497310675,"control",222,10,"l","ho"
"10_3_222_l_ho",7,6.03958275903303,"control",222,10,"l","ho"
"10_4_222_l_ho",7,5.95918021947829,"control",222,10,"l","ho"
"10_5_222_l_ho",7,2.97234499489842,"control",222,10,"l","ho"
"10_1_222_l_ho",8,2.34742614216492,"control",222,10,"l","ho"
"10_2_222_l_ho",8,4.10205767574659,"control",222,10,"l","ho"
