"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_6_60_l_he",1,10.0458242031754,"treated",60,10,"l","he"
"10_7_60_l_he",1,4.71636164503914,"treated",60,10,"l","he"
"10_8_60_l_he",1,2.66029992506595,"treated",60,10,"l","he"
"10_9_60_l_he",1,3.59530192910962,"treated",60,10,"l","he"
"10_10_60_l_he",1,8.74437888399976,"treated",60,10,"l","he"
"10_6_60_l_he",2,10.4743354008144,"treated",60,10,"l","he"
"10_7_60_l_he",2,4.66872625093898,"treated",60,10,"l","he"
"10_8_60_l_he",2,2.92847394540743,"treated",60,10,"l","he"
"10_9_60_l_he",2,3.15980834061179,"treated",60,10,"l","he"
"10_10_60_l_he",2,8.75715079791187,"treated",60,10,"l","he"
"10_6_60_l_he",3,11.0377381517429,"treated",60,10,"l","he"
"10_7_60_l_he",3,5.55558715695898,"treated",60,10,"l","he"
"10_8_60_l_he",3,3.46097855045283,"treated",60,10,"l","he"
"10_9_60_l_he",3,2.62495857696071,"treated",60,10,"l","he"
"10_10_60_l_he",3,8.63016132280667,"treated",60,10,"l","he"
"10_6_60_l_he",4,12.1916868565073,"treated",60,10,"l","he"
"10_7_60_l_he",4,5.80970204363545,"treated",60,10,"l","he"
"10_8_60_l_he",4,3.62559716572089,"treated",60,10,"l","he"
"10_9_60_l_he",4,2.23237750358499,"treated",60,10,"l","he"
"10_10_60_l_he",4,7.75897101241518,"treated",60,10,"l","he"
"10_6_60_l_he",5,12.241512419671,"treated",60,10,"l","he"
"10_7_60_l_he",5,6.59123292727256,"treated",60,10,"l","he"
"10_8_60_l_he",5,3.66142748516917,"treated",60,10,"l","he"
"10_9_60_l_he",5,2.43434873573063,"treated",60,10,"l","he"
"10_10_60_l_he",5,7.04663610173906,"treated",60,10,"l","he"
"10_6_60_l_he",6,11.8643215915003,"treated",60,10,"l","he"
"10_7_60_l_he",6,7.43184008764599,"treated",60,10,"l","he"
"10_8_60_l_he",6,3.84313749399788,"treated",60,10,"l","he"
"10_9_60_l_he",6,2.06631047406897,"treated",60,10,"l","he"
"10_10_60_l_he",6,6.90105956006139,"treated",60,10,"l","he"
"10_6_60_l_he",7,10.8418018608858,"treated",60,10,"l","he"
"10_7_60_l_he",7,8.31491015602042,"treated",60,10,"l","he"
"10_8_60_l_he",7,3.02367065683966,"treated",60,10,"l","he"
"10_9_60_l_he",7,1.77757347819978,"treated",60,10,"l","he"
"10_10_60_l_he",7,7.58359050767712,"treated",60,10,"l","he"
"10_6_60_l_he",8,9.88427182474102,"treated",60,10,"l","he"
"10_7_60_l_he",8,8.20951367814238,"treated",60,10,"l","he"
"10_8_60_l_he",8,3.26191144372134,"treated",60,10,"l","he"
"10_9_60_l_he",8,2.32592838752295,"treated",60,10,"l","he"
"10_10_60_l_he",8,8.41139693569914,"treated",60,10,"l","he"
"10_6_60_l_he",9,8.90538141117228,"treated",60,10,"l","he"
"10_7_60_l_he",9,8.08452978402249,"treated",60,10,"l","he"
"10_8_60_l_he",9,3.41965110737218,"treated",60,10,"l","he"
"10_9_60_l_he",9,2.24392982457351,"treated",60,10,"l","he"
"10_10_60_l_he",9,9.24888491359027,"treated",60,10,"l","he"
"10_6_60_l_he",10,8.82163503433959,"treated",60,10,"l","he"
"10_7_60_l_he",10,7.37181428333875,"treated",60,10,"l","he"
"10_8_60_l_he",10,3.80332757041377,"treated",60,10,"l","he"
"10_9_60_l_he",10,2.4334126870389,"treated",60,10,"l","he"
"10_10_60_l_he",10,9.57503588257301,"treated",60,10,"l","he"
"10_6_60_l_he",11,8.7841988645089,"treated",60,10,"l","he"
"10_7_60_l_he",11,7.08983692959353,"treated",60,10,"l","he"
"10_8_60_l_he",11,3.64049704577798,"treated",60,10,"l","he"
"10_9_60_l_he",11,2.88946183944259,"treated",60,10,"l","he"
"10_10_60_l_he",11,9.93916122123791,"treated",60,10,"l","he"
"10_6_60_l_he",12,8.54968102730099,"treated",60,10,"l","he"
"10_7_60_l_he",12,7.16953003902094,"treated",60,10,"l","he"
"10_8_60_l_he",12,3.14776147303227,"treated",60,10,"l","he"
"10_9_60_l_he",12,2.77483436154929,"treated",60,10,"l","he"
"10_10_60_l_he",12,10.2757561323728,"treated",60,10,"l","he"
