"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_6_60_nl_he",1,11.9933179899,"treated",60,10,"nl","he"
"10_7_60_nl_he",1,3.7348997014,"treated",60,10,"nl","he"
"10_8_60_nl_he",1,8.7115922496,"treated",60,10,"nl","he"
"10_9_60_nl_he",1,6.566083828,"treated",60,10,"nl","he"
"10_10_60_nl_he",1,6.1753162299,"treated",60,10,"nl","he"
"10_6_60_nl_he",2,9.9087030127,"treated",60,10,"nl","he"
"10_7_60_nl_he",2,3.5683918716,"treated",60,10,"nl","he"
"10_8_60_nl_he",2,8.0539756863,"treated",60,10,"nl","he"
"10_9_60_nl_he",2,7.4745599479,"treated",60,10,"nl","he"
"10_10_60_nl_he",2,4.1625928433,"treated",60,10,"nl","he"
"10_6_60_nl_he",3,9.5862329115,"treated",60,10,"nl","he"
"10_7_60_nl_he",3,3.6837519636,"treated",60,10,"nl","he"
"10_8_60_nl_he",3,7.417439802,"treated",60,10,"nl","he"
"10_9_60_nl_he",3,7.5197373009,"treated",60,10,"nl","he"
"10_10_60_nl_he",3,2.6819083502,"treated",60,10,"nl","he"
"10_6_60_nl_he",4,9.5848661394,"treated",60,10,"nl","he"
"10_7_60_nl_he",4,4.7443031757,"treated",60,10,"nl","he"
"10_8_60_nl_he",4,7.8385756153,"treated",60,10,"nl","he"
"10_9_60_nl_he",4,8.2073138311,"treated",60,10,"nl","he"
"10_10_60_nl_he",4,1.8606022183,"treated",60,10,"nl","he"
"10_6_60_nl_he",5,8.9768652073,"treated",60,10,"nl","he"
"10_7_60_nl_he",5,4.1650437347,"treated",60,10,"nl","he"
"10_8_60_nl_he",5,8.1713387654,"treated",60,10,"nl","he"
"10_9_60_nl_he",5,9.3643626744,"treated",60,10,"nl","he"
"10_10_60_nl_he",5,0.5717361178,"treated",60,10,"nl","he"
"10_6_60_nl_he",6,7.7952145536,"treated",60,10,"nl","he"
"10_7_60_nl_he",6,4.7477421571,"treated",60,10,"nl","he"
"10_8_60_nl_he",6,9.4726651675,"treated",60,10,"nl","he"
"10_9_60_nl_he",6,9.1610742379,"treated",60,10,"nl","he"
"10_10_60_nl_he",6,0.3536843743,"treated",60,10,"nl","he"
"10_6_60_nl_he",7,7.4880162567,"treated",60,10,"nl","he"
"10_7_60_nl_he",7,5.4545025277,"treated",60,10,"nl","he"
"10_8_60_nl_he",7,9.26117062,"treated",60,10,"nl","he"
"10_9_60_nl_he",7,9.9048800969,"treated",60,10,"nl","he"
"10_10_60_nl_he",7,1.5470246529,"treated",60,10,"nl","he"
"10_6_60_nl_he",8,6.506931237,"treated",60,10,"nl","he"
"10_7_60_nl_he",8,6.626345174,"treated",60,10,"nl","he"
"10_8_60_nl_he",8,8.3991317442,"treated",60,10,"nl","he"
"10_9_60_nl_he",8,9.6319017322,"treated",60,10,"nl","he"
"10_10_60_nl_he",8,0.9653176184,"treated",60,10,"nl","he"
"10_6_60_nl_he",9,5.5486566244,"treated",60,10,"nl","he"
"10_7_60_nl_he",9,7.6418829952,"treated",60,10,"nl","he"
"10_8_60_nl_he",9,8.0709958285,"treated",60,10,"nl","he"
"10_9_60_nl_he",9,9.0357052298,"treated",60,10,"nl","he"
"10_10_60_nl_he",9,1.3374393191,"treated",60,10,"nl","he"
"10_6_60_nl_he",10,2.4201783202,"treated",60,10,"nl","he"
"10_7_60_nl_he",10,7.4308630418,"treated",60,10,"nl","he"
"10_8_60_nl_he",10,7.4602381058,"treated",60,10,"nl","he"
"10_9_60_nl_he",10,8.5681178302,"treated",60,10,"nl","he"
"10_10_60_nl_he",10,2.3188269243,"treated",60,10,"nl","he"
"10_6_60_nl_he",11,1.2361918905,"treated",60,10,"nl","he"
"10_7_60_nl_he",11,6.7767964684,"treated",60,10,"nl","he"
"10_8_60_nl_he",11,6.9543110033,"treated",60,10,"nl","he"
"10_9_60_nl_he",11,6.8345732808,"treated",60,10,"nl","he"
"10_10_60_nl_he",11,1.9217020626,"treated",60,10,"nl","he"
"10_6_60_nl_he",12,0.3048599317,"treated",60,10,"nl","he"
"10_7_60_nl_he",12,6.2026323872,"treated",60,10,"nl","he"
"10_8_60_nl_he",12,4.8484261552,"treated",60,10,"nl","he"
"10_9_60_nl_he",12,5.6532043126,"treated",60,10,"nl","he"
"10_10_60_nl_he",12,1.5234010007,"treated",60,10,"nl","he"
