"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"10_1_60_nonlinear_homogeneous",1,3.872597045,"control",60,10,"nonlinear","homogeneous"
"10_2_60_nonlinear_homogeneous",1,5.0995966185,"control",60,10,"nonlinear","homogeneous"
"10_3_60_nonlinear_homogeneous",1,4.3318960831,"control",60,10,"nonlinear","homogeneous"
"10_4_60_nonlinear_homogeneous",1,3.7024977415,"control",60,10,"nonlinear","homogeneous"
"10_5_60_nonlinear_homogeneous",1,2.7470783787,"control",60,10,"nonlinear","homogeneous"
"10_1_60_nonlinear_homogeneous",2,3.3448112575,"control",60,10,"nonlinear","homogeneous"
"10_2_60_nonlinear_homogeneous",2,4.578100335,"control",60,10,"nonlinear","homogeneous"
"10_3_60_nonlinear_homogeneous",2,4.4095866456,"control",60,10,"nonlinear","homogeneous"
"10_4_60_nonlinear_homogeneous",2,0.9488056703,"control",60,10,"nonlinear","homogeneous"
"10_5_60_nonlinear_homogeneous",2,4.2887045047,"control",60,10,"nonlinear","homogeneous"
"10_1_60_nonlinear_homogeneous",3,2.7624730978,"control",60,10,"nonlinear","homogeneous"
"10_2_60_nonlinear_homogeneous",3,3.063127588,"control",60,10,"nonlinear","homogeneous"
"10_3_60_nonlinear_homogeneous",3,4.5012962302,"control",60,10,"nonlinear","homogeneous"
"10_4_60_nonlinear_homogeneous",3,2.8567727384,"control",60,10,"nonlinear","homogeneous"
"10_5_60_nonlinear_homogeneous",3,3.2355888408,"control",60,10,"nonlinear","homogeneous"
"10_1_60_nonlinear_homogeneous",4,3.5375774497,"control",60,10,"nonlinear","homogeneous"
"10_2_60_nonlinear_homogeneous",4,2.5260487229,"control",60,10,"nonlinear","homogeneous"
"10_3_60_nonlinear_homogeneous",4,5.1706094124,"control",60,10,"nonlinear","homogeneous"
"10_4_60_nonlinear_homogeneous",4,3.1046579743,"control",60,10,"nonlinear","homogeneous"
"10_5_60_nonlinear_homogeneous",4,2.3203475691,"control",60,10,"nonlinear","homogeneous"
"10_1_60_nonlinear_homogeneous",5,2.7558022639,"control",60,10,"nonlinear","homogeneous"
"10_2_60_nonlinear_homogeneous",5,3.0558866471,"control",60,10,"nonlinear","homogeneous"
"10_3_60_nonlinear_homogeneous",5,6.0861961818,"control",60,10,"nonlinear","homogeneous"
"10_4_60_nonlinear_homogeneous",5,4.1574216261,"control",60,10,"nonlinear","homogeneous"
"10_5_60_nonlinear_homogeneous",5,2.7052497764,"control",60,10,"nonlinear","homogeneous"
