"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_251_222_l_ho",1,7.48746576391198,"treated",222,500,"l","ho"
"500_252_222_l_ho",1,10.7300043739895,"treated",222,500,"l","ho"
"500_253_222_l_ho",1,9.7870381362188,"treated",222,500,"l","ho"
"500_254_222_l_ho",1,9.19174582206086,"treated",222,500,"l","ho"
"500_255_222_l_ho",1,6.71322405333805,"treated",222,500,"l","ho"
"500_256_222_l_ho",1,8.24913346334538,"treated",222,500,"l","ho"
"500_257_222_l_ho",1,5.64949095102834,"treated",222,500,"l","ho"
"500_258_222_l_ho",1,12.2011697363822,"treated",222,500,"l","ho"
"500_259_222_l_ho",1,5.2367473061975,"treated",222,500,"l","ho"
"500_260_222_l_ho",1,6.21001136290226,"treated",222,500,"l","ho"
"500_261_222_l_ho",1,4.3504591016996,"treated",222,500,"l","ho"
"500_262_222_l_ho",1,7.70878649801548,"treated",222,500,"l","ho"
"500_263_222_l_ho",1,3.44169270238528,"treated",222,500,"l","ho"
"500_264_222_l_ho",1,6.50119863305111,"treated",222,500,"l","ho"
"500_265_222_l_ho",1,4.57516418816305,"treated",222,500,"l","ho"
"500_266_222_l_ho",1,5.32751850738284,"treated",222,500,"l","ho"
"500_267_222_l_ho",1,7.94964177546899,"treated",222,500,"l","ho"
"500_268_222_l_ho",1,9.48267779771516,"treated",222,500,"l","ho"
"500_269_222_l_ho",1,5.32776432805658,"treated",222,500,"l","ho"
"500_270_222_l_ho",1,6.07331776772579,"treated",222,500,"l","ho"
"500_271_222_l_ho",1,5.34850048030885,"treated",222,500,"l","ho"
"500_272_222_l_ho",1,11.6159330495828,"treated",222,500,"l","ho"
"500_273_222_l_ho",1,8.54935416487846,"treated",222,500,"l","ho"
"500_274_222_l_ho",1,7.04454949243441,"treated",222,500,"l","ho"
"500_275_222_l_ho",1,5.15493310858282,"treated",222,500,"l","ho"
"500_276_222_l_ho",1,5.8679956357742,"treated",222,500,"l","ho"
"500_277_222_l_ho",1,8.72136070481377,"treated",222,500,"l","ho"
"500_278_222_l_ho",1,3.17841379661069,"treated",222,500,"l","ho"
"500_279_222_l_ho",1,7.96335574178597,"treated",222,500,"l","ho"
"500_280_222_l_ho",1,7.0101939357787,"treated",222,500,"l","ho"
"500_281_222_l_ho",1,10.7669369873764,"treated",222,500,"l","ho"
"500_282_222_l_ho",1,5.84724432064996,"treated",222,500,"l","ho"
"500_283_222_l_ho",1,3.6364468363512,"treated",222,500,"l","ho"
"500_284_222_l_ho",1,3.50580649264346,"treated",222,500,"l","ho"
"500_285_222_l_ho",1,8.05730849666218,"treated",222,500,"l","ho"
"500_286_222_l_ho",1,7.39874052445083,"treated",222,500,"l","ho"
"500_287_222_l_ho",1,4.97348532504091,"treated",222,500,"l","ho"
"500_288_222_l_ho",1,10.8603428269123,"treated",222,500,"l","ho"
"500_289_222_l_ho",1,8.80984808606425,"treated",222,500,"l","ho"
"500_290_222_l_ho",1,4.04676026584135,"treated",222,500,"l","ho"
"500_291_222_l_ho",1,3.53195648466086,"treated",222,500,"l","ho"
"500_292_222_l_ho",1,5.99675287489197,"treated",222,500,"l","ho"
"500_293_222_l_ho",1,9.52301572900357,"treated",222,500,"l","ho"
"500_294_222_l_ho",1,7.96771436223156,"treated",222,500,"l","ho"
"500_295_222_l_ho",1,10.2179173002198,"treated",222,500,"l","ho"
"500_296_222_l_ho",1,4.40206804075381,"treated",222,500,"l","ho"
"500_297_222_l_ho",1,11.3922375530281,"treated",222,500,"l","ho"
"500_298_222_l_ho",1,3.84275981145801,"treated",222,500,"l","ho"
"500_299_222_l_ho",1,8.79465028727037,"treated",222,500,"l","ho"
"500_300_222_l_ho",1,5.804758938922,"treated",222,500,"l","ho"
"500_301_222_l_ho",1,3.31083565035181,"treated",222,500,"l","ho"
"500_302_222_l_ho",1,4.52937320992458,"treated",222,500,"l","ho"
"500_303_222_l_ho",1,11.1022894011372,"treated",222,500,"l","ho"
"500_304_222_l_ho",1,8.83667129253984,"treated",222,500,"l","ho"
"500_305_222_l_ho",1,10.2339948852056,"treated",222,500,"l","ho"
"500_306_222_l_ho",1,10.8041310029352,"treated",222,500,"l","ho"
"500_307_222_l_ho",1,9.42043483103053,"treated",222,500,"l","ho"
"500_308_222_l_ho",1,2.56238350594168,"treated",222,500,"l","ho"
"500_309_222_l_ho",1,3.72267010826625,"treated",222,500,"l","ho"
"500_310_222_l_ho",1,7.12505990614414,"treated",222,500,"l","ho"
"500_311_222_l_ho",1,4.87393959028547,"treated",222,500,"l","ho"
"500_312_222_l_ho",1,1.65370848496398,"treated",222,500,"l","ho"
"500_313_222_l_ho",1,3.47228092969393,"treated",222,500,"l","ho"
"500_314_222_l_ho",1,8.73737458823716,"treated",222,500,"l","ho"
"500_315_222_l_ho",1,10.1674110384677,"treated",222,500,"l","ho"
"500_316_222_l_ho",1,2.49858694858899,"treated",222,500,"l","ho"
"500_317_222_l_ho",1,6.61520684124803,"treated",222,500,"l","ho"
"500_318_222_l_ho",1,7.62862458162922,"treated",222,500,"l","ho"
"500_319_222_l_ho",1,9.08596328440452,"treated",222,500,"l","ho"
"500_320_222_l_ho",1,5.80724274216361,"treated",222,500,"l","ho"
"500_321_222_l_ho",1,0.677978805723797,"treated",222,500,"l","ho"
"500_322_222_l_ho",1,3.34879078743382,"treated",222,500,"l","ho"
"500_323_222_l_ho",1,7.50817808405994,"treated",222,500,"l","ho"
"500_324_222_l_ho",1,9.12054337548021,"treated",222,500,"l","ho"
"500_325_222_l_ho",1,12.1096480105627,"treated",222,500,"l","ho"
"500_326_222_l_ho",1,5.20544493164594,"treated",222,500,"l","ho"
"500_327_222_l_ho",1,13.8945050260277,"treated",222,500,"l","ho"
"500_328_222_l_ho",1,9.20984657992813,"treated",222,500,"l","ho"
"500_329_222_l_ho",1,9.24908505158218,"treated",222,500,"l","ho"
"500_330_222_l_ho",1,7.84589047542459,"treated",222,500,"l","ho"
"500_331_222_l_ho",1,5.63130852971243,"treated",222,500,"l","ho"
"500_332_222_l_ho",1,3.00750992575192,"treated",222,500,"l","ho"
"500_333_222_l_ho",1,10.3335897737408,"treated",222,500,"l","ho"
"500_334_222_l_ho",1,8.56436260581,"treated",222,500,"l","ho"
"500_335_222_l_ho",1,12.5767099698192,"treated",222,500,"l","ho"
"500_336_222_l_ho",1,7.98240605980246,"treated",222,500,"l","ho"
"500_337_222_l_ho",1,4.03227741055283,"treated",222,500,"l","ho"
"500_338_222_l_ho",1,8.57513566060225,"treated",222,500,"l","ho"
"500_339_222_l_ho",1,5.7440716884387,"treated",222,500,"l","ho"
"500_340_222_l_ho",1,5.60536020914038,"treated",222,500,"l","ho"
"500_341_222_l_ho",1,5.96564491533514,"treated",222,500,"l","ho"
"500_342_222_l_ho",1,12.7342260728547,"treated",222,500,"l","ho"
"500_343_222_l_ho",1,12.0789221127052,"treated",222,500,"l","ho"
"500_344_222_l_ho",1,2.87160552835864,"treated",222,500,"l","ho"
"500_345_222_l_ho",1,8.9731091821361,"treated",222,500,"l","ho"
"500_346_222_l_ho",1,2.19744727150338,"treated",222,500,"l","ho"
"500_347_222_l_ho",1,9.92093162437241,"treated",222,500,"l","ho"
"500_348_222_l_ho",1,8.23414263569593,"treated",222,500,"l","ho"
"500_349_222_l_ho",1,7.89704481774566,"treated",222,500,"l","ho"
"500_350_222_l_ho",1,4.38869263337911,"treated",222,500,"l","ho"
"500_351_222_l_ho",1,5.827545025355,"treated",222,500,"l","ho"
"500_352_222_l_ho",1,7.19913226078753,"treated",222,500,"l","ho"
"500_353_222_l_ho",1,6.84094574377962,"treated",222,500,"l","ho"
"500_354_222_l_ho",1,5.62060722253175,"treated",222,500,"l","ho"
"500_355_222_l_ho",1,8.86027168766415,"treated",222,500,"l","ho"
"500_356_222_l_ho",1,10.5198593179509,"treated",222,500,"l","ho"
"500_357_222_l_ho",1,5.85703923503727,"treated",222,500,"l","ho"
"500_358_222_l_ho",1,3.71238689209051,"treated",222,500,"l","ho"
"500_359_222_l_ho",1,5.03472480829881,"treated",222,500,"l","ho"
"500_360_222_l_ho",1,10.0011387723194,"treated",222,500,"l","ho"
"500_361_222_l_ho",1,10.1431499042734,"treated",222,500,"l","ho"
"500_362_222_l_ho",1,3.53757917456968,"treated",222,500,"l","ho"
"500_363_222_l_ho",1,4.47581207178827,"treated",222,500,"l","ho"
"500_364_222_l_ho",1,4.89244081001134,"treated",222,500,"l","ho"
"500_365_222_l_ho",1,6.75140666577862,"treated",222,500,"l","ho"
"500_366_222_l_ho",1,3.86484985176308,"treated",222,500,"l","ho"
"500_367_222_l_ho",1,2.26374078084398,"treated",222,500,"l","ho"
"500_368_222_l_ho",1,6.42562071571904,"treated",222,500,"l","ho"
"500_369_222_l_ho",1,8.52786807817663,"treated",222,500,"l","ho"
"500_370_222_l_ho",1,8.45410964357486,"treated",222,500,"l","ho"
"500_371_222_l_ho",1,3.38849658257456,"treated",222,500,"l","ho"
"500_372_222_l_ho",1,6.59823516493315,"treated",222,500,"l","ho"
"500_373_222_l_ho",1,5.25454713844413,"treated",222,500,"l","ho"
"500_374_222_l_ho",1,10.7772790637404,"treated",222,500,"l","ho"
"500_375_222_l_ho",1,13.0278721987492,"treated",222,500,"l","ho"
"500_376_222_l_ho",1,8.38670916946436,"treated",222,500,"l","ho"
"500_377_222_l_ho",1,8.18913597883099,"treated",222,500,"l","ho"
"500_378_222_l_ho",1,8.99864554643584,"treated",222,500,"l","ho"
"500_379_222_l_ho",1,8.52312973585625,"treated",222,500,"l","ho"
"500_380_222_l_ho",1,4.21878167217633,"treated",222,500,"l","ho"
"500_381_222_l_ho",1,8.48192596954098,"treated",222,500,"l","ho"
"500_382_222_l_ho",1,3.38500787304805,"treated",222,500,"l","ho"
"500_383_222_l_ho",1,10.3856545920754,"treated",222,500,"l","ho"
"500_384_222_l_ho",1,3.82394410342022,"treated",222,500,"l","ho"
"500_385_222_l_ho",1,6.22853764419778,"treated",222,500,"l","ho"
"500_386_222_l_ho",1,11.0423564329908,"treated",222,500,"l","ho"
"500_387_222_l_ho",1,10.5543747943686,"treated",222,500,"l","ho"
"500_388_222_l_ho",1,6.93721997442468,"treated",222,500,"l","ho"
"500_389_222_l_ho",1,11.8462711360636,"treated",222,500,"l","ho"
"500_390_222_l_ho",1,9.22232142771463,"treated",222,500,"l","ho"
"500_391_222_l_ho",1,12.5706965808708,"treated",222,500,"l","ho"
"500_392_222_l_ho",1,10.0206749148562,"treated",222,500,"l","ho"
"500_393_222_l_ho",1,5.64452964738929,"treated",222,500,"l","ho"
"500_394_222_l_ho",1,7.6985327576909,"treated",222,500,"l","ho"
"500_395_222_l_ho",1,2.84087570104328,"treated",222,500,"l","ho"
"500_396_222_l_ho",1,7.15497377238026,"treated",222,500,"l","ho"
"500_397_222_l_ho",1,8.5583142586802,"treated",222,500,"l","ho"
"500_398_222_l_ho",1,4.30443261448463,"treated",222,500,"l","ho"
"500_399_222_l_ho",1,6.54713466984211,"treated",222,500,"l","ho"
"500_400_222_l_ho",1,7.41565130132098,"treated",222,500,"l","ho"
"500_401_222_l_ho",1,5.72527647553048,"treated",222,500,"l","ho"
"500_402_222_l_ho",1,7.18656756304938,"treated",222,500,"l","ho"
"500_403_222_l_ho",1,9.6104986260458,"treated",222,500,"l","ho"
"500_404_222_l_ho",1,4.13421813916146,"treated",222,500,"l","ho"
"500_405_222_l_ho",1,3.38863007140228,"treated",222,500,"l","ho"
"500_406_222_l_ho",1,9.06737361978954,"treated",222,500,"l","ho"
"500_407_222_l_ho",1,7.12028546406408,"treated",222,500,"l","ho"
"500_408_222_l_ho",1,8.24894700620027,"treated",222,500,"l","ho"
"500_409_222_l_ho",1,4.55576187662585,"treated",222,500,"l","ho"
"500_410_222_l_ho",1,5.03130831566309,"treated",222,500,"l","ho"
"500_411_222_l_ho",1,10.2190681517603,"treated",222,500,"l","ho"
"500_412_222_l_ho",1,7.15620971414373,"treated",222,500,"l","ho"
"500_413_222_l_ho",1,10.8543247971962,"treated",222,500,"l","ho"
"500_414_222_l_ho",1,12.3423434630806,"treated",222,500,"l","ho"
"500_415_222_l_ho",1,5.66246611378485,"treated",222,500,"l","ho"
"500_416_222_l_ho",1,9.63977653552967,"treated",222,500,"l","ho"
"500_417_222_l_ho",1,3.06269181730601,"treated",222,500,"l","ho"
"500_418_222_l_ho",1,8.7039974051998,"treated",222,500,"l","ho"
"500_419_222_l_ho",1,7.73190918326491,"treated",222,500,"l","ho"
"500_420_222_l_ho",1,6.32065831867996,"treated",222,500,"l","ho"
"500_421_222_l_ho",1,0.718063745958121,"treated",222,500,"l","ho"
"500_422_222_l_ho",1,9.69969893630097,"treated",222,500,"l","ho"
"500_423_222_l_ho",1,5.32965091828456,"treated",222,500,"l","ho"
"500_424_222_l_ho",1,8.95847815837302,"treated",222,500,"l","ho"
"500_425_222_l_ho",1,9.80563936100053,"treated",222,500,"l","ho"
"500_426_222_l_ho",1,6.27728865560672,"treated",222,500,"l","ho"
"500_427_222_l_ho",1,3.78647852170918,"treated",222,500,"l","ho"
"500_428_222_l_ho",1,8.12858282184434,"treated",222,500,"l","ho"
