"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_251_222_nl_ho",1,5.3047069681,"treated",222,500,"nl","ho"
"500_252_222_nl_ho",1,8.8195811905,"treated",222,500,"nl","ho"
"500_253_222_nl_ho",1,8.6133964591,"treated",222,500,"nl","ho"
"500_254_222_nl_ho",1,5.7788448984,"treated",222,500,"nl","ho"
"500_255_222_nl_ho",1,6.2762943354,"treated",222,500,"nl","ho"
"500_256_222_nl_ho",1,9.5421485504,"treated",222,500,"nl","ho"
"500_257_222_nl_ho",1,7.162948193,"treated",222,500,"nl","ho"
"500_258_222_nl_ho",1,7.1582380831,"treated",222,500,"nl","ho"
"500_259_222_nl_ho",1,2.8889277421,"treated",222,500,"nl","ho"
"500_260_222_nl_ho",1,2.2747214237,"treated",222,500,"nl","ho"
"500_261_222_nl_ho",1,6.1489069517,"treated",222,500,"nl","ho"
"500_262_222_nl_ho",1,6.7743669912,"treated",222,500,"nl","ho"
"500_263_222_nl_ho",1,8.7343601656,"treated",222,500,"nl","ho"
"500_264_222_nl_ho",1,4.7451697111,"treated",222,500,"nl","ho"
"500_265_222_nl_ho",1,8.9065484627,"treated",222,500,"nl","ho"
"500_266_222_nl_ho",1,7.8014372148,"treated",222,500,"nl","ho"
"500_267_222_nl_ho",1,6.8236145473,"treated",222,500,"nl","ho"
"500_268_222_nl_ho",1,7.2610434837,"treated",222,500,"nl","ho"
"500_269_222_nl_ho",1,4.982090269,"treated",222,500,"nl","ho"
"500_270_222_nl_ho",1,13.3426721131,"treated",222,500,"nl","ho"
"500_271_222_nl_ho",1,6.159879753,"treated",222,500,"nl","ho"
"500_272_222_nl_ho",1,1.1500740757,"treated",222,500,"nl","ho"
"500_273_222_nl_ho",1,2.1559154987,"treated",222,500,"nl","ho"
"500_274_222_nl_ho",1,13.2292708087,"treated",222,500,"nl","ho"
"500_275_222_nl_ho",1,4.4319319997,"treated",222,500,"nl","ho"
"500_276_222_nl_ho",1,4.1841883361,"treated",222,500,"nl","ho"
"500_277_222_nl_ho",1,11.9417477117,"treated",222,500,"nl","ho"
"500_278_222_nl_ho",1,9.2244545922,"treated",222,500,"nl","ho"
"500_279_222_nl_ho",1,6.9780607888,"treated",222,500,"nl","ho"
"500_280_222_nl_ho",1,4.2441066628,"treated",222,500,"nl","ho"
"500_281_222_nl_ho",1,12.3717236135,"treated",222,500,"nl","ho"
"500_282_222_nl_ho",1,5.4090061462,"treated",222,500,"nl","ho"
"500_283_222_nl_ho",1,2.6323221958,"treated",222,500,"nl","ho"
"500_284_222_nl_ho",1,6.8507952621,"treated",222,500,"nl","ho"
"500_285_222_nl_ho",1,5.7222892624,"treated",222,500,"nl","ho"
"500_286_222_nl_ho",1,8.9037711379,"treated",222,500,"nl","ho"
"500_287_222_nl_ho",1,6.0348073024,"treated",222,500,"nl","ho"
"500_288_222_nl_ho",1,1.0994376962,"treated",222,500,"nl","ho"
"500_289_222_nl_ho",1,10.5471266465,"treated",222,500,"nl","ho"
"500_290_222_nl_ho",1,9.5295342487,"treated",222,500,"nl","ho"
"500_291_222_nl_ho",1,2.9525838211,"treated",222,500,"nl","ho"
"500_292_222_nl_ho",1,5.4298510667,"treated",222,500,"nl","ho"
"500_293_222_nl_ho",1,6.9877955502,"treated",222,500,"nl","ho"
"500_294_222_nl_ho",1,6.1263891995,"treated",222,500,"nl","ho"
"500_295_222_nl_ho",1,7.4864278709,"treated",222,500,"nl","ho"
"500_296_222_nl_ho",1,4.9050620992,"treated",222,500,"nl","ho"
"500_297_222_nl_ho",1,2.5619453487,"treated",222,500,"nl","ho"
"500_298_222_nl_ho",1,10.690673689,"treated",222,500,"nl","ho"
