"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_1_60_l_he",1,4,"control",60,500,"l","he"
"500_2_60_l_he",1,4,"control",60,500,"l","he"
"500_3_60_l_he",1,4,"control",60,500,"l","he"
"500_4_60_l_he",1,4,"control",60,500,"l","he"
"500_5_60_l_he",1,4,"control",60,500,"l","he"
"500_6_60_l_he",1,4,"control",60,500,"l","he"
"500_7_60_l_he",1,4,"control",60,500,"l","he"
"500_8_60_l_he",1,4,"control",60,500,"l","he"
"500_9_60_l_he",1,4,"control",60,500,"l","he"
"500_10_60_l_he",1,4,"control",60,500,"l","he"
"500_11_60_l_he",1,4,"control",60,500,"l","he"
"500_12_60_l_he",1,4,"control",60,500,"l","he"
"500_13_60_l_he",1,4,"control",60,500,"l","he"
"500_14_60_l_he",1,4,"control",60,500,"l","he"
"500_15_60_l_he",1,4,"control",60,500,"l","he"
"500_16_60_l_he",1,4,"control",60,500,"l","he"
"500_17_60_l_he",1,4,"control",60,500,"l","he"
"500_18_60_l_he",1,4,"control",60,500,"l","he"
"500_19_60_l_he",1,4,"control",60,500,"l","he"
"500_20_60_l_he",1,4,"control",60,500,"l","he"
"500_21_60_l_he",1,4,"control",60,500,"l","he"
"500_22_60_l_he",1,4,"control",60,500,"l","he"
"500_23_60_l_he",1,4,"control",60,500,"l","he"
"500_24_60_l_he",1,4,"control",60,500,"l","he"
"500_25_60_l_he",1,4,"control",60,500,"l","he"
"500_26_60_l_he",1,4,"control",60,500,"l","he"
"500_27_60_l_he",1,4,"control",60,500,"l","he"
"500_28_60_l_he",1,4,"control",60,500,"l","he"
"500_29_60_l_he",1,4,"control",60,500,"l","he"
"500_30_60_l_he",1,4,"control",60,500,"l","he"
"500_31_60_l_he",1,4,"control",60,500,"l","he"
"500_32_60_l_he",1,4,"control",60,500,"l","he"
"500_33_60_l_he",1,4,"control",60,500,"l","he"
"500_34_60_l_he",1,4,"control",60,500,"l","he"
"500_35_60_l_he",1,4,"control",60,500,"l","he"
"500_36_60_l_he",1,4,"control",60,500,"l","he"
"500_37_60_l_he",1,4,"control",60,500,"l","he"
"500_38_60_l_he",1,4,"control",60,500,"l","he"
"500_39_60_l_he",1,4,"control",60,500,"l","he"
"500_40_60_l_he",1,4,"control",60,500,"l","he"
"500_41_60_l_he",1,4,"control",60,500,"l","he"
"500_42_60_l_he",1,4,"control",60,500,"l","he"
"500_43_60_l_he",1,4,"control",60,500,"l","he"
"500_44_60_l_he",1,4,"control",60,500,"l","he"
"500_45_60_l_he",1,4,"control",60,500,"l","he"
"500_46_60_l_he",1,4,"control",60,500,"l","he"
"500_47_60_l_he",1,4,"control",60,500,"l","he"
"500_48_60_l_he",1,4,"control",60,500,"l","he"
"500_49_60_l_he",1,4,"control",60,500,"l","he"
"500_50_60_l_he",1,4,"control",60,500,"l","he"
"500_51_60_l_he",1,4,"control",60,500,"l","he"
"500_52_60_l_he",1,4,"control",60,500,"l","he"
"500_53_60_l_he",1,4,"control",60,500,"l","he"
"500_54_60_l_he",1,4,"control",60,500,"l","he"
"500_55_60_l_he",1,4,"control",60,500,"l","he"
"500_56_60_l_he",1,4,"control",60,500,"l","he"
"500_57_60_l_he",1,4,"control",60,500,"l","he"
"500_58_60_l_he",1,4,"control",60,500,"l","he"
"500_59_60_l_he",1,4,"control",60,500,"l","he"
"500_60_60_l_he",1,4,"control",60,500,"l","he"
"500_61_60_l_he",1,4,"control",60,500,"l","he"
"500_62_60_l_he",1,4,"control",60,500,"l","he"
"500_63_60_l_he",1,4,"control",60,500,"l","he"
"500_64_60_l_he",1,4,"control",60,500,"l","he"
"500_65_60_l_he",1,4,"control",60,500,"l","he"
"500_66_60_l_he",1,4,"control",60,500,"l","he"
"500_67_60_l_he",1,4,"control",60,500,"l","he"
"500_68_60_l_he",1,4,"control",60,500,"l","he"
"500_69_60_l_he",1,4,"control",60,500,"l","he"
"500_70_60_l_he",1,4,"control",60,500,"l","he"
"500_71_60_l_he",1,4,"control",60,500,"l","he"
"500_72_60_l_he",1,4,"control",60,500,"l","he"
"500_73_60_l_he",1,4,"control",60,500,"l","he"
"500_74_60_l_he",1,4,"control",60,500,"l","he"
"500_75_60_l_he",1,4,"control",60,500,"l","he"
"500_76_60_l_he",1,4,"control",60,500,"l","he"
"500_77_60_l_he",1,4,"control",60,500,"l","he"
"500_78_60_l_he",1,4,"control",60,500,"l","he"
"500_79_60_l_he",1,4,"control",60,500,"l","he"
"500_80_60_l_he",1,4,"control",60,500,"l","he"
"500_81_60_l_he",1,4,"control",60,500,"l","he"
"500_82_60_l_he",1,4,"control",60,500,"l","he"
"500_83_60_l_he",1,4,"control",60,500,"l","he"
"500_84_60_l_he",1,4,"control",60,500,"l","he"
"500_85_60_l_he",1,4,"control",60,500,"l","he"
"500_86_60_l_he",1,4,"control",60,500,"l","he"
"500_87_60_l_he",1,4,"control",60,500,"l","he"
"500_88_60_l_he",1,4,"control",60,500,"l","he"
"500_89_60_l_he",1,4,"control",60,500,"l","he"
"500_90_60_l_he",1,4,"control",60,500,"l","he"
"500_91_60_l_he",1,4,"control",60,500,"l","he"
"500_92_60_l_he",1,4,"control",60,500,"l","he"
"500_93_60_l_he",1,4,"control",60,500,"l","he"
"500_94_60_l_he",1,4,"control",60,500,"l","he"
"500_95_60_l_he",1,4,"control",60,500,"l","he"
"500_96_60_l_he",1,4,"control",60,500,"l","he"
"500_97_60_l_he",1,4,"control",60,500,"l","he"
"500_98_60_l_he",1,4,"control",60,500,"l","he"
"500_99_60_l_he",1,4,"control",60,500,"l","he"
"500_100_60_l_he",1,4,"control",60,500,"l","he"
"500_101_60_l_he",1,4,"control",60,500,"l","he"
"500_102_60_l_he",1,4,"control",60,500,"l","he"
"500_103_60_l_he",1,4,"control",60,500,"l","he"
"500_104_60_l_he",1,4,"control",60,500,"l","he"
"500_105_60_l_he",1,4,"control",60,500,"l","he"
"500_106_60_l_he",1,4,"control",60,500,"l","he"
"500_107_60_l_he",1,4,"control",60,500,"l","he"
"500_108_60_l_he",1,4,"control",60,500,"l","he"
"500_109_60_l_he",1,4,"control",60,500,"l","he"
"500_110_60_l_he",1,4,"control",60,500,"l","he"
"500_111_60_l_he",1,4,"control",60,500,"l","he"
"500_112_60_l_he",1,4,"control",60,500,"l","he"
"500_113_60_l_he",1,4,"control",60,500,"l","he"
"500_114_60_l_he",1,4,"control",60,500,"l","he"
"500_115_60_l_he",1,4,"control",60,500,"l","he"
"500_116_60_l_he",1,4,"control",60,500,"l","he"
"500_117_60_l_he",1,4,"control",60,500,"l","he"
"500_118_60_l_he",1,4,"control",60,500,"l","he"
"500_119_60_l_he",1,4,"control",60,500,"l","he"
"500_120_60_l_he",1,4,"control",60,500,"l","he"
"500_121_60_l_he",1,4,"control",60,500,"l","he"
"500_122_60_l_he",1,4,"control",60,500,"l","he"
