"series_id","time","value","c_t","time_series_length","amount_of_time_series","dgp","te_intervention"
"500_1_60_nonlinear_heterogeneous",1,4.9003730794,"control",60,500,"nonlinear","heterogeneous"
"500_2_60_nonlinear_heterogeneous",1,4.0894371351,"control",60,500,"nonlinear","heterogeneous"
"500_3_60_nonlinear_heterogeneous",1,3.1134245853,"control",60,500,"nonlinear","heterogeneous"
"500_4_60_nonlinear_heterogeneous",1,3.5859823222,"control",60,500,"nonlinear","heterogeneous"
"500_5_60_nonlinear_heterogeneous",1,4.0357675933,"control",60,500,"nonlinear","heterogeneous"
"500_6_60_nonlinear_heterogeneous",1,3.8797392903,"control",60,500,"nonlinear","heterogeneous"
"500_7_60_nonlinear_heterogeneous",1,3.7099427203,"control",60,500,"nonlinear","heterogeneous"
"500_8_60_nonlinear_heterogeneous",1,3.0030651326,"control",60,500,"nonlinear","heterogeneous"
"500_9_60_nonlinear_heterogeneous",1,6.3309546962,"control",60,500,"nonlinear","heterogeneous"
"500_10_60_nonlinear_heterogeneous",1,5.8935764982,"control",60,500,"nonlinear","heterogeneous"
"500_11_60_nonlinear_heterogeneous",1,3.2793029731,"control",60,500,"nonlinear","heterogeneous"
"500_12_60_nonlinear_heterogeneous",1,3.5541288337,"control",60,500,"nonlinear","heterogeneous"
"500_13_60_nonlinear_heterogeneous",1,4.8576305276,"control",60,500,"nonlinear","heterogeneous"
"500_14_60_nonlinear_heterogeneous",1,4.6740938976,"control",60,500,"nonlinear","heterogeneous"
"500_15_60_nonlinear_heterogeneous",1,3.1487714106,"control",60,500,"nonlinear","heterogeneous"
"500_16_60_nonlinear_heterogeneous",1,5.7613683234,"control",60,500,"nonlinear","heterogeneous"
"500_17_60_nonlinear_heterogeneous",1,3.408432628,"control",60,500,"nonlinear","heterogeneous"
"500_18_60_nonlinear_heterogeneous",1,3.0021412283,"control",60,500,"nonlinear","heterogeneous"
"500_19_60_nonlinear_heterogeneous",1,4.1915503025,"control",60,500,"nonlinear","heterogeneous"
"500_20_60_nonlinear_heterogeneous",1,5.3126692894,"control",60,500,"nonlinear","heterogeneous"
"500_21_60_nonlinear_heterogeneous",1,1.8382625985,"control",60,500,"nonlinear","heterogeneous"
"500_22_60_nonlinear_heterogeneous",1,4.1713376136,"control",60,500,"nonlinear","heterogeneous"
"500_23_60_nonlinear_heterogeneous",1,3.9742051652,"control",60,500,"nonlinear","heterogeneous"
"500_24_60_nonlinear_heterogeneous",1,3.9409133743,"control",60,500,"nonlinear","heterogeneous"
"500_25_60_nonlinear_heterogeneous",1,5.4291250372,"control",60,500,"nonlinear","heterogeneous"
"500_26_60_nonlinear_heterogeneous",1,6.3853329858,"control",60,500,"nonlinear","heterogeneous"
"500_27_60_nonlinear_heterogeneous",1,4.2119868527,"control",60,500,"nonlinear","heterogeneous"
"500_28_60_nonlinear_heterogeneous",1,4.6051805067,"control",60,500,"nonlinear","heterogeneous"
"500_29_60_nonlinear_heterogeneous",1,5.0644209394,"control",60,500,"nonlinear","heterogeneous"
"500_30_60_nonlinear_heterogeneous",1,5.2632113997,"control",60,500,"nonlinear","heterogeneous"
"500_31_60_nonlinear_heterogeneous",1,4.5856562228,"control",60,500,"nonlinear","heterogeneous"
"500_32_60_nonlinear_heterogeneous",1,3.5755808872,"control",60,500,"nonlinear","heterogeneous"
"500_33_60_nonlinear_heterogeneous",1,4.7480720599,"control",60,500,"nonlinear","heterogeneous"
"500_34_60_nonlinear_heterogeneous",1,4.6859951881,"control",60,500,"nonlinear","heterogeneous"
"500_35_60_nonlinear_heterogeneous",1,2.8609708574,"control",60,500,"nonlinear","heterogeneous"
"500_36_60_nonlinear_heterogeneous",1,3.4108736643,"control",60,500,"nonlinear","heterogeneous"
"500_37_60_nonlinear_heterogeneous",1,4.7797377888,"control",60,500,"nonlinear","heterogeneous"
"500_38_60_nonlinear_heterogeneous",1,4.0639821295,"control",60,500,"nonlinear","heterogeneous"
"500_39_60_nonlinear_heterogeneous",1,5.01291693,"control",60,500,"nonlinear","heterogeneous"
"500_40_60_nonlinear_heterogeneous",1,2.3536319307,"control",60,500,"nonlinear","heterogeneous"
"500_41_60_nonlinear_heterogeneous",1,4.334477305,"control",60,500,"nonlinear","heterogeneous"
"500_42_60_nonlinear_heterogeneous",1,3.8468741545,"control",60,500,"nonlinear","heterogeneous"
"500_43_60_nonlinear_heterogeneous",1,3.1735695513,"control",60,500,"nonlinear","heterogeneous"
"500_44_60_nonlinear_heterogeneous",1,4.2899019285,"control",60,500,"nonlinear","heterogeneous"
"500_45_60_nonlinear_heterogeneous",1,3.8647882966,"control",60,500,"nonlinear","heterogeneous"
"500_46_60_nonlinear_heterogeneous",1,3.06525085,"control",60,500,"nonlinear","heterogeneous"
"500_47_60_nonlinear_heterogeneous",1,2.1264657025,"control",60,500,"nonlinear","heterogeneous"
"500_48_60_nonlinear_heterogeneous",1,4.5211369368,"control",60,500,"nonlinear","heterogeneous"
"500_49_60_nonlinear_heterogeneous",1,5.8677873457,"control",60,500,"nonlinear","heterogeneous"
"500_50_60_nonlinear_heterogeneous",1,3.2948700121,"control",60,500,"nonlinear","heterogeneous"
"500_51_60_nonlinear_heterogeneous",1,3.9669578466,"control",60,500,"nonlinear","heterogeneous"
"500_52_60_nonlinear_heterogeneous",1,4.4574099877,"control",60,500,"nonlinear","heterogeneous"
"500_53_60_nonlinear_heterogeneous",1,4.8309331355,"control",60,500,"nonlinear","heterogeneous"
"500_54_60_nonlinear_heterogeneous",1,3.4543140268,"control",60,500,"nonlinear","heterogeneous"
"500_55_60_nonlinear_heterogeneous",1,4.2933208549,"control",60,500,"nonlinear","heterogeneous"
"500_56_60_nonlinear_heterogeneous",1,4.03696012,"control",60,500,"nonlinear","heterogeneous"
"500_57_60_nonlinear_heterogeneous",1,4.3702490654,"control",60,500,"nonlinear","heterogeneous"
"500_58_60_nonlinear_heterogeneous",1,3.9044443553,"control",60,500,"nonlinear","heterogeneous"
"500_59_60_nonlinear_heterogeneous",1,5.2284240577,"control",60,500,"nonlinear","heterogeneous"
"500_60_60_nonlinear_heterogeneous",1,5.0677938899,"control",60,500,"nonlinear","heterogeneous"
"500_61_60_nonlinear_heterogeneous",1,6.0815025481,"control",60,500,"nonlinear","heterogeneous"
