Var1,Var2
Q1-47,NaN
Q2-47,NaN
Q3-47,NaN
Q4-47,NaN
Q1-48,4
Q2-48,3.6
Q3-48,3.8
Q4-48,4
Q1-49,5
Q2-49,6.2
Q3-49,6.6
Q4-49,6.6
Q1-50,6.3
Q2-50,5.4
Q3-50,4.4
Q4-50,4.3
Q1-51,3.4
Q2-51,3.2
Q3-51,3.3
Q4-51,3.1
Q1-52,2.9
Q2-52,3
Q3-52,3.1
Q4-52,2.7
Q1-53,2.6
Q2-53,2.5
Q3-53,2.9
Q4-53,4.5
Q1-54,5.7
Q2-54,5.6
Q3-54,6.1
Q4-54,5
Q1-55,4.6
Q2-55,4.2
Q3-55,4.1
Q4-55,4.2
Q1-56,4.2
Q2-56,4.3
Q3-56,3.9
Q4-56,4.2
Q1-57,3.7
Q2-57,4.3
Q3-57,4.4
Q4-57,5.2
Q1-58,6.7
Q2-58,7.3
Q3-58,7.1
Q4-58,6.2
Q1-59,5.6
Q2-59,5
Q3-59,5.5
Q4-59,5.3
Q1-60,5.4
Q2-60,5.4
Q3-60,5.5
Q4-60,6.6
Q1-61,6.9
Q2-61,6.9
Q3-61,6.7
Q4-61,6
Q1-62,5.6
Q2-62,5.5
Q3-62,5.6
Q4-62,5.5
Q1-63,5.7
Q2-63,5.6
Q3-63,5.5
Q4-63,5.5
Q1-64,5.4
Q2-64,5.2
Q3-64,5.1
Q4-64,5
Q1-65,4.7
Q2-65,4.6
Q3-65,4.3
Q4-65,4
Q1-66,3.8
Q2-66,3.8
Q3-66,3.7
Q4-66,3.8
Q1-67,3.8
Q2-67,3.9
Q3-67,3.8
Q4-67,3.8
Q1-68,3.7
Q2-68,3.7
Q3-68,3.4
Q4-68,3.4
Q1-69,3.4
Q2-69,3.5
Q3-69,3.7
Q4-69,3.5
Q1-70,4.4
Q2-70,4.9
Q3-70,5.4
Q4-70,6.1
Q1-71,6
Q2-71,5.9
Q3-71,6
Q4-71,6
Q1-72,5.8
Q2-72,5.7
Q3-72,5.5
Q4-72,5.2
Q1-73,4.9
Q2-73,4.9
Q3-73,4.8
Q4-73,4.9
Q1-74,5.1
Q2-74,5.4
Q3-74,5.9
Q4-74,7.2
Q1-75,8.6
Q2-75,8.8
Q3-75,8.4
Q4-75,8.2
Q1-76,7.6
Q2-76,7.6
Q3-76,7.6
Q4-76,7.8
Q1-77,7.4
Q2-77,7.2
Q3-77,6.8
Q4-77,6.4
Q1-78,6.3
Q2-78,5.9
Q3-78,6
Q4-78,6
Q1-79,5.8
Q2-79,5.7
Q3-79,5.9
Q4-79,6
Q1-80,6.3
Q2-80,7.6
Q3-80,7.5
Q4-80,7.2
Q1-81,7.4
Q2-81,7.5
Q3-81,7.6
Q4-81,8.5
Q1-82,9
Q2-82,9.6
Q3-82,10.1
Q4-82,10.8
Q1-83,10.3
Q2-83,10.1
Q3-83,9.2
Q4-83,8.3
Q1-84,7.8
Q2-84,7.2
Q3-84,7.3
Q4-84,7.3
Q1-85,7.2
Q2-85,7.4
Q3-85,7.1
Q4-85,7
Q1-86,7.2
Q2-86,7.2
Q3-86,7
Q4-86,6.6
Q1-87,6.6
Q2-87,6.2
Q3-87,5.9
Q4-87,5.7
Q1-88,5.7
Q2-88,5.4
Q3-88,5.4
Q4-88,5.3
Q1-89,5
Q2-89,5.3
Q3-89,5.3
Q4-89,5.4
Q1-90,5.2
Q2-90,5.2
Q3-90,5.9
Q4-90,6.3
Q1-91,6.8
Q2-91,6.9
Q3-91,6.9
Q4-91,7.3
Q1-92,7.4
Q2-92,7.8
Q3-92,7.6
Q4-92,7.4
Q1-93,7
Q2-93,7
Q3-93,6.7
Q4-93,6.5
Q1-94,6.5
Q2-94,6.1
Q3-94,5.9
Q4-94,5.5
Q1-95,5.4
Q2-95,5.6
Q3-95,5.6
Q4-95,5.6
Q1-96,5.5
Q2-96,5.3
Q3-96,5.2
Q4-96,5.4
Q1-97,5.2
Q2-97,5
Q3-97,4.9
Q4-97,4.7
Q1-98,4.7
Q2-98,4.5
Q3-98,4.6
Q4-98,4.4
Q1-99,4.2
Q2-99,4.3
Q3-99,4.2
Q4-99,4
Q1-00,4
Q2-00,4
Q3-00,3.9
Q4-00,3.9
Q1-01,4.3
Q2-01,4.5
Q3-01,5
Q4-01,5.7
Q1-02,5.7
Q2-02,5.8
Q3-02,5.7
Q4-02,6
Q1-03,5.9
Q2-03,6.3
Q3-03,6.1
Q4-03,5.7
Q1-04,5.8
Q2-04,5.6
Q3-04,5.4
Q4-04,5.4
Q1-05,5.2
Q2-05,5.1
Q3-05,5
Q4-05,4.8
Q1-06,4.7
Q2-06,4.6
Q3-06,4.5
Q4-06,4.4
Q1-07,4.4
Q2-07,4.6
Q3-07,4.7
Q4-07,4.9
Q1-08,5.1
Q2-08,5.6
Q3-08,6.2
Q4-08,7.2
Q1-09,8.5
